Superintendencia del Sistema Financiero,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,
Datos al 31 de Julio de 2021,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,
11 Activos de intermediación,"5,100,248.10","3,370,165.65","2,821,866.33","1,415,938.79","243,409.44","418,278.77","398,799.66","1,260,655.46","2,825,307.44","86,608.14","405,330.97","544,615.54","818,960.16","19,710,184.46"
1110 Fondos disponibles,"902,711.88","605,598.43","404,960.54","222,567.96","112,593.53","143,965.70","66,567.94","284,369.39","474,835.79","12,004.14","70,729.34","78,428.28","144,987.96","3,524,320.89"
112 Adquisición temporal de documentos,"11,905.74",0.00,0.00,"14,702.44",0.00,322.26,0.00,0.00,0.00,0.00,0.00,538.72,710.00,"28,179.16"
1121 Documentos adquiridos hasta un año plazo,"11,905.74",0.00,0.00,"14,702.44",0.00,322.26,0.00,0.00,0.00,0.00,0.00,538.72,710.00,"28,179.16"
1128 Documentos vencidos,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1129 Provisión por pérdidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
113 Inversiones financieras,"863,914.51","378,794.88","334,906.49","252,895.79","123,493.91","11,958.96","93,493.34","166,984.34","320,318.97","10,832.72","64,654.20","91,053.51","150,575.93","2,863,877.56"
1130 Titulos valores conservados para negociación,0.00,0.00,0.00,"231,960.04","5,064.60",0.00,"5,808.13",0.00,0.00,"7,700.00",227.89,0.00,0.00,"250,760.67"
1131 Titulos valores para conservarse hasta el vencimiento,"47,602.44","2,004.91","22,946.98","2,147.46",0.00,"11,958.96","87,685.21",0.00,0.00,0.00,"47,556.80","12,248.18","150,575.93","384,726.88"
1132 Titulos valores disponibles para venta,"816,312.07","376,789.97","311,959.50","18,788.29","118,429.31",0.00,0.00,"166,984.34","320,318.97","3,135.33","16,869.51","78,805.33",0.00,"2,228,392.62"
1138 Inversiones vencidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1139 Provisión para valuacion de inversiones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.61,0.00,0.00,0.00,-2.61
114 Préstamos,"3,321,715.98","2,385,772.35","2,081,999.31","925,772.59","7,322.00","262,031.85","238,738.37","809,301.74","2,030,152.68","63,771.28","269,947.42","374,595.03","522,686.26","13,293,806.86"
1141 Préstamos pactados hasta un año plazo,"514,827.89","250,411.31","279,061.68","83,142.60","7,323.73","33,652.59","62,432.63","223,637.37","404,258.98","4,493.65","31,611.71","45,357.12","61,905.79","2,002,117.05"
1142 Préstamos pactados a mas de un año plazo,"2,874,534.43","2,163,811.58","1,810,732.59","851,324.60",0.00,"227,905.46","180,783.42","597,415.63","1,635,210.44","57,707.40","240,806.59","317,516.87","463,093.08","11,420,842.09"
1148 Préstamos vencidos,"94,521.32","85,467.47","51,192.66","15,736.31",0.00,"10,129.04","3,639.18","19,399.42","48,265.66","5,137.99",665.33,"17,166.35","3,730.50","355,051.23"
1149 Provisión para incobrabilidad de préstamos,"-162,167.67","-113,918.02","-58,987.63","-24,430.91",-1.74,"-9,655.24","-8,116.86","-31,150.68","-57,582.39","-3,567.76","-3,136.20","-5,445.31","-6,043.11","-484,203.51"
12 Otros activos,"146,327.51","115,419.99","60,559.46","50,797.78","1,155.63","11,278.19","6,681.71","50,205.27","30,074.87","10,756.13","2,511.70","21,139.26","23,610.82","530,518.33"
1210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1220 Bienes recibidos en pago o adjudicados,"34,896.96","3,213.33","10,694.85","13,425.43",0.00,"4,447.63","1,858.81","10,273.76","8,444.72",0.00,0.00,"1,897.93","4,895.76","94,049.18"
1230 Existencias,408.96,343.75,319.28,62.70,1.19,365.52,75.34,247.06,363.26,0.00,43.95,25.13,15.05,"2,271.19"
1240 Gastos pagados por anticipado y cargos diferidos,"48,818.33","40,862.35","35,856.01","3,271.32",319.02,"1,503.46","3,990.83","16,809.51","10,372.37","7,116.70","1,333.84","16,001.40","5,000.56","191,255.70"
1250 Cuentas por cobrar,"53,537.62","42,063.81","8,919.72","34,014.15",835.42,"5,928.58",177.81,"23,683.20","11,263.43","3,639.43","1,133.91","3,247.74","12,594.97","201,039.78"
1259 Provisión de incobrabilidad de cuentas por cobrar,"-2,063.99","-2,428.23","-1,618.19",-90.10,0.00,-966.99,-96.33,-808.25,-368.91,0.00,0.00,-32.94,-95.41,"-8,569.35"
1260 derechos y participaciones,"10,729.64","31,364.97","6,387.79",114.28,0.00,0.00,675.24,0.00,0.00,0.00,0.00,0.00,"1,199.90","50,471.83"
13 Activo fijo,"88,543.66","109,489.24","45,551.23","16,552.85","1,215.37","18,783.96","5,278.81","16,557.81","30,623.12","1,956.01","2,067.51","1,738.69","5,458.16","343,816.42"
1310 No depreciables,"30,611.61","41,819.71","19,050.71","8,791.38",247.69,"8,276.52","3,486.79","2,031.23","5,840.20",0.00,870.33,39.78,"2,842.22","123,908.16"
1320 depreciables,"156,780.11","114,109.62","64,677.69","22,552.06","2,217.96","34,307.41","6,448.49","33,686.66","47,515.02","10,857.20","3,457.72","5,349.90","14,391.59","516,351.44"
1329 depreciación acumulada,"-100,248.94","-87,403.01","-43,069.74","-15,733.27","-1,385.30","-24,804.29","-4,740.53","-20,715.03","-26,640.40","-9,675.70","-2,641.90","-4,743.37","-12,028.11","-353,829.59"
1330 Amortizables,"1,400.89","40,962.92","4,892.57",942.68,135.02,"1,004.32",84.06,"1,554.94","3,908.30",774.51,381.35,"1,092.38",252.46,"57,386.41"
Total Activos,"5,335,119.28","3,595,074.89","2,927,977.03","1,483,289.42","245,780.44","448,340.92","410,760.18","1,327,418.54","2,886,005.43","99,320.27","409,910.18","567,493.50","848,029.14","20,584,519.21"
 ,,,,,,,,,,,,,,
4110 Cartas de crédito,"20,494.78","15,240.92","23,520.99",952.49,735.00,0.00,"3,071.22",0.00,"24,561.49",0.00,862.87,73.55,0.00,"89,513.32"
4119 Provisión por pérdidas,-6.19,-2.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-8.96
4120 Contingencias por avales y fianzas,"131,501.32","106,566.66","81,702.15","16,534.37","7,491.41","6,372.55","5,437.82","9,870.72","72,894.28",0.00,"16,784.06",0.00,"4,088.87","459,244.21"
4129 Provisión por pérdidas,"-16,248.67","-15,691.89","-4,594.99","-6,023.56",-65.30,"-5,334.80",0.00,0.00,-468.88,0.00,-2.22,0.00,0.00,"-48,430.30"
4131 derechos por operaciones en moneda extranjera,"12,009.58",0.00,0.00,0.00,207.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"12,217.03"
4139 Prov. pérdidas en derechos por operac. en mon. extran.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,,,,,,,,,,,,,,
Total derechos futuros y contingencias,"147,750.82","106,112.92","100,628.15","11,463.30","8,368.56","1,037.76","8,509.04","9,870.72","96,986.90",0.00,"17,644.71",73.55,"4,088.87","512,535.30"
 ,,,,,,,,,,,,,,
Total activos + derechos futuros y contingencias,"5,482,870.10","3,701,187.80","3,028,605.18","1,494,752.72","254,149.00","449,378.67","419,269.22","1,337,289.25","2,982,992.32","99,320.27","427,554.89","567,567.05","852,118.01","21,097,054.50"
 ,,,,,,,,,,,,,,
Pasivos ,,,,,,,,,,,,,,
21 Pasivos de intermediación,"4,602,033.74","3,074,176.33","2,554,069.03","1,317,355.53","202,183.05","364,804.53","346,595.86","1,150,287.27","2,548,798.59","68,767.10","319,682.06","501,737.70","753,769.38","17,804,260.15"
211 depósitos,"4,065,807.18","2,760,788.77","2,047,612.31","1,188,180.95","192,970.90","354,287.09","317,349.91","1,015,238.77","2,200,263.12","60,836.19","302,246.00","371,513.60","552,926.75","15,430,021.56"
2110 depósitos a la vista,"3,108,584.48","1,737,155.47","1,131,114.98","615,492.31","190,203.12","227,560.66","163,369.37","565,020.36","1,529,297.44","12,484.12","123,535.89","159,127.21","239,637.18","9,802,582.59"
211001 depósitos en cuenta corriente,"1,154,461.22","809,428.30","550,676.41","352,343.29","186,689.66","61,925.01","122,642.82","358,355.15","992,588.63","12,484.12","44,644.51","119,142.08","168,170.21","4,933,551.42"
211002 depósitos de ahorro,"1,952,703.49","927,727.17","579,927.61","263,147.22","3,513.46","165,635.66","40,726.56","206,665.21","536,708.81",0.00,"78,891.38","39,983.32","71,466.97","4,867,096.85"
211003 depósitos en cuenta de ahorro simplificada,"1,419.76",0.00,510.95,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.81,0.00,"1,934.33"
2111 depósitos pactados hasta un año plazo,"816,947.02","929,432.98","769,111.14","503,437.79","1,000.20","119,686.69","147,685.23","431,466.37","615,143.63","45,651.17","174,913.27","187,648.53","286,749.92","5,028,873.94"
2112 depósitos pactados a mas de un año plazo,"65,238.71","18,328.25","101,655.69","50,716.67",0.00,281.83,0.00,"1,984.91","36,372.16",0.00,327.15,"19,168.51","20,827.35","314,901.23"
2114 depósitos restringidos e inactivos,"75,036.98","75,872.07","45,730.50","18,534.19","1,767.58","6,757.92","6,295.30","16,767.13","19,449.89","2,700.90","3,469.68","5,569.35","5,712.30","283,663.79"
212 Préstamos,"296,397.80","165,092.54","357,880.57","96,878.73",0.00,"9,937.12","3,007.95","126,912.21","187,413.45",0.00,"12,688.41","70,359.87","115,731.81","1,442,300.45"
2121 Préstamos pactados hasta un año plazo,0.00,"28,211.52","184,780.92","21,041.90",0.00,19.07,0.00,"15,165.42","126,931.16",0.00,"10,159.09","3,230.30","10,021.85","399,561.24"
2122 Préstamos pactados a mas de un año plazo,"42,429.86",158.90,"8,512.60","59,002.96",0.00,"9,909.55","3,007.95","50,224.91","60,482.28",0.00,"2,529.32","54,598.89","77,275.22","368,132.44"
2123 Préstamos pactados a cinco o mas años plazo,"253,967.94","136,722.11","164,587.04","16,833.87",0.00,8.50,0.00,"61,521.89",0.00,0.00,0.00,"12,530.68","28,434.73","674,606.77"
2130 Obligaciones a la vista,"27,708.30","25,467.69","14,695.01","32,295.85","9,212.15",580.32,"1,011.97","8,136.29","25,425.95",230.91,"4,747.64","2,868.08","4,853.12","157,233.26"
214 Títulos de emisión propia,"212,120.47","122,827.34","133,881.13",0.00,0.00,0.00,"25,226.03",0.00,"135,696.07",0.00,0.00,"56,996.15","80,257.69","767,004.88"
2141 Títulos de emisión propia pactados hasta un año plazo.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,834.21,834.21
2142 Pactados a mas de un año plazo,"212,120.47","122,827.34","133,881.13",0.00,0.00,0.00,"25,226.03",0.00,"135,696.07",0.00,0.00,"56,996.15","79,423.48","766,170.66"
215 Documentos transados,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"7,700.00",0.00,0.00,0.00,"7,700.00"
2151 Documentos transados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"7,700.00",0.00,0.00,0.00,"7,700.00"
216 Cheques y otros valores por aplicar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
