Superintendencia del Sistema Financiero,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,
Datos al 31 de Julio de 2022,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,
,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A. 1/","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,
11 Activos de intermediación,"5,353,989.05","3,605,561.81","2,817,357.80","1,742,454.99","196,580.73","446,628.96","1,303,692.47","3,074,935.08","128,031.64","511,524.21","804,571.14","915,495.80","20,900,823.69"
1110 Fondos disponibles,"884,655.18","590,609.69","381,036.28","275,443.56","81,538.10","151,383.18","270,027.86","568,873.41","17,600.22","78,078.00","106,582.62","123,469.59","3,529,297.69"
112 Adquisición temporal de documentos,"6,492.36",0.00,500.00,0.00,0.00,95.54,"1,000.00",0.00,0.00,0.00,0.00,"9,925.03","18,012.93"
1121 Documentos adquiridos hasta un año plazo,"6,492.36",0.00,500.00,0.00,0.00,95.54,"1,000.00",0.00,0.00,0.00,0.00,"9,925.03","18,012.93"
1128 Documentos vencidos,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1129 Provisión por pérdidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
113 Inversiones financieras,"677,504.19","419,236.22","317,473.77","393,321.96","73,956.80","13,959.44","157,662.88","321,314.43","8,372.99","52,512.23","99,735.62","125,249.82","2,660,300.35"
1130 Titulos valores conservados para negociación,"12,917.58",0.00,"5,800.00","391,088.86",0.00,0.00,0.00,0.00,0.00,398.92,"23,632.93",0.00,"433,838.29"
1131 Titulos valores para conservarse hasta el vencimiento,"101,969.19","2,002.41","7,953.26","2,147.95",0.00,"13,959.44",0.00,0.00,0.00,"35,273.09","38,995.51","125,249.82","327,550.68"
1132 Titulos valores disponibles para venta,"562,617.42","417,233.81","303,717.18",85.15,"73,956.80",0.00,"157,662.88","321,314.43","8,372.99","16,840.22","37,107.18",0.00,"1,898,908.05"
1134 Instrumentos financieros para cobertura,0.00,0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.33
1138 Inversiones vencidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1139 Provisión para valuacion de inversiones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
114 Préstamos,"3,785,337.33","2,595,715.90","2,118,347.75","1,073,689.47","41,085.83","281,190.80","875,001.73","2,184,747.24","102,058.43","380,933.98","598,252.90","656,851.37","14,693,212.73"
1141 Préstamos pactados hasta un año plazo,"675,937.85","339,901.94","296,267.27","85,927.86","41,095.47","36,911.10","276,331.09","410,897.53","4,173.25","48,249.49","109,148.81","130,491.85","2,455,333.51"
1142 Préstamos pactados a mas de un año plazo,"3,173,463.05","2,282,553.87","1,836,626.68","998,663.61",0.00,"244,940.83","603,897.55","1,788,139.93","101,622.40","334,193.03","483,469.45","531,146.42","12,378,716.82"
1148 Préstamos vencidos,"46,860.47","84,526.96","45,577.66","20,115.46",0.00,"8,673.47","24,532.79","31,789.18","7,921.43","1,701.70","23,749.74","3,150.90","298,599.75"
1149 Provisión para incobrabilidad de préstamos,"-110,924.03","-111,266.87","-60,123.86","-31,017.46",-9.64,"-9,334.60","-29,759.70","-46,079.40","-11,658.65","-3,210.23","-18,115.11","-7,937.80","-439,437.35"
12 Otros activos,"135,068.77","100,004.39","60,946.29","23,022.09","23,456.06","10,392.51","33,851.95","34,901.06","9,700.45","2,604.16","36,757.23","27,188.94","497,893.91"
1210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1220 Bienes recibidos en pago o adjudicados,"30,362.38","2,965.95","9,440.15","13,463.64",0.00,"4,781.95","5,379.49","5,695.86",0.00,0.00,"3,186.25","3,831.66","79,107.34"
1230 Existencias,986.38,251.71,238.11,169.06,0.00,364.89,224.95,295.04,0.00,56.97,54.36,20.93,"2,662.41"
1240 Gastos pagados por anticipado y cargos diferidos,"50,704.84","35,367.93","36,035.74","3,673.87",455.13,741.54,"16,500.07","10,257.08","7,185.12","1,536.12","23,699.43","7,450.75","193,607.61"
1250 Cuentas por cobrar,"48,598.64","32,784.86","10,798.85","5,707.11","23,000.94","5,259.58","11,766.03","19,025.67","2,515.33","1,011.06","9,968.89","14,693.90","185,130.87"
1259 Provisión de incobrabilidad de cuentas por cobrar,"-6,389.01","-2,754.65","-1,649.00",-105.87,0.00,-755.45,-18.59,-372.59,0.00,0.00,-151.69,-76.05,"-12,272.90"
1260 derechos y participaciones,"10,805.54","31,388.58","6,082.44",114.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,267.75","49,658.59"
13 Activo fijo,"84,163.88","110,609.17","42,990.76","15,697.32","1,010.28","20,419.89","16,139.62","34,938.90","2,762.81","2,042.45","6,817.19","7,517.54","345,109.80"
1310 No depreciables,"30,560.25","41,501.19","18,832.77","8,091.90",247.69,"8,635.75","2,655.79","9,491.80",0.00,730.09,"3,739.91","4,154.06","128,641.19"
1320 depreciables,"131,740.27","110,223.74","65,267.46","22,019.58","1,696.99","36,416.65","34,095.33","49,291.00","11,163.06","3,634.09","11,667.05","15,701.57","492,916.79"
1329 depreciación acumulada,"-79,364.72","-85,389.25","-45,259.05","-15,993.87","-1,023.71","-25,593.15","-22,146.81","-28,730.39","-10,266.97","-2,752.43","-9,752.10","-12,561.30","-338,833.75"
1330 Amortizables,"1,228.09","44,273.49","4,149.58","1,579.71",89.31,960.64,"1,535.29","4,886.49","1,866.72",430.70,"1,162.34",223.21,"62,385.57"
Total Activos,"5,573,221.71","3,816,175.37","2,921,294.84","1,781,174.40","221,047.07","477,441.37","1,353,684.04","3,144,775.04","140,494.90","516,170.82","848,145.57","950,202.28","21,743,827.41"
 ,,,,,,,,,,,,,
4110 Cartas de crédito,"24,364.04","19,219.57","15,055.98","3,469.90",0.00,0.00,0.00,"31,006.38",0.00,"1,358.72","4,771.09",0.00,"99,245.69"
4119 Provisión por pérdidas,-1.94,-27.50,0.00,-1.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-31.03
4120 Contingencias por avales y fianzas,"119,615.38","107,145.99","95,709.95","15,328.22","8,864.19","6,351.79","11,190.24","121,174.80",0.00,"20,499.19","2,381.78","12,547.78","520,809.33"
4129 Provisión por pérdidas,"-15,944.93","-15,672.24","-4,581.82","-6,418.30",-12.35,"-5,549.05",0.00,-106.93,0.00,0.00,0.00,0.00,"-48,285.63"
4131 derechos por operaciones en moneda extranjera,"11,695.99",305.01,0.00,0.00,227.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"12,228.63"
4139 Prov. pérdidas en derechos por operac. en mon. extran.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,,,,,,,,,,,,,
Total derechos futuros y contingencias,"139,728.55","110,970.84","106,184.11","12,378.22","9,079.47",802.74,"11,190.24","152,074.25",0.00,"21,857.92","7,152.87","12,547.78","583,966.99"
 ,,,,,,,,,,,,,
Total activos + derechos futuros y contingencias,"5,712,950.26","3,927,146.21","3,027,478.95","1,793,552.62","230,126.54","478,244.11","1,364,874.28","3,296,849.29","140,494.90","538,028.73","855,298.44","962,750.06","22,327,794.40"
 ,,,,,,,,,,,,,
Pasivos ,,,,,,,,,,,,,
21 Pasivos de intermediación,"4,785,667.32","3,320,140.77","2,539,264.64","1,595,313.17","178,461.00","384,543.54","1,176,099.69","2,798,893.64","107,219.90","416,681.60","719,755.25","836,454.35","18,858,494.87"
211 depósitos,"4,118,414.83","2,888,592.60","2,091,023.25","1,468,539.66","172,077.47","371,328.64","1,003,924.09","2,428,499.11","96,140.68","360,560.89","545,442.72","546,650.35","16,091,194.29"
2110 depósitos a la vista,"3,205,820.88","1,907,876.23","1,238,223.55","691,852.08","170,804.18","251,427.09","589,266.50","1,702,950.96","11,737.26","160,408.92","211,651.16","267,054.23","10,409,073.06"
211001 depósitos en cuenta corriente,"1,040,219.11","862,353.20","552,026.99","377,697.95","169,279.13","59,923.75","339,359.46","1,131,448.16","11,734.99","69,313.79","157,177.07","187,151.21","4,957,684.81"
211002 depósitos de ahorro,"2,163,644.27","1,045,523.03","685,548.29","314,154.14","1,525.06","191,503.34","249,907.04","571,502.80",0.00,"91,095.14","54,468.20","79,903.02","5,448,774.32"
211003 depósitos en cuenta de ahorro simplificada,"1,957.51",0.00,648.26,0.00,0.00,0.00,0.00,0.00,2.27,0.00,5.88,0.00,"2,613.93"
2111 depósitos pactados hasta un año plazo,"772,819.23","892,712.67","740,112.37","704,632.73",0.00,"109,726.25","369,545.36","663,817.12","80,857.71","192,406.35","304,018.37","252,179.43","5,082,827.59"
2112 depósitos pactados a mas de un año plazo,"71,787.54","18,933.03","69,601.61","49,982.56",0.00,197.82,"29,155.67","43,592.40",0.00,"2,386.85","21,970.41","20,676.29","328,284.19"
2114 depósitos restringidos e inactivos,"67,987.18","69,070.67","43,085.72","22,072.29","1,273.29","9,977.47","15,956.55","18,138.62","3,545.71","5,358.77","7,802.78","6,740.41","271,009.45"
212 Préstamos,"513,864.18","256,814.75","206,456.95","93,016.73",0.00,"12,934.93","144,728.77","241,646.63","3,017.75","53,466.89","79,223.79","152,851.38","1,758,022.75"
2121 Préstamos pactados hasta un año plazo,"184,628.65","86,025.83","88,521.23","12,020.39",0.00,16.20,"4,430.10","132,099.39","3,017.75","39,317.86","5,784.94","10,781.06","566,643.40"
2122 Préstamos pactados a mas de un año plazo,"75,220.45",71.82,"5,699.99","69,192.40",0.00,"6,277.10","43,681.43","109,547.23",0.00,"14,149.03","50,867.31","101,070.73","475,777.50"
2123 Préstamos pactados a cinco o mas años plazo,"254,015.08","170,717.11","112,235.73","11,803.93",0.00,"6,641.62","96,617.25",0.00,0.00,0.00,"22,571.54","40,999.59","715,601.86"
2130 Obligaciones a la vista,"23,923.40","26,600.45","11,169.04","31,901.11","6,383.53",279.98,"7,293.14","33,160.90",738.13,"2,653.81","3,576.20","2,749.99","150,429.69"
214 Títulos de emisión propia,"129,464.90","148,132.97","224,815.39",0.00,0.00,0.00,"20,153.68","95,587.01","7,323.34",0.00,"67,879.61","134,202.62","827,559.53"
2141 Títulos de emisión propia pactados hasta un año plazo.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"6,123.34",0.00,0.00,"12,573.20","18,696.54"
2142 Pactados a mas de un año plazo,"129,464.90","148,132.97","224,815.39",0.00,0.00,0.00,"20,153.68","95,587.01","1,200.00",0.00,"67,879.61","121,629.42","808,862.99"
215 Documentos transados,0.00,0.00,"5,800.00","1,855.68",0.00,0.00,0.00,0.00,0.00,0.00,"23,632.93",0.00,"31,288.61"
2151 Documentos transados hasta un año plazo,0.00,0.00,"5,800.00","1,855.68",0.00,0.00,0.00,0.00,0.00,0.00,"23,632.93",0.00,"31,288.61"
216 Cheques y otros valores por aplicar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2160 Cheques y otros valores por aplicar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
217 Instrumentos financieros a valor razonable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2170 Instrumentos financieros a valor razonable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
