Superintendencia del Sistema Financiero,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,
Datos al 31 de Julio de 2023,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,
,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,
11 Activos de intermediación,"5,535,268.92","3,813,683.31","3,032,560.48","2,012,280.56","225,125.52","440,341.08","1,292,278.51","3,178,261.11","152,375.13","624,578.95","801,956.39","1,071,933.19","22,180,643.14"
1110 Fondos disponibles,"854,265.68","555,529.59","397,082.61","297,739.04","115,092.08","119,972.70","182,240.51","439,206.01","16,951.49","84,601.52","86,182.26","100,574.90","3,249,438.39"
112 Adquisición temporal de documentos,"1,953.88","2,500.45",0.00,0.00,0.00,152.23,206.24,0.00,"2,862.01",0.00,0.00,0.00,"7,674.81"
1121 Documentos adquiridos hasta un año plazo,"1,953.88","2,500.45",0.00,0.00,0.00,152.23,206.24,0.00,"2,862.01",0.00,0.00,0.00,"7,674.81"
1128 Documentos vencidos,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1129 Provisión por pérdidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
113 Inversiones financieras,"811,307.41","487,713.67","388,058.12","687,151.54","89,303.35","14,733.90","177,271.02","342,718.76","9,392.24","63,854.74","104,433.94","196,954.66","3,372,893.34"
1130 Titulos valores conservados para negociación,"12,902.00",0.00,0.00,"684,914.49",0.00,0.00,0.00,0.00,0.00,262.69,"4,745.00","3,365.36","706,189.54"
1131 Titulos valores para conservarse hasta el vencimiento,"101,536.27",0.00,"7,922.35","2,148.51",0.00,"14,733.90",0.00,0.00,0.00,"46,781.14",883.65,"193,589.30","367,595.12"
1132 Titulos valores disponibles para venta,"696,869.14","487,713.67","380,135.78",88.54,"89,303.35",0.00,"177,271.02","342,718.76","9,392.24","16,810.90","98,805.29",0.00,"2,299,108.68"
1134 Instrumentos financieros para cobertura,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1138 Inversiones vencidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1139 Provisión para valuacion de inversiones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
114 Préstamos,"3,867,741.95","2,767,939.60","2,247,419.75","1,027,389.98","20,730.10","305,482.25","932,560.74","2,396,336.35","123,169.39","476,122.69","611,340.18","774,403.63","15,550,636.60"
1141 Préstamos pactados hasta un año plazo,"675,138.35","392,125.17","352,192.40","71,170.86","20,787.30","41,699.08","298,134.91","480,653.80","3,456.15","70,794.40","99,913.55","108,864.78","2,614,930.76"
1142 Préstamos pactados a mas de un año plazo,"3,253,783.43","2,411,462.10","1,909,342.65","972,293.01",0.00,"263,787.05","638,422.88","1,927,511.62","118,222.21","407,102.71","513,682.32","668,323.52","13,083,933.50"
1148 Préstamos vencidos,"46,058.63","80,350.33","47,322.44","20,389.26",0.00,"9,217.65","21,341.36","38,973.27","20,489.45","1,427.87","24,240.47","2,751.21","312,561.96"
1149 Provisión para incobrabilidad de préstamos,"-107,238.47","-115,998.00","-61,437.74","-36,463.15",-57.21,"-9,221.54","-25,338.41","-50,802.34","-18,998.42","-3,202.30","-26,496.16","-5,535.88","-460,789.62"
12 Otros activos,"127,524.11","89,840.78","51,608.82","28,888.11","1,624.86","11,960.91","36,111.36","21,406.90","12,500.15","3,678.38","33,699.99","28,538.69","447,383.06"
1210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1220 Bienes recibidos en pago o adjudicados,"23,071.94","1,148.77","8,482.40","11,092.22",0.00,"5,251.35","3,742.81","3,290.31",0.00,0.00,"3,412.53","2,466.79","61,959.12"
1230 Existencias,"1,036.88",321.84,419.36,168.11,0.00,325.18,176.88,267.69,0.00,41.51,10.87,26.42,"2,794.75"
1240 Gastos pagados por anticipado y cargos diferidos,"44,931.92","33,997.01","27,114.20","3,676.65",443.13,908.12,"15,427.80","10,820.36","8,787.12","1,858.73","24,674.40","10,386.23","183,025.68"
1250 Cuentas por cobrar,"49,365.10","24,632.38","11,595.01","13,956.46","1,181.73","6,175.09","17,090.29","7,385.96","3,713.02","1,778.14","5,870.90","14,320.87","157,064.94"
1259 Provisión de incobrabilidad de cuentas por cobrar,"-2,361.43","-2,275.52","-2,137.64",-119.60,0.00,-698.83,-326.42,-357.42,0.00,0.00,-268.72,-82.30,"-8,627.88"
1260 derechos y participaciones,"11,479.71","32,016.30","6,135.49",114.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,420.68","51,166.45"
13 Activo fijo,"81,406.01","113,424.30","42,657.93","15,620.89","1,643.18","19,846.79","17,674.38","43,922.90","1,936.39","2,118.34","2,447.87","9,785.10","352,484.10"
1310 No depreciables,"29,794.22","41,231.84","19,029.72","7,960.11",247.69,"8,645.40","3,746.48","11,415.33",0.00,730.09,246.95,"5,802.13","128,849.95"
1320 depreciables,"129,104.51","109,346.94","66,450.68","23,578.40","2,598.41","34,898.63","36,144.56","57,881.03","10,805.91","3,769.13","9,988.55","16,155.17","500,721.92"
1329 depreciación acumulada,"-78,462.27","-86,789.64","-46,293.99","-17,131.54","-1,306.49","-24,640.95","-23,700.23","-33,436.79","-10,379.06","-2,835.02","-9,115.74","-12,570.13","-346,661.86"
1330 Amortizables,969.54,"49,635.17","3,471.53","1,213.91",103.58,943.71,"1,483.58","8,063.33","1,509.54",454.15,"1,328.12",397.94,"69,574.09"
Total Activos,"5,744,199.04","4,016,948.39","3,126,827.23","2,056,789.56","228,393.56","472,148.78","1,346,064.26","3,243,590.91","166,811.66","630,375.68","838,104.25","1,110,256.98","22,980,510.31"
 ,,,,,,,,,,,,,
4110 Cartas de crédito,"14,915.97","23,463.94","10,533.81","2,322.69",0.00,0.00,76.50,"57,060.49",0.00,"1,147.34","2,770.27",0.00,"112,291.02"
4119 Provisión por pérdidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4120 Contingencias por avales y fianzas,"86,422.52","72,218.08","117,273.61","19,101.14","5,359.75","5,714.75","6,827.19","69,715.66",0.00,"20,019.29","1,935.10","6,735.53","411,322.63"
4129 Provisión por pérdidas,"-15,914.05","-15,911.25","-4,760.02","-8,828.83",-33.67,"-5,714.75",0.00,-84.63,0.00,0.00,0.00,0.00,"-51,247.19"
4131 derechos por operaciones en moneda extranjera,"8,831.71",0.00,0.00,0.00,287.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"9,119.52"
4139 Prov. pérdidas en derechos por operac. en mon. extran.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,,,,,,,,,,,,,
Total derechos futuros y contingencias,"94,256.16","79,770.77","123,047.40","12,595.00","5,613.89",0.00,"6,903.68","126,691.53",0.00,"21,166.64","4,705.37","6,735.53","481,485.97"
 ,,,,,,,,,,,,,
Total activos + derechos futuros y contingencias,"5,838,455.20","4,096,719.17","3,249,874.63","2,069,384.56","234,007.45","472,148.78","1,352,967.94","3,370,282.44","166,811.66","651,542.31","842,809.62","1,116,992.51","23,461,996.28"
 ,,,,,,,,,,,,,
Pasivos ,,,,,,,,,,,,,
21 Pasivos de intermediación,"4,916,656.34","3,489,433.47","2,721,608.48","1,845,141.49","188,462.68","371,952.58","1,175,038.36","2,851,345.41","130,568.51","509,451.63","710,852.78","994,485.95","19,904,997.67"
211 depósitos,"4,215,161.90","3,000,178.06","2,217,257.28","1,719,862.94","186,611.21","352,695.02","1,004,759.86","2,475,160.04","115,154.90","384,579.48","546,233.57","693,009.80","16,910,664.07"
2110 depósitos a la vista,"3,248,943.98","1,965,956.15","1,253,769.87","626,731.80","186,374.43","240,900.86","546,115.92","1,651,591.88","14,880.55","169,673.70","172,631.38","291,605.31","10,369,175.82"
211001 depósitos en cuenta corriente,"1,041,109.85","857,199.35","514,152.54","329,082.14","159,387.15","48,314.58","320,346.34","1,043,679.17","14,824.03","73,116.46","122,367.64","207,897.36","4,731,476.59"
211002 depósitos de ahorro,"2,205,720.89","1,108,756.80","738,706.47","297,649.66","26,987.28","192,586.29","225,769.58","607,912.71",0.00,"96,557.24","50,260.51","83,707.94","5,634,615.38"
211003 depósitos en cuenta de ahorro simplificada,"2,113.24",0.00,910.85,0.00,0.00,0.00,0.00,0.00,56.52,0.00,3.24,0.00,"3,083.85"
2111 depósitos pactados hasta un año plazo,"806,527.62","938,750.21","840,152.37","881,733.93",0.00,"102,160.70","400,365.67","753,700.68","91,116.17","208,064.86","342,228.76","300,889.44","5,665,690.40"
2112 depósitos pactados a mas de un año plazo,"89,906.21","28,568.06","77,789.26","184,865.95",0.00,168.81,"32,875.62","53,078.50","5,432.66","3,061.65","23,254.44","93,274.20","592,275.38"
2114 depósitos restringidos e inactivos,"69,784.09","66,903.64","45,545.78","26,531.26",236.78,"9,464.64","25,402.66","16,788.98","3,725.53","3,779.27","8,118.99","7,240.86","283,522.47"
212 Préstamos,"511,673.58","276,550.63","230,978.37","85,173.09",0.00,"19,105.57","116,779.14","193,129.03","10,542.21","65,567.75","94,970.75","142,509.02","1,746,979.15"
2121 Préstamos pactados hasta un año plazo,"133,433.52","52,327.45","128,500.02","15,064.00",0.00,16.20,"18,171.07","104,014.11","2,446.97","37,572.25","6,455.87","12,123.32","510,124.79"
2122 Préstamos pactados a mas de un año plazo,"122,459.68","26,651.49","4,912.86","62,169.15",0.00,"4,329.61","16,796.84","89,114.93","3,086.67","27,995.50","50,688.56","90,318.58","498,523.87"
2123 Préstamos pactados a cinco o mas años plazo,"255,780.37","197,571.68","97,565.49","7,939.95",0.00,"14,759.75","81,811.23",0.00,"5,008.58",0.00,"37,826.31","40,067.12","738,330.48"
2130 Obligaciones a la vista,"22,163.38","22,449.97","11,107.51","32,364.21","1,851.47",151.99,"9,150.68","22,601.76",607.73,"4,008.84","4,609.60","1,180.87","132,247.99"
214 Títulos de emisión propia,"167,657.48","190,254.81","262,265.32",0.00,0.00,0.00,"44,348.68","160,454.58","4,263.66","55,295.56","60,293.86","154,420.91","1,099,254.85"
2141 Títulos de emisión propia pactados hasta un año plazo.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"3,260.28","7,628.16",0.00,"24,788.98","35,677.43"
2142 Pactados a mas de un año plazo,"167,657.48","190,254.81","262,265.32",0.00,0.00,0.00,"44,348.68","160,454.58","1,003.38","47,667.40","60,293.86","129,631.92","1,063,577.42"
215 Documentos transados,0.00,0.00,0.00,"7,741.25",0.00,0.00,0.00,0.00,0.00,0.00,"4,745.00","3,365.36","15,851.61"
2151 Documentos transados hasta un año plazo,0.00,0.00,0.00,"7,741.25",0.00,0.00,0.00,0.00,0.00,0.00,"4,745.00","3,365.36","15,851.61"
216 Cheques y otros valores por aplicar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2160 Cheques y otros valores por aplicar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
217 Instrumentos financieros a valor razonable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
