Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,
Datos al 31 de julio de 2024,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agricola, S.A.","Banco Cuscatlan de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones,,
,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,
11 Activos,"5,695,804.4","3,956,775.6","3,088,507.0","2,184,547.4","221,012.5","456,803.8","1,356,432.0","3,422,605.4","171,624.3","716,348.0","850,556.2","1,227,141.3","23,348,157.9",,
1110 Disponibilidades,"830,544.7","557,127.2","400,883.6","264,348.5","72,249.1","128,752.2","232,971.6","470,281.1","22,479.6","111,240.0","113,516.9","130,399.2","3,334,793.8",,
112 Operaciones con pacto de retroventa,"5,254.7",165.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"5,420.3",,
1121 Operaciones con pacto de retroventa,"5,254.7",165.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"5,420.3",,
1130 A valor razonable con cambios en resultados (vrcr),"671,651.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"19,028.4","690,679.5",,
1131 A valor razonable con cambios en otro resultado integral (vrori),0.0,0.0,"308,634.7","892,839.0",0.0,0.0,0.0,"385,100.4",0.0,0.0,0.0,0.0,"1,586,574.1",,
1132 Derivados financieros para coberturas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1134 A costo amortizado,"39,705.7","482,004.7","5,392.2","8,737.0","103,262.4","12,041.0","165,215.9",0.0,"26,290.6","64,161.5","119,982.9","224,395.5","1,251,189.3",,
1138 Instrumentos financieros restringidos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"14,575.1",0.0,"14,575.1",,
114 Préstamos,"4,148,648.3","2,917,478.1","2,373,596.5","1,018,622.9","45,501.0","316,010.6","958,244.5","2,567,223.8","122,854.1","540,946.5","602,481.4","853,318.1","16,464,925.8",,
1141 Préstamos pactados hasta un año plazo,"689,126.4","391,843.1","361,357.7","70,371.1","45,762.6","43,972.0","299,416.2","568,126.8","6,455.4","69,178.5","102,456.7","102,594.5","2,750,661.0",,
1142 Préstamos pactados a más de un año plazo,"3,500,871.8","2,572,239.3","2,023,500.4","956,687.2",0.0,"272,693.4","661,440.8","2,015,867.2","118,220.5","473,773.1","503,886.2","752,641.8","13,851,821.8",,
1148 Préstamos vencidos,"53,264.5","80,078.7","58,512.9","32,494.6",0.0,"8,245.1","21,713.2","31,924.8","7,442.3","1,366.6","18,956.6","3,487.0","317,486.4",,
1149 Provisión para incobrabilidad de préstamos,"-94,614.4","-126,683.0","-69,774.5","-40,930.0",-261.7,"-8,899.9","-24,325.8","-48,695.0","-9,264.1","-3,371.7","-22,818.2","-5,405.2","-455,043.4",,
12 Otros activos,"94,274.8","86,145.1","36,335.3","27,545.1","1,594.5","10,907.8","28,477.8","26,149.2","10,870.2","9,721.9","11,977.8","27,445.6","371,445.2",,
1210 Saldos entre compañías,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1220 Bienes recibidos en pago o adjudicados,"18,198.4","2,471.8","6,026.8","12,611.6",0.0,"4,623.5","1,728.1","1,987.4",0.0,0.0,"3,289.4","2,375.6","53,312.6",,
1230 Existencias,"1,492.2",357.1,501.2,163.9,0.0,304.9,84.0,203.8,0.0,48.7,97.9,32.0,"3,285.7",,
1240 Gastos pagados por anticipado,"5,622.4","11,405.6","4,014.5","1,624.5",91.4,476.1,"7,861.1","1,969.7","6,430.3",795.4,"2,667.4","2,493.8","45,452.3",,
1250 Cuentas por cobrar,"43,503.4","18,926.0","12,587.3","10,007.9","1,088.7","5,757.2","16,874.3","13,465.0","3,017.7","8,227.9","3,285.4","17,236.4","153,977.3",,
1251 Impuestos,"19,808.8","23,943.4","9,371.1","3,180.8",414.3,476.0,"3,803.5","1,952.2","1,422.1",649.9,"2,921.9","3,193.3","71,137.4",,
1259 Estimación de pérdida por deterioro de valor,"-3,133.6","-2,509.1","-2,539.2",-157.9,0.0,-729.9,"-1,873.1",-364.0,0.0,0.0,-284.2,-100.4,"-11,691.4",,
"1260 Inversiones en acciones, derechos y participaciones","8,783.1","31,550.3","6,373.6",114.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,214.9","49,036.1",,
1261 Plusvalía comprada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"6,935.1",0.0,0.0,0.0,0.0,"6,935.1",,
1270 Activos mantenidos para la venta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
13 Activos físicos e intangibles,"126,520.7","113,360.8","60,900.0","22,463.1","2,761.5","19,996.6","29,503.2","50,263.5","8,867.6","5,044.4","22,884.5","24,628.8","487,194.7",,
131 Propiedades no depreciables,"29,781.3","41,094.5","18,697.7","8,216.3",247.7,"9,118.2","4,152.9","12,709.2",0.0,730.1,"3,826.1","5,222.0","133,796.0",,
1310 Propiedades no depreciables,"29,781.3","41,094.5","18,697.7","8,216.3",247.7,"9,118.2","4,152.9","12,709.2",0.0,730.1,"3,826.1","5,222.0","133,796.0",,
132 Propiedades y equipo depreciables,"71,651.7","38,653.7","28,766.2","13,136.7","2,513.8","10,010.1","18,111.8","36,148.5","4,558.6","3,813.7","4,026.8","12,465.7","243,857.3",,
1320 Depreciables,"172,797.7","134,582.1","85,027.4","34,095.6","4,452.8","36,074.2","43,613.6","92,293.5","5,634.1","9,619.2","14,651.2","26,249.8","659,091.1",,
1329 Depreciación y deterioro acumulada(o) (-),"-101,146.0","-95,928.4","-56,261.1","-20,958.9","-1,939.0","-26,064.0","-25,501.8","-56,145.0","-1,075.5","-5,805.5","-10,624.4","-13,784.1","-415,233.8",,
133 Intangibles,"25,087.7","33,612.7","13,436.1","1,110.2",0.0,868.2,"7,238.5","1,405.7","4,309.0",500.6,"15,031.6","6,941.0","109,541.3",,
1330 Intangibles,"39,435.3","63,241.4","34,778.0","1,417.1",0.0,"1,760.2","7,238.5","3,295.0","4,309.0","3,425.2","30,014.8","11,229.0","200,143.4",,
1339 Amortización y deterioro acumulada(o) (-),"-14,347.6","-29,628.7","-21,341.9",-306.9,0.0,-891.9,0.0,"-1,889.3",0.0,"-2,924.6","-14,983.2","-4,288.0","-90,602.0",,
Total Activos,"5,916,599.9","4,156,281.5","3,185,742.4","2,234,555.7","225,368.4","487,708.2","1,414,413.0","3,499,018.1","191,362.1","731,114.3","885,418.6","1,279,215.7","24,206,797.8",,
,,,,,,,,,,,,,,,
4110 Cartas de crédito,"30,355.0","8,979.5","5,016.2",130.0,0.0,0.0,274.2,"55,453.2",0.0,"1,405.9","6,640.4",0.0,"108,254.4",,
4120 Avales y fianzas,"82,809.5","64,999.3","131,565.7","18,916.1","4,606.2","5,732.4","7,124.7","57,890.9",0.0,"18,387.9","1,681.5","8,984.7","402,698.8",,
4129 Provisión por pérdidas,"-16,354.8","-15,546.8","-4,949.8","-10,888.8",-7.7,"-5,732.4",0.0,-33.2,0.0,0.0,0.0,0.0,"-53,513.4",,
4130 Operaciones con instrumentos financieros derivados,"9,281.4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"9,281.4",,
4180 Otras,0.0,0.0,0.0,0.0,277.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.3,,
,,,,,,,,,,,0.0,,0.0,,
Total derechos futuros y contingencias,"106,091.1","58,431.9","131,632.0","8,157.3","4,875.8",0.0,"7,398.9","113,310.9",0.0,"19,793.8","8,321.9","8,984.7","466,998.5",,
,,,,,,,,,,,,,0.0,,
Total activos + derechos futuros y contingencias,"6,022,691.1","4,214,713.4","3,317,374.4","2,242,713.1","230,244.2","487,708.2","1,421,811.9","3,612,329.0","191,362.1","750,908.1","893,740.5","1,288,200.4","24,673,796.3",,
,,,,,,,,,,,,,,,
Pasivos,,,,,,,,,,,,,,,
21 Pasivos,"5,152,173.8","3,612,882.5","2,767,311.2","2,010,312.7","177,118.8","384,145.1","1,277,035.0","3,087,353.1","153,206.8","612,436.7","780,224.0","1,143,219.3","21,157,419.1",,
210 Pasivos financieros a valor razonable con cambios en resultados (vrcr),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2100 Mantenidos para negociar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
211 Pasivos financieros a costo amortizado,"4,969,424.7","3,396,236.6","2,540,406.8","1,632,892.3","175,544.0","384,074.9","1,227,946.7","2,915,122.8","144,701.4","547,067.5","752,271.5","955,568.8","19,641,258.0",,
2110 Depósitos a la vista,"3,433,468.6","2,066,666.8","1,321,510.2","665,082.7","152,265.4","248,575.4","567,688.8","1,728,821.7","15,833.7","206,168.0","239,618.8","292,807.9","10,938,508.1",,
2111 Depósitos pactados hasta un año plazo,"891,183.1","984,837.7","901,053.9","677,697.7",0.0,"102,425.4","425,380.6","832,691.6","88,092.1","257,167.4","355,510.8","302,028.2","5,818,068.4",,
2112 Depósitos pactados a más de un año plazo,"104,220.4","35,734.5","103,615.8","194,770.7",0.0,17.7,"37,700.7","89,607.4","22,616.6","7,550.9","20,677.4","169,631.8","786,143.8",,
2113 Certificados de depósitos negociables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"22,489.2","22,489.2",,
2114 Depósitos restringidos e inactivos,"79,910.4","63,388.5","52,605.2","27,124.8","1,823.4","9,794.2","27,485.9","18,878.1","2,800.2","3,647.9","7,873.3","11,179.0","306,511.1",,
2115 Operaciones con pacto de retrocompra,0.0,0.0,907.2,0.0,0.0,0.0,0.0,0.0,"4,219.6",0.0,"14,575.1","13,234.5","32,936.4",,
2116 Préstamos pactados hasta un año plazo,"81,434.7","45,423.2","81,655.5","15,145.4","20,020.8",16.2,"32,639.0","126,548.1","5,588.0","38,121.0","9,491.8","18,274.5","474,358.2",,
2117 Préstamos pactados a más de un año plazo,"73,520.3","30,480.5","4,911.9","48,232.8",0.0,"3,192.3","34,862.4","118,575.9","1,545.3","34,412.2","40,656.6","70,823.8","461,213.9",,
2118 Préstamos pactados a cinco o mas años plazo,"235,393.1","169,705.4","74,147.2","4,838.1","1,434.4","20,053.8","56,282.4",0.0,"4,005.9",0.0,"63,867.7","55,100.0","684,828.0",,
2119 Préstamos subordinados,"70,294.1",0.0,0.0,0.0,0.0,0.0,"45,906.9",0.0,0.0,0.0,0.0,0.0,"116,200.9",,
212 Títulos de emisión propia,"164,924.0","196,520.8","215,958.6","348,464.7",0.0,0.0,"42,909.6","154,903.7","8,340.2","63,180.3","25,009.3","186,160.7","1,406,371.9",,
2120 Títulos de emisión propia,"164,924.0","196,520.8","215,958.6","348,464.7",0.0,0.0,"42,909.6","154,903.7","8,340.2","63,180.3","25,009.3","186,160.7","1,406,371.9",,
213 Obligaciones a la vista,"17,825.1","20,125.1","10,945.9","28,955.6","1,574.8",70.2,"6,178.7","17,326.7",165.2,"2,188.9","2,943.3","1,489.8","109,789.3",,
2130 Obligaciones a la vista,"17,825.1","20,125.1","10,945.9","28,955.6","1,574.8",70.2,"6,178.7","17,326.7",165.2,"2,188.9","2,943.3","1,489.8","109,789.3",,
22 Otros pasivos,"140,943.0","79,421.1","49,589.1","11,505.5","4,958.0","29,004.6","20,948.5","57,650.3","4,539.9","38,864.7","7,425.1","16,691.3","461,541.0",,
