Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,
Datos al  31 de julio de 2025,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,
,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,
11 Activos," 6,190,888.49 "," 4,399,437.85 "," 3,359,022.37 "," 2,367,190.54 "," 209,892.92 "," 509,709.33 "," 1,423,903.78 "," 3,788,125.45 "," 205,227.58 "," 911,118.08 "," 922,962.59 "," 276,077.09 "," 1,316,362.12 "," 25,879,918.18 ",
1110 Disponibilidades," 966,305.58 "," 797,991.93 "," 513,793.67 "," 518,910.96 "," 69,811.79 "," 154,304.15 "," 281,951.26 "," 565,607.65 "," 34,662.05 "," 145,205.13 "," 120,880.51 "," 52,290.16 "," 158,303.83 "," 4,380,018.65 ",
112 Operaciones con pacto de retroventa," 5,661.45 "," 5,199.88 ", -   , -   , -   , -   , -   , -   , -   , -   , -   ," 5,387.34 ", -   ," 16,248.67 ",
1121 Operaciones con pacto de retroventa," 5,661.45 "," 5,199.88 ", -   , -   , -   , -   , -   , -   , -   , -   , -   ," 5,387.34 ", -   ," 16,248.67 ",
1130 A valor razonable con cambios en resultados (vrcr)," 755,504.95 "," 26,929.13 ", -   , -   , -   , -   , -   , -   , -   ," 4,581.70 ", -   ," 3,005.32 "," 27,145.10 "," 817,166.20 ",
1131 A valor razonable con cambios en otro resultado integral (vrori), -   , -   ," 155,940.70 "," 833,623.60 ", -   , -   , -   ," 398,342.38 ", -   , -   , -   , -   , -   ," 1,387,906.68 ",
1132 Derivados financieros para coberturas, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
1134 A costo amortizado," 37,847.80 "," 505,795.86 "," 240,688.80 "," 52,150.38 "," 105,824.39 "," 11,005.43 "," 122,649.78 ", -   ," 48,461.46 "," 63,501.01 "," 155,931.35 ", -   ," 175,515.12 "," 1,519,371.40 ",
1138 Instrumentos financieros restringidos, -   , -   ," 8,983.48 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 8,983.48 ",
114 Préstamos," 4,425,568.71 "," 3,063,521.05 "," 2,439,615.73 "," 962,505.60 "," 34,256.74 "," 344,399.75 "," 1,019,302.74 "," 2,824,175.42 "," 122,104.06 "," 697,830.23 "," 646,150.73 "," 215,394.27 "," 955,398.07 "," 17,750,223.10 ",
1141 Préstamos pactados hasta un año plazo," 927,754.07 "," 431,877.78 "," 359,433.96 "," 62,841.71 "," 34,256.74 "," 58,857.00 "," 344,273.82 "," 656,785.72 "," 5,797.61 "," 86,594.00 "," 113,281.99 "," 2,630.13 "," 214,894.03 "," 3,299,278.57 ",
1142 Préstamos pactados a más de un año plazo," 3,557,203.15 "," 2,681,683.13 "," 2,091,536.81 "," 912,414.02 ", -   ," 285,913.55 "," 677,247.88 "," 2,175,670.48 "," 119,095.76 "," 613,356.93 "," 536,503.49 "," 212,989.81 "," 737,800.86 "," 14,601,415.86 ",
1148 Préstamos vencidos," 43,494.50 "," 34,617.32 "," 60,572.23 "," 40,263.81 ", -   ," 9,083.09 "," 20,860.75 "," 37,298.53 "," 4,364.06 "," 1,480.94 "," 17,170.68 "," 3,761.02 "," 12,701.20 "," 285,668.12 ",
1149 Provisión para incobrabilidad de préstamos,"-102,883.00 ","-84,657.19 ","-71,927.27 ","-53,013.93 ", -   ,"-9,453.89 ","-23,079.71 ","-45,579.32 ","-7,153.36 ","-3,601.64 ","-20,805.42 ","-3,986.70 ","-9,998.01 ","-436,139.45 ",
12 Otros activos," 93,672.78 "," 72,431.66 "," 48,572.21 "," 31,119.31 "," 4,260.44 "," 9,203.62 "," 31,272.12 "," 22,927.09 "," 12,787.96 "," 5,007.86 "," 13,264.51 "," 7,323.91 "," 48,411.44 "," 400,254.91 ",
1210 Saldos entre compañías, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
1220 Bienes recibidos en pago o adjudicados," 16,056.34 "," 2,114.39 "," 5,298.02 "," 9,785.57 ", -   ," 3,109.49 "," 1,463.70 "," 1,519.92 ", 120.78 , -   ," 3,091.42 ", 648.51 ," 3,543.77 "," 46,751.91 ",
1230 Existencias," 1,225.55 ", 303.39 , 306.92 , 169.77 , -   , 293.23 , 161.22 , 505.74 , 25.33 , 21.12 , 100.18 , 23.64 , 50.78 ," 3,186.88 ",
1240 Gastos pagados por anticipado," 5,982.51 "," 8,297.82 "," 19,011.65 "," 1,754.86 ", 11.22 , 209.19 ," 9,130.22 "," 3,760.34 "," 7,052.14 ", 914.58 ," 3,642.81 "," 2,728.70 "," 4,267.32 "," 66,763.34 ",
1250 Cuentas por cobrar," 40,009.83 "," 19,990.04 "," 11,051.09 "," 12,072.66 "," 3,813.95 "," 5,820.00 "," 17,343.00 "," 8,012.83 "," 4,174.24 "," 2,895.06 "," 3,447.51 ", 431.82 ," 31,088.68 "," 160,150.71 ",
1251 Impuestos," 23,256.20 "," 23,591.22 "," 9,150.53 "," 7,431.87 ", 435.28 , 506.73 ," 5,152.50 "," 2,580.21 "," 1,415.47 "," 1,177.10 "," 3,086.69 "," 2,340.75 "," 3,840.35 "," 83,964.90 ",
1259 Estimación de pérdida por deterioro de valor,"-2,984.47 ","-2,058.75 ","-2,831.29 ",-209.69 , -   ,-735.02 ,"-1,978.51 ",-387.07 , -   , -   ,-104.10 ,-27.69 ,-119.01 ,"-11,435.60 ",
"1260 Inversiones en acciones, derechos y participaciones"," 10,126.83 "," 20,193.55 "," 6,585.29 ", 114.28 , -   , -   , -   , -   , -   , -   , -   , -   ," 5,739.54 "," 42,759.48 ",
1261 Plusvalía comprada, -   , -   , -   , -   , -   , -   , -   ," 6,935.12 ", -   , -   , -   ," 1,178.18 ", -   ," 8,113.30 ",
1270 Activos mantenidos para la venta, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
13 Activos físicos e intangibles," 132,151.05 "," 110,713.00 "," 61,518.60 "," 21,158.72 "," 2,242.26 "," 20,025.61 "," 28,921.61 "," 51,465.83 "," 8,868.81 "," 11,444.97 "," 25,126.25 "," 9,054.89 "," 26,197.84 "," 508,889.43 ",
131 Propiedades no depreciables," 29,221.87 "," 40,887.33 "," 18,928.31 "," 7,957.74 ", 247.69 ," 9,177.71 "," 4,087.04 "," 13,275.80 ", -   , 730.09 , 400.00 ," 1,647.76 "," 3,973.56 "," 130,534.90 ",
1310 Propiedades no depreciables," 29,221.87 "," 40,887.33 "," 18,928.31 "," 7,957.74 ", 247.69 ," 9,177.71 "," 4,087.04 "," 13,275.80 ", -   , 730.09 , 400.00 ," 1,647.76 "," 3,973.56 "," 130,534.90 ",
132 Propiedades y equipo depreciables," 80,549.21 "," 36,705.60 "," 28,233.11 "," 12,091.78 "," 1,994.57 "," 9,574.49 "," 17,116.89 "," 36,432.02 "," 4,172.17 "," 9,828.71 "," 8,056.34 "," 6,631.25 "," 14,732.98 "," 266,119.11 ",
1320 Depreciables," 185,676.95 "," 134,936.23 "," 85,957.54 "," 33,540.16 "," 4,667.82 "," 36,535.55 "," 46,101.10 "," 100,090.12 "," 4,813.60 "," 16,312.44 "," 19,514.90 "," 13,461.10 "," 31,943.74 "," 713,551.25 ",
1329 Depreciación y deterioro acumulada(o) (-),"-105,127.74 ","-98,230.63 ","-57,724.43 ","-21,448.38 ","-2,673.26 ","-26,961.06 ","-28,984.21 ","-63,658.11 ",-641.43 ,"-6,483.72 ","-11,458.56 ","-6,829.85 ","-17,210.77 ","-447,432.13 ",
133 Intangibles," 22,379.97 "," 33,120.07 "," 14,357.18 "," 1,109.20 ", -   ," 1,273.41 "," 7,717.67 "," 1,758.01 "," 4,696.64 ", 886.17 ," 16,669.91 ", 775.89 ," 7,491.30 "," 112,235.42 ",
1330 Intangibles," 44,756.09 "," 79,184.26 "," 38,611.85 "," 1,822.92 ", -   ," 4,068.06 "," 7,717.67 "," 4,528.61 "," 7,703.86 "," 4,008.03 "," 34,852.26 "," 9,218.54 "," 14,015.02 "," 250,487.18 ",
1339 Amortización y deterioro acumulada(o) (-),"-22,376.12 ","-46,064.20 ","-24,254.68 ",-713.72 , -   ,"-2,794.65 ", -   ,"-2,770.60 ","-3,007.22 ","-3,121.86 ","-18,182.35 ","-8,442.65 ","-6,523.72 ","-138,251.76 ",
Total Activos," 6,416,712.31 "," 4,582,582.51 "," 3,469,113.17 "," 2,419,468.57 "," 216,395.62 "," 538,938.56 "," 1,484,097.51 "," 3,862,518.37 "," 226,884.35 "," 927,570.91 "," 961,353.35 "," 292,455.89 "," 1,390,971.40 "," 26,789,062.52 ",
,,,,,,,,,,,,,,,
4110 Cartas de crédito," 15,830.00 "," 11,036.46 "," 14,827.04 ", -   , -   , -   , 408.46 ," 86,819.31 ", -   ," 1,275.83 "," 4,101.83 ", -   , -   ," 134,298.92 ",
4120 Avales y fianzas," 90,833.00 "," 64,670.51 "," 111,141.68 "," 12,042.12 "," 3,245.69 "," 5,732.38 "," 4,783.33 "," 57,483.15 ", -   ," 15,942.79 "," 3,220.30 ", -   ," 9,303.35 "," 378,398.30 ",
4129 Provisión por pérdidas,"-15,905.96 ","-14,742.74 ","-4,213.94 ","-9,324.05 ", -   ,"-5,732.38 ", -   ,-22.01 , -   , -   , -   , -   , -   ,"-49,941.08 ",
4130 Operaciones con instrumentos financieros derivados," 8,417.08 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 8,417.08 ",
4180 Otras, -   , -   , -   , -   , 74.52 , -   , -   , -   , -   , -   , -   , -   , -   , 74.52 ,
,,,,,,,,,,,,,,,
Total derechos futuros y contingencias," 99,174.12 "," 60,964.23 "," 121,754.78 "," 2,718.07 "," 3,320.21 ", -   ," 5,191.79 "," 144,280.44 ", -   ," 17,218.62 "," 7,322.13 ", -   ," 9,303.35 "," 471,247.75 ",
,,,,,,,,,,,,,,,
Total activos + derechos futuros y contingencias," 6,515,886.43 "," 4,643,546.74 "," 3,590,867.95 "," 2,422,186.64 "," 219,715.83 "," 538,938.56 "," 1,489,289.30 "," 4,006,798.81 "," 226,884.35 "," 944,789.54 "," 968,675.48 "," 292,455.89 "," 1,400,274.75 "," 27,260,310.27 ",
,,,,,,,,,,,,,,,
Pasivos,,,,,,,,,,,,,,,
21 Pasivos," 5,533,757.52 "," 4,013,270.22 "," 3,040,237.87 "," 2,177,377.17 "," 164,133.73 "," 426,124.04 "," 1,345,775.43 "," 3,429,275.12 "," 189,296.29 "," 810,975.48 "," 851,081.89 "," 246,303.30 "," 1,246,017.73 "," 23,473,625.78 ",
210 Pasivos financieros a valor razonable con cambios en resultados (vrcr), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
2100 Mantenidos para negociar, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
211 Pasivos financieros a costo amortizado," 5,461,064.43 "," 3,860,034.11 "," 2,900,383.64 "," 1,750,221.69 "," 163,061.32 "," 426,100.28 "," 1,299,913.50 "," 3,290,079.95 "," 181,372.37 "," 745,275.52 "," 832,884.88 "," 236,456.27 "," 1,146,242.77 "," 22,293,090.72 ",
2110 Depósitos a la vista," 3,898,429.16 "," 2,426,922.32 "," 1,537,596.10 "," 744,475.08 "," 151,170.87 "," 274,501.98 "," 615,252.67 "," 1,892,461.83 "," 25,022.58 "," 285,100.67 "," 248,002.94 "," 63,662.52 "," 357,710.32 "," 12,520,309.06 ",
