Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,,
Datos al 31 de Agosto de 2020,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco Cuscatlán Sv, S.A.  1/","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,,
11 Activos de intermediación,"4,993,614.81","1,635,424.41","2,864,416.26","1,208,688.78","288,059.35","393,203.82","423,568.83","1,253,708.08","1,856,339.25","2,625,607.93","68,717.17","404,284.68","486,343.73","658,199.10","19,160,176.18"
1110 Fondos disponibles,"1,044,919.39","365,692.09","519,980.70","235,378.82","131,012.43","119,529.57","72,098.19","310,662.72","370,120.22","522,616.76","14,947.36","76,601.67","65,956.39","85,855.81","3,935,372.11"
112 Adquisición temporal de documentos,"14,946.52",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,194.65","17,141.17"
1121 Documentos adquiridos hasta un año plazo,"14,946.52",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,194.65","17,141.17"
1128 Documentos vencidos,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1129 Provisión por pérdidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
113 Inversiones financieras,"600,726.85","168,508.05","395,195.98","127,853.81","145,158.84","8,882.08","83,908.66","121,132.20","125,172.20","219,302.99","8,514.43","106,837.24","66,636.27","92,560.94","2,270,390.54"
1130 Titulos valores conservados para negociación,0.00,0.00,0.00,"121,191.27",0.00,0.00,"1,211.96","121,132.20",0.00,0.00,0.00,263.99,0.00,0.00,"243,799.42"
1131 Titulos valores para conservarse hasta el vencimiento,"9,076.90","1,502.51","25,003.34","2,147.03",0.00,"8,882.08","82,696.70",0.00,"2,267.39",0.00,0.00,"89,584.74","17,441.34","90,024.32","328,626.35"
1132 Titulos valores disponibles para venta,"591,662.40","167,005.54","370,308.64","4,515.50","145,158.84",0.00,0.00,0.00,"122,904.81","219,302.99","8,563.55","16,988.51","49,194.93","2,536.62","1,698,142.32"
1138 Inversiones vencidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1139 Provisión para valuacion de inversiones,-12.44,0.00,-116.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-49.12,0.00,0.00,0.00,-177.56
114 Préstamos,"3,333,022.05","1,101,224.26","1,949,239.59","845,456.15","11,888.08","264,792.17","267,561.98","821,913.16","1,361,046.83","1,883,688.18","45,255.38","220,845.77","353,751.07","477,587.70","12,937,272.36"
1141 Préstamos pactados hasta un año plazo,"507,816.82","163,192.07","310,979.98","103,731.95","11,889.13","38,583.59","52,844.22","232,498.00","80,460.98","491,292.45",839.52,"25,824.67","48,101.86","27,635.64","2,095,690.89"
1142 Préstamos pactados a mas de un año plazo,"2,891,274.42","951,883.86","1,666,909.54","754,602.63",0.00,"227,661.47","217,986.94","599,224.81","1,285,516.18","1,416,513.32","45,730.41","196,242.02","308,956.94","450,741.24","11,013,243.77"
1148 Préstamos vencidos,"46,352.30","16,118.90","35,432.03","9,667.52",0.00,"9,323.97","3,920.99","19,025.86","37,246.92","18,949.58",947.66,"2,053.34","1,653.48","2,970.76","203,663.31"
1149 Provisión para incobrabilidad de préstamos,"-112,421.50","-29,970.57","-64,081.96","-22,545.95",-1.05,"-10,776.86","-7,190.16","-28,835.51","-42,177.25","-43,067.18","-2,262.22","-3,274.26","-4,961.20","-3,759.94","-375,325.61"
12 Otros activos,"135,235.54","60,494.70","60,607.13","21,314.66","1,690.39","15,040.48","7,606.72","51,721.30","58,880.86","30,986.05","7,231.87","2,218.04","20,454.23","14,646.61","488,128.58"
1210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1220 Bienes recibidos en pago o adjudicados,"39,702.31",396.28,"12,590.78","13,992.58",0.00,"5,720.87","2,003.40","11,954.33","6,540.84","9,563.12",0.00,0.00,315.00,"5,423.79","108,203.28"
1230 Existencias,903.51,363.53,548.20,49.33,0.00,354.87,74.34,354.47,329.07,496.52,0.00,44.09,25.13,21.33,"3,564.40"
1240 Gastos pagados por anticipado y cargos diferidos,"36,744.95","26,699.55","35,843.32","2,818.65",545.56,"1,964.83","4,101.62","15,380.36","16,990.30","9,373.81","4,232.71","1,378.18","17,118.05","3,014.81","176,206.69"
1250 Cuentas por cobrar,"49,458.76","21,090.51","7,818.57","4,446.87","1,144.83","7,475.03",747.69,"24,032.14","19,264.56","11,870.60","2,999.16",795.76,"3,014.24","6,282.75","160,441.49"
1259 Provisión de incobrabilidad de cuentas por cobrar,"-1,640.57",-630.31,"-1,648.36",-107.05,0.00,-475.11,-108.49,0.00,"-1,737.84",-317.99,0.00,0.00,-18.19,-96.07,"-6,779.99"
1260 derechos y participaciones,"10,066.57","12,575.14","5,454.62",114.28,0.00,0.00,788.17,0.00,"17,493.93",0.00,0.00,0.00,0.00,0.00,"46,492.71"
13 Activo fijo,"91,921.99","61,934.07","47,634.13","16,038.04",951.08,"18,626.13","5,581.05","16,515.09","30,638.89","28,614.34","3,134.06",985.40,"1,882.82","10,951.58","335,408.67"
1310 No depreciables,"30,685.80","22,764.54","23,806.74","8,470.21",247.69,"9,076.23","3,486.79","1,850.69","20,143.61","3,702.09",0.00,140.25,51.87,"7,956.11","132,382.62"
1320 depreciables,"156,869.23","55,151.87","61,911.59","22,461.94","2,240.03","32,521.41","6,338.51","32,082.91","61,202.78","45,582.84","10,962.34","2,908.91","5,214.78","17,468.93","512,918.07"
1329 depreciación acumulada,"-97,505.84","-36,934.37","-42,797.03","-15,731.74","-1,594.19","-23,589.96","-4,352.90","-19,131.79","-50,707.50","-23,959.42","-8,910.27","-2,579.20","-4,531.93","-14,841.38","-347,167.51"
1330 Amortizables,"1,872.79","20,952.03","4,712.82",837.63,57.55,618.46,108.64,"1,713.29",0.00,"3,288.83","1,081.99",515.45,"1,148.09",367.91,"37,275.48"
Total Activos,"5,220,772.34","1,757,853.18","2,972,657.52","1,246,041.47","290,700.82","426,870.44","436,756.60","1,321,944.46","1,945,859.00","2,685,208.32","79,083.10","407,488.12","508,680.77","683,797.29","19,983,713.43"
 ,,,,,,,,,,,,,,,
4110 Cartas de crédito,"20,735.76","11,306.21","6,344.64",211.42,28.50,0.00,"7,450.52",0.00,0.00,"20,347.33",0.00,348.97,67.59,0.00,"66,840.95"
4119 Provisión por pérdidas,0.00,-2.56,0.00,-1.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.94
4120 Contingencias por avales y fianzas,"106,750.40","41,914.25","79,947.07","15,068.77","10,007.66","6,383.48","3,322.24","10,034.18","99,927.12","69,606.84",0.00,"18,013.94",0.00,"3,073.67","464,049.62"
4129 Provisión por pérdidas,"-15,693.41","-13,477.37","-9,692.17","-5,780.75",-37.72,"-5,144.05",0.00,0.00,"-2,815.02",-506.03,0.00,-3.67,0.00,0.00,"-53,150.20"
4131 derechos por operaciones en moneda extranjera,990.32,440.41,0.00,0.00,597.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,028.07"
4139 Prov. pérdidas en derechos por operac. en mon. extran.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,,,,,,,,,,,,,,,
Total derechos futuros y contingencias,"112,783.07","40,180.94","76,599.54","9,498.06","10,595.78","1,239.43","10,772.76","10,034.18","97,112.11","89,448.13",0.00,"18,359.23",67.59,"3,073.67","479,764.50"
 ,,,,,,,,,,,,,,,
Total activos + derechos futuros y contingencias,"5,333,555.41","1,798,034.11","3,049,257.06","1,255,539.53","301,296.60","428,109.87","447,529.36","1,331,978.65","2,042,971.11","2,774,656.45","79,083.10","425,847.35","508,748.36","686,870.96","20,463,477.93"
 ,,,,,,,,,,,,,,,
Pasivos ,,,,,,,,,,,,,,,
21 Pasivos de intermediación,"4,564,255.49","1,499,494.62","2,610,250.49","1,095,572.79","242,672.13","344,281.52","372,070.68","1,149,818.95","1,679,983.40","2,366,896.49","49,831.98","355,585.96","453,656.34","606,120.47","17,390,491.31"
211 depósitos,"3,883,208.47","1,276,406.86","2,023,250.39","943,264.64","240,009.05","330,043.12","324,306.33","977,736.25","1,443,465.61","2,068,438.64","49,659.35","285,349.63","317,251.72","441,981.65","14,604,371.70"
2110 depósitos a la vista,"2,807,714.47","921,075.05","1,140,258.73","467,327.05","222,593.36","190,200.01","169,058.00","509,513.07","672,399.68","1,381,652.81","12,633.83","118,686.96","111,349.52","191,182.41","8,915,644.96"
211001 depósitos en cuenta corriente,"1,033,411.38","507,919.29","583,416.26","218,230.74","182,391.65","43,077.22","118,477.43","309,235.88","263,319.41","892,830.95","12,633.83","50,178.88","76,838.67","131,702.74","4,423,664.32"
211002 depósitos de ahorro,"1,773,449.00","413,155.76","556,469.73","249,094.51","40,201.71","147,122.80","50,580.57","200,277.19","409,080.27","488,821.86",0.00,"68,508.08","34,505.78","59,479.67","4,490,746.93"
211003 depósitos en cuenta de ahorro simplificada,854.09,0.00,372.75,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.07,0.00,"1,233.71"
2111 depósitos pactados hasta un año plazo,"920,838.83","327,469.75","666,009.05","423,164.94","15,004.78","133,094.65","149,796.37","450,384.91","718,365.15","618,820.44","31,145.02","161,651.44","181,970.38","225,920.19","5,023,635.90"
2112 depósitos pactados a mas de un año plazo,"82,829.31",751.29,"162,880.74","33,030.96",0.00,218.29,0.00,"2,149.39","3,540.51","46,209.89",0.00,179.59,"19,762.48","21,012.18","372,564.64"
2114 depósitos restringidos e inactivos,"71,825.86","27,110.77","54,101.86","19,741.69","2,410.91","6,530.15","5,451.96","15,688.88","49,160.28","21,755.50","5,880.50","4,831.64","4,169.33","3,866.88","292,526.20"
212 Préstamos,"449,212.12","149,167.08","370,036.67","123,055.99",0.00,"13,535.82","21,232.00","166,637.35","134,849.91","106,340.53",0.00,"69,105.90","73,130.03","89,807.19","1,766,110.58"
2121 Préstamos pactados hasta un año plazo,"162,584.58","32,539.40","201,647.10","26,510.38",0.00,17.32,"10,140.47","48,710.33",222.52,"96,089.18",0.00,"23,595.52","4,201.84","3,037.22","609,295.86"
2122 Préstamos pactados a mas de un año plazo,"49,097.48",89.90,"11,173.26","75,041.59",0.00,"13,482.53","11,091.53","50,553.31","112,627.39","10,251.35",0.00,"45,510.38","53,824.61","61,144.58","493,887.90"
2123 Préstamos pactados a cinco o mas años plazo,"237,530.06","116,537.78","157,216.31","21,504.02",0.00,35.98,0.00,"67,373.70","22,000.00",0.00,0.00,0.00,"15,103.58","25,625.39","662,926.82"
2130 Obligaciones a la vista,"19,714.77","12,253.30","11,889.97","29,252.17","2,663.08",702.57,"1,179.89","5,445.35","6,315.97","21,033.52",155.03,"1,130.43","1,965.66","1,289.64","114,991.37"
214 Títulos de emisión propia,"212,120.14","61,667.38","205,073.46",0.00,0.00,0.00,"25,352.46",0.00,"95,351.91","171,083.80",0.00,0.00,"61,308.93","73,041.98","905,000.06"
