Superintendencia del Sistema Financiero,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,
Datos al 31 de Agosto de 2021,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,
11 Activos de intermediación,"4,947,592.35","3,348,548.33","2,812,734.50","1,429,343.23","230,668.96","416,693.26","397,980.18","1,238,814.71","2,836,306.19","90,520.31","404,960.50","547,488.90","805,033.42","19,506,684.84"
1110 Fondos disponibles,"918,231.07","607,970.88","468,252.79","242,856.55","129,551.32","139,830.98","72,293.94","255,838.85","505,309.69","11,655.07","71,285.63","75,013.07","107,409.70","3,605,499.53"
112 Adquisición temporal de documentos,"16,026.02","11,730.10",0.00,"4,196.64",0.00,521.78,"1,000.00",0.00,0.00,0.00,0.00,0.00,0.00,"33,474.54"
1121 Documentos adquiridos hasta un año plazo,"16,026.02","11,730.10",0.00,"4,196.64",0.00,521.78,"1,000.00",0.00,0.00,0.00,0.00,0.00,0.00,"33,474.54"
1128 Documentos vencidos,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1129 Provisión por pérdidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
113 Inversiones financieras,"646,252.62","323,319.64","257,836.02","248,452.08","93,906.21","11,960.38","87,712.46","167,383.69","305,915.13","10,878.08","56,314.74","98,796.79","148,332.31","2,457,060.13"
1130 Titulos valores conservados para negociación,0.00,0.00,"5,000.00","229,483.24",0.00,0.00,"5,920.49",0.00,0.00,"8,200.00",109.55,0.00,"4,500.00","253,213.28"
1131 Titulos valores para conservarse hasta el vencimiento,"47,837.87","2,004.91","14,251.73","2,147.50",0.00,"11,960.38","81,791.97",0.00,0.00,0.00,"39,243.13","19,522.10","143,832.31","362,591.89"
1132 Titulos valores disponibles para venta,"598,414.75","321,445.10","238,584.29","16,821.33","93,906.21",0.00,0.00,"167,383.69","305,915.13","2,680.69","16,962.06","79,274.68",0.00,"1,841,387.95"
1138 Inversiones vencidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1139 Provisión para valuacion de inversiones,0.00,-130.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.61,0.00,0.00,0.00,-132.98
114 Préstamos,"3,367,082.64","2,405,527.70","2,086,645.69","933,837.96","7,211.43","264,380.12","236,973.79","815,592.17","2,025,081.37","67,987.17","277,360.14","373,679.04","549,291.41","13,410,650.64"
1141 Préstamos pactados hasta un año plazo,"535,246.76","267,600.54","273,741.63","79,987.03","7,221.68","35,170.46","61,276.71","229,079.05","405,224.86","4,740.82","34,161.21","45,588.48","79,676.18","2,058,715.41"
1142 Préstamos pactados a mas de un año plazo,"2,907,158.05","2,167,990.87","1,821,891.30","863,550.35",0.00,"229,392.85","178,102.15","589,860.09","1,629,214.24","62,242.79","245,656.97","330,899.99","472,008.46","11,497,968.11"
1148 Préstamos vencidos,"90,097.23","85,964.86","42,832.94","15,621.71",0.00,"9,370.48","5,725.25","28,252.22","50,874.75","4,973.88",703.72,"2,755.88","3,894.29","341,067.22"
1149 Provisión para incobrabilidad de préstamos,"-165,419.39","-116,028.57","-51,820.18","-25,321.13",-10.25,"-9,553.68","-8,130.31","-31,599.19","-60,232.47","-3,970.32","-3,161.77","-5,565.32","-6,287.51","-487,100.09"
12 Otros activos,"139,970.28","117,340.90","60,075.38","48,693.06","1,199.99","11,175.43","6,554.31","48,841.03","30,742.66","9,016.34","2,255.17","21,894.69","22,851.96","520,611.20"
1210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1220 Bienes recibidos en pago o adjudicados,"34,752.25","3,119.85","10,687.71","12,590.98",0.00,"4,553.93","1,858.81","10,567.95","8,370.28",0.00,0.00,"1,897.93","4,876.17","93,275.86"
1230 Existencias,380.52,262.68,358.06,71.33,0.00,362.23,74.36,232.38,346.43,0.00,65.09,25.13,22.68,"2,200.90"
1240 Gastos pagados por anticipado y cargos diferidos,"48,278.79","39,824.43","32,740.72","3,363.41",317.98,"1,516.92","3,828.02","17,154.86","10,138.73","5,742.58","1,284.70","16,024.14","4,882.94","185,098.23"
1250 Cuentas por cobrar,"48,270.66","45,063.91","11,509.55","32,659.01",882.01,"5,705.43",214.40,"21,734.89","12,259.03","3,273.76",905.38,"3,981.44","11,970.40","198,429.88"
1259 Provisión de incobrabilidad de cuentas por cobrar,"-2,366.59","-2,428.23","-1,608.46",-105.96,0.00,-963.08,-96.52,-849.05,-371.81,0.00,0.00,-33.95,-100.13,"-8,923.77"
1260 derechos y participaciones,"10,654.64","31,498.25","6,387.79",114.28,0.00,0.00,675.24,0.00,0.00,0.00,0.00,0.00,"1,199.90","50,530.10"
13 Activo fijo,"88,264.45","109,785.90","45,264.93","16,780.80","1,196.32","18,630.79","5,249.18","16,529.58","30,781.10","3,349.84","2,123.02","1,723.27","5,421.40","345,100.58"
1310 No depreciables,"30,602.34","41,819.71","19,084.53","8,470.21",247.69,"8,267.91","3,496.68","2,132.27","6,243.12",0.00,870.33,44.50,"2,716.73","123,996.01"
1320 depreciables,"156,906.59","114,174.42","64,635.51","22,667.07","2,217.96","34,349.92","6,430.69","33,697.67","46,545.55","10,991.51","3,487.09","5,362.06","14,490.81","515,956.86"
1329 depreciación acumulada,"-100,622.14","-87,762.82","-43,266.44","-15,813.56","-1,402.38","-24,899.35","-4,758.56","-20,843.37","-25,857.41","-9,761.97","-2,658.58","-4,759.80","-12,112.30","-354,518.68"
1330 Amortizables,"1,377.66","41,554.59","4,811.33","1,457.08",133.05,912.31,80.37,"1,543.01","3,849.84","2,120.30",424.17,"1,076.50",326.16,"59,666.39"
Total Activos,"5,175,827.08","3,575,675.12","2,918,074.82","1,494,817.09","233,065.27","446,499.47","409,783.68","1,304,185.32","2,897,829.95","102,886.50","409,338.70","571,106.86","833,306.77","20,372,396.63"
 ,,,,,,,,,,,,,,
4110 Cartas de crédito,"15,490.55","15,255.08","21,744.49","1,069.49",735.00,0.00,"3,005.59",0.00,"24,366.84",0.00,"1,183.98",73.55,0.00,"82,924.58"
4119 Provisión por pérdidas,-6.19,-2.78,0.00,-0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-9.14
4120 Contingencias por avales y fianzas,"132,550.58","107,043.74","85,888.90","16,668.86","8,591.41","6,372.55","4,625.46","10,970.51","72,085.51",0.00,"16,300.13",0.00,"5,588.87","466,686.54"
4129 Provisión por pérdidas,"-16,288.14","-15,726.93","-4,626.72","-6,046.34",-65.30,"-5,352.14",0.00,0.00,-268.66,0.00,0.00,0.00,0.00,"-48,374.21"
4131 derechos por operaciones en moneda extranjera,"10,213.97",472.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"10,686.14"
4139 Prov. pérdidas en derechos por operac. en mon. extran.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,,,,,,,,,,,,,,
Total derechos futuros y contingencias,"141,960.78","107,041.28","103,006.67","11,691.84","9,261.11","1,020.41","7,631.06","10,970.51","96,183.69",0.00,"17,484.12",73.55,"5,588.87","511,913.91"
 ,,,,,,,,,,,,,,
Total activos + derechos futuros y contingencias,"5,317,787.85","3,682,716.40","3,021,081.49","1,506,508.93","242,326.38","447,519.89","417,414.73","1,315,155.83","2,994,013.64","102,886.50","426,822.81","571,180.41","838,895.65","20,884,310.53"
 ,,,,,,,,,,,,,,
Pasivos ,,,,,,,,,,,,,,
21 Pasivos de intermediación,"4,438,653.48","3,082,232.07","2,541,494.01","1,323,086.66","189,116.67","361,880.96","345,583.75","1,127,543.67","2,563,944.68","72,870.55","321,408.43","506,240.40","738,266.01","17,612,321.34"
211 depósitos,"3,988,280.03","2,750,653.32","2,011,309.70","1,201,729.98","180,103.93","351,682.64","313,559.81","992,291.75","2,202,607.82","64,505.42","303,372.31","380,160.61","545,477.44","15,285,734.77"
2110 depósitos a la vista,"3,044,203.66","1,734,993.57","1,138,873.54","657,312.01","177,283.93","225,133.41","158,813.12","555,236.43","1,545,452.17","13,595.59","126,003.84","173,147.48","225,901.24","9,775,949.99"
211001 depósitos en cuenta corriente,"1,131,886.27","807,175.72","551,509.45","388,825.56","175,925.15","58,150.50","110,219.45","343,645.34","1,015,007.63","13,595.59","47,615.67","132,292.51","154,228.26","4,930,077.08"
211002 depósitos de ahorro,"1,910,892.62","927,817.85","586,930.32","268,484.65","1,358.78","166,982.91","48,593.67","211,591.10","530,444.54",0.00,"78,388.17","40,853.05","71,672.98","4,844,010.66"
211003 depósitos en cuenta de ahorro simplificada,"1,424.77",0.00,433.77,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.92,0.00,"1,862.26"
2111 depósitos pactados hasta un año plazo,"805,478.22","924,039.49","748,507.62","476,544.23","1,000.71","119,644.78","148,386.58","417,508.63","602,295.35","48,396.92","173,598.34","185,014.87","290,489.28","4,940,905.01"
2112 depósitos pactados a mas de un año plazo,"64,927.27","18,452.72","77,624.75","51,387.27",0.00,282.05,0.00,"2,231.84","34,619.72",0.00,351.17,"18,081.19","20,824.16","288,782.15"
2114 depósitos restringidos e inactivos,"73,670.89","73,167.55","46,303.79","16,486.47","1,819.29","6,622.40","6,360.10","17,314.85","20,240.58","2,512.91","3,418.96","3,917.07","8,262.76","280,097.62"
212 Préstamos,"265,786.94","151,123.73","361,824.60","91,436.54",0.00,"9,598.95","6,006.12","125,287.63","204,572.80",0.00,"15,864.00","69,821.04","122,272.98","1,423,595.34"
2121 Préstamos pactados hasta un año plazo,0.00,"28,355.30","198,420.68","17,077.90",0.00,19.11,"2,983.69","15,207.22","144,471.27",0.00,"13,377.92","2,626.18","10,043.74","432,583.02"
2122 Préstamos pactados a mas de un año plazo,"10,850.78",156.80,"8,340.61","58,130.59",0.00,"9,571.34","3,022.43","50,371.59","60,101.53",0.00,"2,486.08","54,598.89","83,881.42","341,512.05"
2123 Préstamos pactados a cinco o mas años plazo,"254,936.16","122,611.64","155,063.30","16,228.05",0.00,8.50,0.00,"59,708.82",0.00,0.00,0.00,"12,595.97","28,347.82","649,500.27"
2130 Obligaciones a la vista,"22,505.77","27,623.07","14,229.95","29,920.14","9,012.74",599.37,664.40,"9,964.28","20,987.70",165.13,"2,172.11",982.05,"2,015.24","140,841.95"
214 Títulos de emisión propia,"162,080.74","152,831.94","149,129.76",0.00,0.00,0.00,"25,353.42",0.00,"135,776.36",0.00,0.00,"55,276.69","64,000.35","744,449.27"
2141 Títulos de emisión propia pactados hasta un año plazo.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,837.56,837.56
2142 Pactados a mas de un año plazo,"162,080.74","152,831.94","149,129.76",0.00,0.00,0.00,"25,353.42",0.00,"135,776.36",0.00,0.00,"55,276.69","63,162.79","743,611.71"
215 Documentos transados,0.00,0.00,"5,000.00",0.00,0.00,0.00,0.00,0.00,0.00,"8,200.00",0.00,0.00,"4,500.00","17,700.00"
2151 Documentos transados hasta un año plazo,0.00,0.00,"5,000.00",0.00,0.00,0.00,0.00,0.00,0.00,"8,200.00",0.00,0.00,"4,500.00","17,700.00"
