Superintendencia del Sistema Financiero,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,
Datos al 31 de Agosto de 2023,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,
,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,
11 Activos de intermediación,"5,557,175.10","3,811,711.89","3,013,477.05","2,138,567.43","199,466.33","443,326.30","1,291,617.94","3,173,261.99","152,056.00","639,652.21","818,027.85","1,128,874.59","22,367,214.69"
1110 Fondos disponibles,"916,804.29","555,447.80","391,437.96","291,378.46","89,304.21","120,565.88","182,830.50","426,591.24","18,564.81","94,731.42","98,073.19","131,422.97","3,317,152.74"
112 Adquisición temporal de documentos,"1,960.69","2,654.23",0.00,0.00,0.00,153.12,75.00,0.00,0.00,0.00,0.00,0.00,"4,843.04"
1121 Documentos adquiridos hasta un año plazo,"1,960.69","2,654.23",0.00,0.00,0.00,153.12,75.00,0.00,0.00,0.00,0.00,0.00,"4,843.04"
1128 Documentos vencidos,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1129 Provisión por pérdidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
113 Inversiones financieras,"793,221.90","482,438.97","392,831.46","829,295.26","89,315.85","14,748.96","174,376.73","333,852.51","10,549.18","63,553.62","112,598.88","211,050.89","3,507,834.20"
1130 Titulos valores conservados para negociación,"13,026.82",0.00,544.50,"827,057.84",0.00,0.00,0.00,"9,555.00",0.00,128.51,0.00,0.00,"850,312.67"
1131 Titulos valores para conservarse hasta el vencimiento,"96,115.67",0.00,"7,972.29","2,148.56",0.00,"14,748.96",0.00,0.00,0.00,"46,521.66",883.05,"211,050.89","379,441.08"
1132 Titulos valores disponibles para venta,"684,079.40","482,438.97","384,314.67",88.85,"89,315.85",0.00,"174,376.73","324,297.51","10,549.18","16,903.45","111,715.83",0.00,"2,278,080.45"
1134 Instrumentos financieros para cobertura,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1138 Inversiones vencidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1139 Provisión para valuacion de inversiones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
114 Préstamos,"3,845,188.22","2,771,170.88","2,229,207.63","1,017,893.72","20,846.27","307,858.34","934,335.71","2,412,818.24","122,942.01","481,367.17","607,355.79","786,400.73","15,537,384.71"
1141 Préstamos pactados hasta un año plazo,"651,711.63","379,486.07","327,700.63","69,983.48","20,904.96","43,863.15","296,523.55","487,634.15","3,397.80","67,769.64","99,312.30","115,708.50","2,563,995.85"
1142 Préstamos pactados a mas de un año plazo,"3,254,934.94","2,428,539.96","1,917,112.28","959,487.42",0.00,"263,999.19","642,104.57","1,938,289.34","117,522.83","415,550.07","510,436.53","672,763.59","13,120,740.74"
1148 Préstamos vencidos,"44,987.54","79,813.92","46,491.13","23,943.43",0.00,"9,435.03","20,085.95","37,837.48","22,096.75","1,267.32","24,416.56","3,249.76","313,624.86"
1149 Provisión para incobrabilidad de préstamos,"-106,445.89","-116,669.08","-62,096.41","-35,520.61",-58.69,"-9,439.03","-24,378.36","-50,942.72","-20,075.38","-3,219.86","-26,809.60","-5,321.11","-460,976.75"
12 Otros activos,"128,048.24","84,526.09","50,368.70","29,558.65","1,849.72","11,824.59","38,584.12","19,719.62","10,658.23","4,386.02","33,542.88","29,480.84","442,547.71"
1210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1220 Bienes recibidos en pago o adjudicados,"21,575.04","1,197.61","8,882.83","10,985.98",0.00,"5,148.88","3,710.63","3,298.67",0.00,0.00,"3,412.53","2,720.54","60,932.70"
1230 Existencias,"1,098.46",265.68,568.26,163.57,0.00,305.34,160.74,239.44,0.00,44.81,10.87,24.62,"2,881.78"
1240 Gastos pagados por anticipado y cargos diferidos,"44,367.24","35,386.16","26,844.58","5,938.26",425.51,"1,027.47","15,504.36","10,688.23","8,902.17","1,878.19","24,411.71","10,338.64","185,712.52"
1250 Cuentas por cobrar,"51,940.29","17,849.27","10,072.44","12,486.44","1,424.22","5,989.68","19,649.37","5,849.56","1,756.06","2,463.02","5,993.99","15,060.39","150,534.73"
1259 Provisión de incobrabilidad de cuentas por cobrar,"-2,412.49","-2,272.81","-2,134.90",-129.89,0.00,-646.78,-440.97,-356.28,0.00,0.00,-286.22,-84.03,"-8,764.36"
1260 derechos y participaciones,"11,479.71","32,100.18","6,135.49",114.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,420.68","51,250.33"
13 Activo fijo,"81,233.01","112,267.27","43,618.16","15,789.38","1,606.79","19,674.40","18,085.56","43,443.65","1,886.65","2,109.92","2,316.22","9,999.62","352,030.64"
1310 No depreciables,"29,920.51","41,231.84","19,955.85","7,960.11",247.69,"8,662.10","3,862.43","11,424.61",0.00,730.09,324.49,"6,101.44","130,421.16"
1320 depreciables,"129,117.28","109,346.94","66,801.47","23,937.11","2,586.42","34,889.69","36,596.10","57,943.16","10,805.91","3,788.72","9,802.49","16,112.34","501,727.62"
1329 depreciación acumulada,"-78,754.61","-87,104.33","-46,543.98","-17,274.71","-1,337.01","-24,731.20","-23,845.14","-33,891.64","-10,389.30","-2,853.15","-9,118.59","-12,603.73","-348,447.41"
1330 Amortizables,949.83,"48,792.83","3,404.83","1,166.86",109.70,853.81,"1,472.17","7,967.52","1,470.04",444.27,"1,307.83",389.57,"68,329.27"
Total Activos,"5,766,456.35","4,008,505.25","3,107,463.91","2,183,915.46","202,922.84","474,825.30","1,348,287.63","3,236,425.26","164,600.89","646,148.16","853,886.95","1,168,355.05","23,161,793.04"
 ,,,,,,,,,,,,,
4110 Cartas de crédito,"10,512.81","23,742.33","8,987.68","1,766.58",0.00,0.00,421.26,"57,279.10",0.00,"1,104.91","3,862.99",0.00,"107,677.67"
4119 Provisión por pérdidas,0.00,0.00,-0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.45
4120 Contingencias por avales y fianzas,"85,757.95","76,396.55","129,907.93","19,140.66","5,454.08","5,714.75","6,761.01","69,249.68",0.00,"19,666.92","1,935.10","8,226.24","428,210.86"
4129 Provisión por pérdidas,"-15,951.47","-15,944.26","-4,774.29","-9,034.19",-33.67,"-5,714.75",0.00,-85.89,0.00,0.00,0.00,0.00,"-51,538.51"
4131 derechos por operaciones en moneda extranjera,"8,612.84",325.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"8,938.28"
4139 Prov. pérdidas en derechos por operac. en mon. extran.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,,,,,,,,,,,,,
Total derechos futuros y contingencias,"88,932.12","84,520.07","134,120.87","11,873.04","5,420.41",0.00,"7,182.26","126,442.90",0.00,"20,771.83","5,798.09","8,226.24","493,287.84"
 ,,,,,,,,,,,,,
Total activos + derechos futuros y contingencias,"5,855,388.47","4,093,025.32","3,241,584.78","2,195,788.50","208,343.26","474,825.30","1,355,469.89","3,362,868.16","164,600.89","666,919.99","859,685.04","1,176,581.28","23,655,080.88"
 ,,,,,,,,,,,,,
Pasivos ,,,,,,,,,,,,,
21 Pasivos de intermediación,"4,927,073.60","3,475,823.14","2,699,913.17","1,973,967.84","162,552.59","375,315.00","1,177,511.73","2,846,841.11","129,108.39","529,014.27","725,449.42","1,047,109.90","20,069,680.16"
211 depósitos,"4,193,762.77","2,990,787.08","2,233,972.00","1,711,445.86","160,586.36","356,047.82","1,009,391.39","2,452,006.08","113,868.50","416,056.38","565,399.66","699,863.20","16,903,187.09"
2110 depósitos a la vista,"3,210,194.16","1,971,948.53","1,254,341.97","607,420.47","158,898.35","243,790.47","547,705.39","1,623,512.31","15,169.59","196,331.27","180,670.17","278,274.31","10,288,256.99"
211001 depósitos en cuenta corriente,"985,008.62","859,575.85","515,342.26","305,311.73","148,003.82","50,342.38","319,402.89","1,017,940.76","15,114.09","90,747.48","130,896.00","193,911.96","4,631,597.84"
211002 depósitos de ahorro,"2,223,140.31","1,112,372.68","738,155.54","302,108.74","10,894.53","193,448.10","228,302.49","605,571.55",0.00,"105,583.79","49,770.58","84,362.35","5,653,710.67"
211003 depósitos en cuenta de ahorro simplificada,"2,045.23",0.00,844.16,0.00,0.00,0.00,0.00,0.00,55.50,0.00,3.59,0.00,"2,948.49"
2111 depósitos pactados hasta un año plazo,"822,694.58","919,540.37","847,056.73","887,984.56",0.00,"102,634.70","403,731.06","757,283.76","85,499.80","212,747.59","354,561.77","275,519.57","5,669,254.48"
2112 depósitos pactados a mas de un año plazo,"91,295.19","29,493.23","84,132.23","188,986.38",0.00,168.87,"33,036.94","53,238.71","9,501.72","3,075.55","22,359.13","137,922.66","653,210.61"
2114 depósitos restringidos e inactivos,"69,578.84","69,804.95","48,441.07","27,054.45","1,688.00","9,453.78","24,918.00","17,971.30","3,697.38","3,901.98","7,808.59","8,146.66","292,465.00"
212 Préstamos,"515,273.23","260,663.96","195,445.28","88,721.85",0.00,"19,091.80","116,984.82","202,054.88","10,430.36","51,372.41","98,551.66","148,266.11","1,706,856.36"
2121 Préstamos pactados hasta un año plazo,"134,210.57","41,878.23","95,734.94","15,069.51",0.00,16.20,"18,294.42","103,741.85","2,281.88","23,313.41","6,008.13","12,125.50","452,674.65"
2122 Préstamos pactados a mas de un año plazo,"123,118.63","26,290.34","4,801.26","66,300.32",0.00,"4,232.54","17,216.69","98,313.02","3,106.67","28,059.00","49,508.71","89,365.27","510,312.46"
2123 Préstamos pactados a cinco o mas años plazo,"257,944.03","192,495.38","94,909.08","7,352.02",0.00,"14,843.05","81,473.71",0.00,"5,041.82",0.00,"43,034.82","46,775.34","743,869.24"
2130 Obligaciones a la vista,"21,760.99","20,291.30","22,259.36","31,883.49","1,966.23",175.38,"6,515.08","22,355.27",796.61,"1,876.55","2,696.29",948.99,"133,525.55"
214 Títulos de emisión propia,"196,276.62","204,080.81","247,692.02","141,916.64",0.00,0.00,"44,620.44","160,852.20","4,012.91","59,708.93","58,801.80","198,031.60","1,315,993.97"
2141 Títulos de emisión propia pactados hasta un año plazo.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"3,009.53","7,650.99",0.00,"24,846.03","35,506.55"
2142 Pactados a mas de un año plazo,"196,276.62","204,080.81","247,692.02","141,916.64",0.00,0.00,"44,620.44","160,852.20","1,003.38","52,057.94","58,801.80","173,185.57","1,280,487.42"
215 Documentos transados,0.00,0.00,544.50,0.00,0.00,0.00,0.00,"9,572.69",0.00,0.00,0.00,0.00,"10,117.19"
2151 Documentos transados hasta un año plazo,0.00,0.00,544.50,0.00,0.00,0.00,0.00,"9,572.69",0.00,0.00,0.00,0.00,"10,117.19"
216 Cheques y otros valores por aplicar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2160 Cheques y otros valores por aplicar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
217 Instrumentos financieros a valor razonable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2170 Instrumentos financieros a valor razonable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
