Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,,
Datos al 31 de agosto de 2024,,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,,
,,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,,
11 Activos," 5,817,424.35 "," 3,923,729.66 "," 3,162,240.93 "," 2,181,336.69 "," 224,043.06 "," 453,636.69 "," 1,355,966.86 "," 3,459,867.32 "," 170,787.31 "," 712,877.92 "," 864,584.77 "," 242,797.01 "," 1,229,791.72 "," 23,799,084.29 ",,
1110 Disponibilidades," 887,686.92 "," 547,828.88 "," 418,263.04 "," 261,484.87 "," 72,152.73 "," 125,705.08 "," 227,704.31 "," 485,078.02 "," 20,521.67 "," 107,759.17 "," 127,167.29 "," 44,015.36 "," 130,027.71 "," 3,455,395.03 ",,
112 Operaciones con pacto de retroventa," 5,554.20 ", 424.34 , -   , -   , -   , 500.45 , -   , -   , -   , -   ," 3,500.00 "," 3,016.21 ", -   ," 12,995.19 ",,
1121 Operaciones con pacto de retroventa," 5,554.20 ", 424.34 , -   , -   , -   , 500.45 , -   , -   , -   , -   ," 3,500.00 "," 3,016.21 ", -   ," 12,995.19 ",,
1130 A valor razonable con cambios en resultados (vrcr)," 747,132.80 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 19,057.62 "," 766,190.42 ",,
1131 A valor razonable con cambios en otro resultado integral (vrori), -   , -   ," 354,886.46 "," 883,425.74 ", -   , -   , -   ," 383,945.46 ", -   , -   , -   , -   , -   ," 1,622,257.66 ",,
1132 Derivados financieros para coberturas, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
1134 A costo amortizado," 39,829.64 "," 466,026.72 "," 5,419.46 "," 8,757.55 "," 104,598.95 "," 12,050.48 "," 167,008.15 ", -   ," 27,068.58 "," 64,949.82 "," 120,922.92 ", -   ," 223,111.57 "," 1,239,743.84 ",,
1138 Instrumentos financieros restringidos, -   , -   , -   ," 10,430.69 ", -   , -   , -   , -   , -   , -   ," 6,843.96 ", -   , -   ," 17,274.65 ",,
114 Préstamos," 4,137,220.80 "," 2,909,449.74 "," 2,383,671.98 "," 1,017,237.84 "," 47,291.37 "," 315,380.67 "," 961,254.41 "," 2,590,843.84 "," 123,197.05 "," 540,168.94 "," 606,150.59 "," 195,765.45 "," 857,594.83 "," 16,685,227.50 ",,
1141 Préstamos pactados hasta un año plazo," 678,358.29 "," 370,466.94 "," 371,566.93 "," 70,491.37 "," 47,555.05 "," 47,289.80 "," 302,124.83 "," 579,494.73 "," 6,495.38 "," 66,217.15 "," 103,475.35 "," 3,131.95 "," 110,961.99 "," 2,757,629.76 ",,
1142 Préstamos pactados a más de un año plazo," 3,507,295.23 "," 2,586,883.02 "," 2,027,053.69 "," 955,911.27 ", -   ," 269,096.65 "," 660,971.06 "," 2,029,007.29 "," 118,658.92 "," 475,968.72 "," 506,654.64 "," 192,962.52 "," 748,454.90 "," 14,078,917.91 ",,
1148 Préstamos vencidos," 47,145.60 "," 80,504.12 "," 57,283.51 "," 31,726.87 ", -   ," 8,371.30 "," 22,790.31 "," 33,347.08 "," 5,907.37 "," 1,331.71 "," 19,104.01 "," 6,550.52 "," 3,799.70 "," 317,862.10 ",,
1149 Provisión para incobrabilidad de préstamos,"-95,578.33 ","-128,404.34 ","-72,232.16 ","-40,891.66 ",-263.68 ,"-9,377.07 ","-24,631.79 ","-51,005.26 ","-7,864.61 ","-3,348.64 ","-23,083.41 ","-6,879.54 ","-5,621.77 ","-469,182.26 ",,
12 Otros activos," 105,560.98 "," 88,493.66 "," 36,389.21 "," 26,863.59 "," 1,582.28 "," 11,041.27 "," 28,363.60 "," 27,142.01 "," 12,808.40 "," 7,800.66 "," 11,709.73 "," 7,415.48 "," 28,349.83 "," 393,520.70 ",,
1210 Saldos entre compañías, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
1220 Bienes recibidos en pago o adjudicados," 17,987.34 "," 2,655.44 "," 5,308.45 "," 12,276.12 ", -   ," 4,183.33 "," 1,682.84 "," 1,987.35 ", -   , -   ," 3,289.41 ", 759.99 ," 2,133.01 "," 52,263.28 ",,
1230 Existencias," 1,457.91 ", 317.70 , 457.77 , 158.67 , -   , 337.04 , 66.91 , 188.72 , -   , 58.20 , 97.85 , 14.28 , 30.71 ," 3,185.77 ",,
1240 Gastos pagados por anticipado," 5,109.33 "," 11,014.67 "," 4,420.97 "," 1,547.21 ", 74.43 , 468.14 ," 7,681.46 "," 2,071.94 "," 6,501.49 ", 713.93 ," 2,136.66 "," 2,568.59 "," 2,558.15 "," 46,866.98 ",,
1250 Cuentas por cobrar," 54,790.38 "," 21,038.26 "," 12,363.92 "," 9,698.14 "," 1,062.78 "," 6,164.17 "," 16,892.91 "," 14,303.91 "," 4,881.70 "," 6,325.19 "," 3,448.18 ", 833.48 ," 18,217.00 "," 170,020.02 ",,
1251 Impuestos," 20,650.75 "," 24,439.33 "," 9,995.10 "," 3,227.04 ", 445.07 , 669.29 ," 3,911.03 "," 2,024.52 "," 1,425.21 ", 703.34 ," 3,028.40 "," 2,235.11 "," 3,245.49 "," 75,999.68 ",,
1259 Estimación de pérdida por deterioro de valor,"-3,217.80 ","-2,559.35 ","-2,530.60 ",-157.88 , -   ,-780.72 ,"-1,871.55 ",-369.54 , -   , -   ,-290.77 ,-174.15 ,-103.37 ,"-12,055.74 ",,
"1260 Inversiones en acciones, derechos y participaciones"," 8,783.07 "," 31,587.62 "," 6,373.60 ", 114.28 , -   , -   , -   , -   , -   , -   , -   , -   ," 2,268.85 "," 49,127.42 ",,
1261 Plusvalía comprada, -   , -   , -   , -   , -   , -   , -   ," 6,935.12 ", -   , -   , -   ," 1,178.18 ", -   ," 8,113.30 ",,
1270 Activos mantenidos para la venta, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
13 Activos físicos e intangibles," 127,162.99 "," 113,850.61 "," 60,643.68 "," 22,244.74 "," 2,742.15 "," 20,040.85 "," 29,330.73 "," 49,983.80 "," 8,857.54 "," 5,119.53 "," 22,939.45 "," 8,975.99 "," 24,588.90 "," 496,480.96 ",,
131 Propiedades no depreciables," 29,781.29 "," 41,094.47 "," 18,824.17 "," 8,216.28 ", 247.69 ," 9,147.84 "," 4,126.58 "," 12,725.69 ", -   , 730.09 ," 3,904.13 "," 2,034.36 "," 5,108.16 "," 135,940.73 ",,
1310 Propiedades no depreciables," 29,781.29 "," 41,094.47 "," 18,824.17 "," 8,216.28 ", 247.69 ," 9,147.84 "," 4,126.58 "," 12,725.69 ", -   , 730.09 ," 3,904.13 "," 2,034.36 "," 5,108.16 "," 135,940.73 ",,
132 Propiedades y equipo depreciables," 71,488.36 "," 38,465.35 "," 28,359.18 "," 12,958.05 "," 2,494.47 "," 10,062.41 "," 18,009.49 "," 35,853.67 "," 4,528.15 "," 3,898.89 "," 3,993.78 "," 6,045.96 "," 12,551.40 "," 248,709.14 ",,
1320 Depreciables," 171,532.52 "," 134,995.73 "," 84,128.25 "," 34,151.54 "," 4,493.97 "," 36,256.59 "," 43,763.50 "," 92,703.47 "," 5,617.21 "," 9,826.91 "," 14,646.66 "," 11,696.54 "," 26,574.87 "," 670,387.77 ",,
1329 Depreciación y deterioro acumulada(o) (-),"-100,044.17 ","-96,530.38 ","-55,769.07 ","-21,193.49 ","-1,999.50 ","-26,194.18 ","-25,754.01 ","-56,849.80 ","-1,089.06 ","-5,928.02 ","-10,652.89 ","-5,650.59 ","-14,023.48 ","-421,678.63 ",,
133 Intangibles," 25,893.34 "," 34,290.78 "," 13,460.33 "," 1,070.42 ", -   , 830.61 ," 7,194.66 "," 1,404.44 "," 4,329.39 ", 490.56 ," 15,041.54 ", 895.67 ," 6,929.34 "," 111,831.09 ",,
1330 Intangibles," 40,946.88 "," 65,306.92 "," 35,040.81 "," 1,417.08 ", -   ," 1,855.98 "," 7,194.66 "," 3,439.16 "," 4,329.39 "," 3,425.18 "," 30,301.87 "," 8,336.25 "," 11,398.48 "," 212,992.66 ",,
1339 Amortización y deterioro acumulada(o) (-),"-15,053.54 ","-31,016.14 ","-21,580.48 ",-346.66 , -   ,"-1,025.37 ", -   ,"-2,034.71 ", -   ,"-2,934.62 ","-15,260.33 ","-7,440.58 ","-4,469.14 ","-101,161.57 ",,
Total Activos," 6,050,148.33 "," 4,126,073.94 "," 3,259,273.82 "," 2,230,445.02 "," 228,367.49 "," 484,718.81 "," 1,413,661.19 "," 3,536,993.14 "," 192,453.24 "," 725,798.11 "," 899,233.95 "," 259,188.48 "," 1,282,730.45 "," 24,689,085.96 ",,
, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
4110 Cartas de crédito," 22,650.29 "," 8,015.30 "," 7,846.22 ", -   , -   , -   , 334.44 ," 55,086.64 ", -   ," 1,511.90 "," 6,578.85 ", -   , -   ," 102,023.63 ",,
4120 Avales y fianzas," 82,966.78 "," 66,809.96 "," 129,430.77 "," 18,113.74 "," 4,531.61 "," 5,732.38 "," 6,983.06 "," 57,933.84 ", -   ," 18,013.66 "," 1,759.56 ", -   ," 8,976.52 "," 401,251.89 ",,
4129 Provisión por pérdidas,"-16,391.62 ","-15,580.35 ","-4,964.70 ","-10,999.75 ",-7.68 ,"-5,732.38 ", -   ,-36.06 , -   , -   , -   , -   , -   ,"-53,712.54 ",,
4130 Operaciones con instrumentos financieros derivados," 9,281.43 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 9,281.43 ",,
4180 Otras, -   , -   , -   , -   , 1.63 , -   , -   , -   , -   , -   , -   , -   , -   , 1.63 ,,
, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
Total derechos futuros y contingencias," 98,506.88 "," 59,244.91 "," 132,312.29 "," 7,113.99 "," 4,525.56 ", -   ," 7,317.50 "," 112,984.42 ", -   ," 19,525.56 "," 8,338.41 ", -   ," 8,976.52 "," 458,846.04 ",,
, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
Total activos + derechos futuros y contingencias," 6,148,655.20 "," 4,185,318.84 "," 3,391,586.11 "," 2,237,559.01 "," 232,893.05 "," 484,718.81 "," 1,420,978.69 "," 3,649,977.56 "," 192,453.24 "," 745,323.67 "," 907,572.35 "," 259,188.48 "," 1,291,706.98 "," 25,147,932.00 ",,
, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
Pasivos, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
21 Pasivos," 5,263,854.95 "," 3,576,449.98 "," 2,841,029.60 "," 2,004,941.45 "," 179,278.32 "," 380,649.35 "," 1,275,891.52 "," 3,120,989.05 "," 152,929.89 "," 607,050.53 "," 793,814.68 "," 215,227.44 "," 1,143,570.92 "," 21,555,677.66 ",,
210 Pasivos financieros a valor razonable con cambios en resultados (vrcr), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
2100 Mantenidos para negociar, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
