Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,
Datos al 31 de Agosto de 2025,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,
,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,
11 Activos," 6,485,652.38 "," 4,437,922.12 "," 3,379,722.56 "," 2,358,215.35 "," 215,192.71 "," 517,650.51 "," 1,449,057.01 "," 3,875,127.30 "," 211,297.51 "," 940,006.85 "," 946,382.45 "," 276,474.59 "," 1,329,306.45 "," 26,422,007.78 ",
1110 Disponibilidades," 946,280.58 "," 841,292.04 "," 456,214.89 "," 524,523.84 "," 72,831.44 "," 156,314.87 "," 286,851.04 "," 600,203.37 "," 34,085.28 "," 159,142.99 "," 129,387.57 "," 49,195.76 "," 200,423.08 "," 4,456,746.73 ",
112 Operaciones con pacto de retroventa," 5,519.05 "," 5,548.27 ", -   ," 3,000.00 ", -   , -   , -   , -   ," 2,000.66 ", -   , -   ," 5,351.75 ", -   ," 21,419.73 ",
1121 Operaciones con pacto de retroventa," 5,519.05 "," 5,548.27 ", -   ," 3,000.00 ", -   , -   , -   , -   ," 2,000.66 ", -   , -   ," 5,351.75 ", -   ," 21,419.73 ",
1130 A valor razonable con cambios en resultados (vrcr)," 1,048,963.95 "," 58,121.64 ", -   , -   , -   , -   , -   , -   , -   ," 4,599.08 ", -   ," 3,818.41 "," 31,755.92 "," 1,147,259.00 ",
1131 A valor razonable con cambios en otro resultado integral (vrori), -   , -   ," 174,025.49 "," 799,687.28 ", -   , -   , -   ," 407,790.00 ", -   , -   , -   , -   , -   ," 1,381,502.77 ",
1132 Derivados financieros para coberturas, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
1134 A costo amortizado," 37,955.74 "," 466,369.08 "," 269,013.45 "," 59,177.29 "," 93,110.64 "," 13,033.87 "," 127,364.83 ", -   ," 51,553.55 "," 62,355.33 "," 158,919.08 ", -   ," 139,582.92 "," 1,478,435.78 ",
1138 Instrumentos financieros restringidos, -   , -   ," 8,991.39 ", -   , -   , -   , -   , -   , -   , -   ," 10,000.00 ", -   , -   ," 18,991.39 ",
114 Préstamos," 4,446,933.06 "," 3,066,591.09 "," 2,471,477.34 "," 971,826.94 "," 49,250.64 "," 348,301.77 "," 1,034,841.15 "," 2,867,133.93 "," 123,658.02 "," 713,909.45 "," 648,075.80 "," 218,108.68 "," 957,544.52 "," 17,917,652.39 ",
1141 Préstamos pactados hasta un año plazo," 900,100.71 "," 427,951.47 "," 365,424.54 "," 71,896.38 "," 49,250.64 "," 59,862.46 "," 355,042.89 "," 675,957.41 "," 6,036.76 "," 86,691.40 "," 108,312.38 "," 2,397.77 "," 214,743.69 "," 3,323,668.50 ",
1142 Préstamos pactados a más de un año plazo," 3,605,539.55 "," 2,683,986.80 "," 2,117,821.96 "," 912,090.57 ", -   ," 288,919.87 "," 682,508.92 "," 2,201,099.67 "," 120,451.77 "," 629,306.00 "," 543,605.50 "," 216,085.01 "," 739,876.02 "," 14,741,291.64 ",
1148 Préstamos vencidos," 43,546.72 "," 36,158.18 "," 59,089.32 "," 42,325.95 ", -   ," 9,039.83 "," 20,589.95 "," 36,027.00 "," 4,087.11 "," 1,533.65 "," 17,712.22 "," 3,750.95 "," 12,867.97 "," 286,728.85 ",
1149 Provisión para incobrabilidad de préstamos," (102,253.92)"," (81,505.35)"," (70,858.49)"," (54,485.96)", -   ," (9,520.39)"," (23,300.61)"," (45,950.15)"," (6,917.63)"," (3,621.60)"," (21,554.31)"," (4,125.05)"," (9,943.15)"," (434,036.60)",
12 Otros activos," 102,390.34 "," 79,380.82 "," 36,946.62 "," 33,572.18 "," 2,629.52 "," 9,434.98 "," 30,533.32 "," 32,181.85 "," 11,932.33 "," 7,955.22 "," 13,579.91 "," 7,463.88 "," 50,322.27 "," 418,323.24 ",
1210 Saldos entre compañías, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
1220 Bienes recibidos en pago o adjudicados," 15,968.60 "," 2,011.90 "," 6,043.93 "," 9,406.92 ", -   ," 3,051.69 "," 1,449.14 "," 1,503.06 ", 120.78 , -   ," 1,823.96 ", 605.31 ," 3,534.71 "," 45,519.98 ",
1230 Existencias," 1,152.14 ", 260.25 , 285.93 , 166.19 , -   , 308.88 , 141.55 , 407.37 , 25.33 , 17.91 , 101.25 , 24.38 , 49.03 ," 2,940.21 ",
1240 Gastos pagados por anticipado," 4,821.49 "," 8,392.90 "," 3,483.43 "," 1,518.74 ", 11.17 , 209.41 ," 8,900.71 "," 3,316.55 "," 7,117.46 ", 847.79 ," 3,592.07 "," 2,721.45 "," 4,144.32 "," 49,077.50 ",
1250 Cuentas por cobrar," 50,049.93 "," 27,349.36 "," 13,616.11 "," 14,744.19 "," 2,160.07 "," 6,050.64 "," 16,794.65 "," 17,868.55 "," 3,249.91 "," 5,816.38 "," 5,084.95 ", 581.63 ," 33,111.06 "," 196,477.44 ",
1251 Impuestos," 23,627.37 "," 23,185.73 "," 9,769.39 "," 7,834.92 ", 458.27 , 574.80 ," 5,227.70 "," 2,543.99 "," 1,418.85 "," 1,273.14 "," 3,086.87 "," 2,376.34 "," 3,839.49 "," 85,216.85 ",
1259 Estimación de pérdida por deterioro de valor," (3,240.98)"," (2,065.52)"," (2,837.46)", (213.06), -   , (760.43)," (1,980.43)", (392.79), -   , -   , (109.18), (23.41), (124.47)," (11,747.74)",
"1260 Inversiones en acciones, derechos y participaciones"," 10,011.78 "," 20,246.20 "," 6,585.29 ", 114.28 , -   , -   , -   , -   , -   , -   , -   , -   ," 5,768.14 "," 42,725.69 ",
1261 Plusvalía comprada, -   , -   , -   , -   , -   , -   , -   ," 6,935.12 ", -   , -   , -   ," 1,178.18 ", -   ," 8,113.30 ",
1270 Activos mantenidos para la venta, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
13 Activos físicos e intangibles," 131,128.18 "," 108,898.82 "," 61,178.41 "," 20,905.35 "," 2,182.13 "," 19,794.82 "," 29,696.74 "," 50,987.08 "," 8,858.58 "," 11,472.04 "," 25,172.79 "," 8,969.35 "," 25,862.61 "," 505,106.89 ",
131 Propiedades no depreciables," 29,221.87 "," 40,887.33 "," 18,714.39 "," 7,957.74 ", 247.69 ," 9,180.46 "," 3,831.64 "," 13,386.73 ", -   , 730.09 , 400.00 ," 1,647.76 "," 3,781.41 "," 129,987.10 ",
1310 Propiedades no depreciables," 29,221.87 "," 40,887.33 "," 18,714.39 "," 7,957.74 ", 247.69 ," 9,180.46 "," 3,831.64 "," 13,386.73 ", -   , 730.09 , 400.00 ," 1,647.76 "," 3,781.41 "," 129,987.10 ",
132 Propiedades y equipo depreciables," 80,095.58 "," 36,083.40 "," 28,108.60 "," 11,875.90 "," 1,934.44 "," 9,467.55 "," 17,326.01 "," 36,029.96 "," 4,131.86 "," 9,881.27 "," 7,959.71 "," 6,576.62 "," 14,683.62 "," 264,154.52 ",
1320 Depreciables," 185,802.44 "," 134,916.44 "," 86,183.90 "," 33,553.80 "," 4,667.82 "," 36,557.98 "," 46,620.54 "," 100,328.44 "," 4,793.15 "," 16,549.07 "," 19,504.54 "," 13,528.82 "," 32,217.33 "," 715,224.27 ",
1329 Depreciación y deterioro acumulada(o) (-)," (105,706.86)"," (98,833.04)"," (58,075.29)"," (21,677.91)"," (2,733.38)"," (27,090.43)"," (29,294.54)"," (64,298.48)", (661.30)," (6,667.80)"," (11,544.83)"," (6,952.19)"," (17,533.71)"," (451,069.75)",
133 Intangibles," 21,810.73 "," 31,928.09 "," 14,355.42 "," 1,071.72 ", -   ," 1,146.81 "," 8,539.09 "," 1,570.39 "," 4,726.72 ", 860.69 ," 16,813.08 ", 744.97 ," 7,397.58 "," 110,965.27 ",
1330 Intangibles," 44,756.09 "," 79,404.24 "," 38,865.78 "," 1,822.92 ", -   ," 4,108.13 "," 8,539.09 "," 3,927.00 "," 7,853.90 "," 4,008.03 "," 35,191.91 "," 9,282.87 "," 14,093.56 "," 251,853.53 ",
1339 Amortización y deterioro acumulada(o) (-)," (22,945.36)"," (47,476.16)"," (24,510.36)", (751.20), -   ," (2,961.32)", -   ," (2,356.61)"," (3,127.18)"," (3,147.34)"," (18,378.84)"," (8,537.90)"," (6,695.98)"," (140,888.26)",
Total Activos," 6,719,170.90 "," 4,626,201.77 "," 3,477,847.59 "," 2,412,692.88 "," 220,004.36 "," 546,880.30 "," 1,509,287.08 "," 3,958,296.22 "," 232,088.41 "," 959,434.11 "," 985,135.15 "," 292,907.82 "," 1,405,491.32 "," 27,345,437.91 ",
,,,,,,,,,,,,,,,
4110 Cartas de crédito," 14,052.04 "," 10,906.84 "," 22,395.76 ", 394.44 , -   , -   , 161.52 ," 87,931.82 ", -   ," 1,301.50 "," 4,101.83 ", -   , -   ," 141,245.73 ",
4120 Avales y fianzas," 73,494.95 "," 70,812.09 "," 107,139.76 "," 12,375.71 "," 3,409.02 "," 5,732.38 "," 4,578.70 "," 53,252.02 ", -   ," 14,844.48 "," 3,220.30 ", -   ," 9,303.35 "," 358,162.75 ",
4129 Provisión por pérdidas," (15,940.91)"," (14,779.05)"," (4,215.93)"," (9,207.03)", -   ," (5,732.38)", -   , (23.31), -   , -   , -   , -   , -   ," (49,898.61)",
4130 Operaciones con instrumentos financieros derivados," 8,417.08 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 8,417.08 ",
4180 Otras, -   , 622.53 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 622.53 ,
,,,,,,,,,,,,,,,
Total derechos futuros y contingencias," 80,023.16 "," 67,562.41 "," 125,319.59 "," 3,563.11 "," 3,409.02 ", -   ," 4,740.21 "," 141,160.52 ", -   ," 16,145.98 "," 7,322.13 ", -   ," 9,303.35 "," 458,549.48 ",
,,,,,,,,,,,,,,,
Total activos + derechos futuros y contingencias," 6,799,194.06 "," 4,693,764.18 "," 3,603,167.18 "," 2,416,255.99 "," 223,413.38 "," 546,880.30 "," 1,514,027.29 "," 4,099,456.75 "," 232,088.41 "," 975,580.09 "," 992,457.27 "," 292,907.82 "," 1,414,794.67 "," 27,803,987.39 ",
,,,,,,,,,,,,,,,
Pasivos,,,,,,,,,,,,,,,
21 Pasivos," 5,823,937.11 "," 4,046,608.45 "," 3,040,674.70 "," 2,170,043.54 "," 166,119.13 "," 434,259.99 "," 1,369,830.97 "," 3,523,718.94 "," 194,125.65 "," 832,192.75 "," 872,945.78 "," 245,820.74 "," 1,259,434.95 "," 23,979,712.71 ",
210 Pasivos financieros a valor razonable con cambios en resultados (vrcr), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
2100 Mantenidos para negociar, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
211 Pasivos financieros a costo amortizado," 5,754,035.68 "," 3,886,960.74 "," 2,882,222.48 "," 1,743,104.84 "," 164,968.55 "," 434,229.03 "," 1,323,646.30 "," 3,368,364.56 "," 185,786.78 "," 773,016.92 "," 851,916.48 "," 235,424.56 "," 1,158,428.36 "," 22,762,105.28 ",
2110 Depósitos a la vista," 4,013,890.15 "," 2,458,491.99 "," 1,487,405.34 "," 729,247.90 "," 133,064.89 "," 280,811.75 "," 631,407.12 "," 1,973,421.50 "," 23,581.79 "," 276,741.25 "," 236,333.85 "," 67,070.04 "," 386,427.39 "," 12,697,894.97 ",
