Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,,
Datos al 30 de Septiembre de 2020,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco Cuscatlán Sv, S.A.  1/","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,,
11 Activos de intermediación,"4,954,630.83","1,659,814.74","2,804,480.18","1,221,813.19","289,587.50","392,282.88","426,094.29","1,246,585.76","1,860,774.80","2,664,332.06","72,883.83","393,426.93","497,432.79","666,047.09","19,150,186.85"
1110 Fondos disponibles,"890,335.78","346,874.57","411,818.88","214,283.00","117,809.08","118,284.06","73,919.59","274,862.46","342,234.29","481,907.37","16,685.86","56,943.77","69,017.43","85,850.78","3,500,826.91"
112 Adquisición temporal de documentos,"18,864.47","10,003.99",0.00,"5,526.59",0.00,120.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"34,515.39"
1121 Documentos adquiridos hasta un año plazo,"18,864.47","10,003.99",0.00,"5,526.59",0.00,120.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"34,515.39"
1128 Documentos vencidos,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1129 Provisión por pérdidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
113 Inversiones financieras,"702,778.57","203,229.63","445,669.07","153,839.34","160,417.83","8,900.20","90,615.51","149,329.21","175,359.82","281,429.00","9,588.83","114,427.51","69,958.73","98,794.84","2,664,338.07"
1130 Titulos valores conservados para negociación,0.00,0.00,"17,154.03","147,167.16","9,905.36",0.00,"1,265.86",0.00,0.00,0.00,"1,588.30",242.40,0.00,0.00,"177,323.11"
1131 Titulos valores para conservarse hasta el vencimiento,"9,124.76","1,502.26","25,043.31","2,147.07",0.00,"8,900.20","89,349.65",0.00,"2,271.92",0.00,0.00,"97,104.04","17,550.08","96,477.75","349,471.03"
1132 Titulos valores disponibles para venta,"693,666.25","201,727.37","403,587.73","4,525.10","150,512.47",0.00,0.00,"149,329.21","173,087.90","281,429.00","8,000.52","17,081.06","52,408.66","2,317.09","2,137,672.37"
1138 Inversiones vencidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1139 Provisión para valuacion de inversiones,-12.44,0.00,-116.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-128.44
114 Préstamos,"3,342,652.01","1,099,706.54","1,946,992.23","848,164.26","11,360.59","264,978.28","261,559.19","822,394.09","1,343,180.69","1,900,995.69","46,609.15","222,055.66","358,456.63","481,401.47","12,950,506.48"
1141 Préstamos pactados hasta un año plazo,"546,895.53","162,476.46","308,270.53","102,948.99","11,361.73","38,402.11","51,733.17","227,888.21","70,290.96","489,713.39","1,031.74","25,222.55","46,088.08","46,449.73","2,128,773.18"
1142 Préstamos pactados a mas de un año plazo,"2,868,752.97","953,569.67","1,669,657.28","757,636.26",0.00,"227,678.08","213,332.91","606,194.77","1,278,787.10","1,426,728.33","47,038.03","198,201.92","315,818.44","435,774.33","10,999,170.07"
1148 Préstamos vencidos,"44,455.40","16,233.99","35,384.32","10,742.39",0.00,"9,566.40","3,583.78","15,760.75","37,449.88","28,140.82",897.69,"1,877.26","1,649.07","3,024.67","208,766.42"
1149 Provisión para incobrabilidad de préstamos,"-117,451.87","-32,573.58","-66,319.90","-23,163.38",-1.14,"-10,668.31","-7,090.66","-27,449.63","-43,347.25","-43,586.85","-2,358.30","-3,246.07","-5,098.97","-3,847.26","-386,203.19"
12 Otros activos,"132,242.44","51,480.71","62,986.79","21,199.81","1,369.61","13,954.90","7,519.08","54,299.49","59,352.99","28,893.54","7,101.58","2,271.52","20,408.20","14,154.90","477,235.56"
1210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1220 Bienes recibidos en pago o adjudicados,"39,290.89",344.49,"12,132.27","13,742.65",0.00,"5,579.73","1,937.29","11,795.77","6,564.45","9,673.25",0.00,0.00,379.80,"5,448.61","106,889.20"
1230 Existencias,728.81,345.91,524.95,43.98,0.00,340.03,73.52,334.22,245.15,454.95,0.00,47.34,25.13,21.32,"3,185.29"
1240 Gastos pagados por anticipado y cargos diferidos,"43,276.46","21,857.04","37,172.89","2,826.71",767.45,"1,962.18","4,106.70","15,062.77","17,760.53","9,518.74","4,638.82","1,347.85","16,924.58","2,941.46","180,164.18"
1250 Cuentas por cobrar,"40,682.93","16,966.41","9,401.74","4,576.33",602.16,"6,868.00",718.34,"27,106.73","19,087.86","9,611.19","2,462.76",876.33,"3,097.84","5,840.51","147,899.12"
1259 Provisión de incobrabilidad de cuentas por cobrar,"-1,803.22",-641.21,"-1,650.32",-104.15,0.00,-795.03,-104.93,0.00,"-1,767.41",-364.59,0.00,0.00,-19.15,-97.01,"-7,347.01"
1260 derechos y participaciones,"10,066.57","12,608.08","5,405.27",114.28,0.00,0.00,788.17,0.00,"17,462.42",0.00,0.00,0.00,0.00,0.00,"46,444.78"
13 Activo fijo,"91,585.18","69,135.47","47,529.70","16,515.10",994.86,"18,490.61","5,547.53","16,465.08","30,376.35","28,883.62","3,008.37",992.47,"1,875.35","11,393.96","342,793.64"
1310 No depreciables,"30,637.38","22,764.54","23,942.02","8,470.21",247.69,"8,979.82","3,486.79","1,850.69","20,126.58","4,176.13",0.00,140.25,51.87,"6,832.08","131,706.04"
1320 depreciables,"156,968.28","55,291.90","61,952.59","22,625.91","2,298.66","32,589.21","6,338.94","32,196.22","60,838.57","45,655.46","10,940.59","2,946.55","5,243.38","18,028.34","513,914.60"
1329 depreciación acumulada,"-97,852.82","-37,086.93","-43,021.85","-15,821.95","-1,609.42","-23,706.52","-4,383.27","-19,279.07","-50,607.35","-24,213.19","-8,983.72","-2,591.78","-4,553.06","-14,943.61","-348,654.55"
1330 Amortizables,"1,832.34","28,165.96","4,656.95","1,240.93",57.93,628.10,105.08,"1,697.24",18.55,"3,265.22","1,051.49",497.46,"1,133.15","1,477.15","45,827.55"
Total Activos,"5,178,458.46","1,780,430.91","2,914,996.67","1,259,528.10","291,951.97","424,728.39","439,160.90","1,317,350.32","1,950,504.14","2,722,109.21","82,993.78","396,690.92","519,716.33","691,595.95","19,970,216.05"
 ,,,,,,,,,,,,,,,
4110 Cartas de crédito,"17,034.38","10,686.80","6,514.10",36.28,28.50,0.00,"7,276.97",0.00,"3,146.81","19,391.03",0.00,348.97,67.59,0.00,"64,531.44"
4119 Provisión por pérdidas,0.00,-3.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.04
4120 Contingencias por avales y fianzas,"109,475.89","41,945.09","80,357.47","15,256.45","10,007.66","6,383.03","3,282.34","9,803.10","99,043.42","68,971.76",0.00,"18,026.19",0.00,"3,073.67","465,626.07"
4129 Provisión por pérdidas,"-15,733.83","-13,502.08","-9,723.19","-5,800.89",-37.72,"-5,161.39",0.00,0.00,"-2,106.96",-657.40,0.00,-3.99,0.00,0.00,"-52,727.44"
4131 derechos por operaciones en moneda extranjera,0.00,0.00,0.00,0.00,423.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,423.98
4139 Prov. pérdidas en derechos por operac. en mon. extran.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,,,,,,,,,,,,,,,
Total derechos futuros y contingencias,"110,776.44","39,126.77","77,148.38","9,491.84","10,422.43","1,221.64","10,559.31","9,803.10","100,083.27","87,705.39",0.00,"18,371.17",67.59,"3,073.67","477,851.01"
 ,,,,,,,,,,,,,,,
Total activos + derechos futuros y contingencias,"5,289,234.90","1,819,557.68","2,992,145.05","1,269,019.94","302,374.39","425,950.03","449,720.22","1,327,153.43","2,050,587.41","2,809,814.60","82,993.78","415,062.08","519,783.92","694,669.62","20,448,067.06"
 ,,,,,,,,,,,,,,,
Pasivos ,,,,,,,,,,,,,,,
21 Pasivos de intermediación,"4,508,137.25","1,498,886.79","2,545,257.69","1,108,204.55","244,339.64","343,241.08","374,915.15","1,145,153.64","1,683,424.27","2,401,907.33","51,309.78","335,256.56","464,188.78","613,715.93","17,317,938.45"
211 depósitos,"3,905,868.37","1,295,853.60","1,952,683.74","966,839.43","241,337.55","329,481.74","328,855.25","998,044.82","1,446,753.87","2,034,911.96","51,157.69","274,918.04","329,206.33","445,682.90","14,601,595.28"
2110 depósitos a la vista,"2,827,762.40","938,342.00","1,084,947.34","471,260.87","221,419.45","195,296.98","168,854.66","508,690.54","674,605.97","1,324,944.41","12,251.82","110,017.28","109,706.98","185,387.99","8,833,488.68"
211001 depósitos en cuenta corriente,"1,060,900.37","519,151.39","524,120.82","221,803.37","198,867.40","45,125.60","115,954.92","312,127.77","256,798.73","844,853.30","12,251.82","40,528.51","71,375.11","124,033.81","4,347,892.91"
211002 depósitos de ahorro,"1,765,986.95","419,190.61","560,474.39","249,455.70","22,552.05","150,171.38","52,899.74","196,562.77","417,807.24","480,091.10",0.00,"69,488.77","38,328.38","61,354.19","4,484,363.28"
211003 depósitos en cuenta de ahorro simplificada,875.07,0.00,352.13,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.49,0.00,"1,232.50"
2111 depósitos pactados hasta un año plazo,"921,703.52","329,056.52","650,731.47","442,353.69","17,510.96","126,574.52","155,448.40","468,619.03","719,653.00","638,090.89","33,395.11","159,826.31","194,979.19","232,141.32","5,090,083.93"
2112 depósitos pactados a mas de un año plazo,"82,991.34",744.16,"158,870.58","33,493.66",0.00,218.36,0.00,"2,149.41","3,582.73","45,575.24",0.00,182.82,"19,884.83","21,001.64","368,694.77"
2114 depósitos restringidos e inactivos,"73,411.12","27,710.93","58,134.35","19,731.21","2,407.14","7,391.87","4,552.18","18,585.83","48,912.18","26,301.42","5,510.76","4,891.63","4,635.33","7,151.94","309,327.90"
212 Préstamos,"358,212.93","127,371.42","355,257.05","112,075.23",0.00,"13,065.33","18,337.60","141,646.04","134,935.75","174,456.82",0.00,"59,273.41","72,486.03","90,990.76","1,658,108.37"
2121 Préstamos pactados hasta un año plazo,"70,800.65","10,242.10","191,280.67","26,464.75",0.00,17.38,"10,101.22","34,031.79",310.88,"104,062.77",0.00,"14,055.97","3,339.61","5,005.47","469,713.24"
2122 Préstamos pactados a mas de un año plazo,"48,980.52",86.32,"10,761.94","65,048.41",0.00,"13,011.97","8,236.38","42,247.62","112,624.87","70,394.06",0.00,"45,217.44","53,976.73","60,807.82","531,394.07"
2123 Préstamos pactados a cinco o mas años plazo,"238,431.77","117,043.00","153,214.44","20,562.08",0.00,35.98,0.00,"65,366.64","22,000.00",0.00,0.00,0.00,"15,169.70","25,177.46","657,001.06"
2130 Obligaciones a la vista,"31,969.14","14,004.18","14,759.39","29,289.89","3,002.09",694.02,"2,623.95","5,462.79","6,371.67","21,229.15",143.96,"1,065.11","1,367.62","3,944.24","135,927.18"
214 Títulos de emisión propia,"212,086.81","61,657.59","205,403.48",0.00,0.00,0.00,"25,098.36",0.00,"95,362.98","171,309.40",0.00,0.00,"61,128.80","73,098.04","905,145.46"
