Superintendencia del Sistema Financiero,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,
Datos al 30 de Septiembre de 2021,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,
11 Activos de intermediación,"4,952,411.30","3,410,034.73","2,833,491.33","1,500,517.34","231,301.81","424,054.01","394,900.14","1,248,866.72","2,854,843.68","87,524.58","418,213.48","537,294.73","797,965.61","19,691,419.46"
1110 Fondos disponibles,"941,513.07","620,495.12","429,444.74","291,806.59","144,314.32","143,267.50","77,530.20","257,151.95","504,641.16","13,172.04","79,416.46","59,296.97","101,061.85","3,663,111.96"
112 Adquisición temporal de documentos,"19,279.78",0.00,"7,500.00","3,924.91",0.00,823.27,0.00,0.00,0.00,0.00,0.00,0.00,"2,980.28","34,508.25"
1121 Documentos adquiridos hasta un año plazo,"19,279.78",0.00,"7,500.00","3,924.91",0.00,823.27,0.00,0.00,0.00,0.00,0.00,0.00,"2,980.28","34,508.25"
1128 Documentos vencidos,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1129 Provisión por pérdidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
113 Inversiones financieras,"594,978.85","362,627.77","314,554.45","254,471.21","79,396.29","11,986.03","79,647.05","166,076.30","310,829.84","4,201.46","52,537.46","100,912.83","144,858.06","2,477,077.60"
1130 Titulos valores conservados para negociación,480.23,0.00,0.00,"237,962.81",0.00,0.00,143.15,0.00,0.00,"2,200.00",307.95,"15,290.48","8,000.00","264,384.61"
1131 Titulos valores para conservarse hasta el vencimiento,"47,494.33","1,754.04","8,315.01","2,147.54",0.00,"11,986.03","79,503.90",0.00,0.00,0.00,"35,174.90","11,971.14","136,858.06","335,204.94"
1132 Titulos valores disponibles para venta,"547,004.30","361,175.81","306,239.44","14,360.86","79,396.29",0.00,0.00,"166,076.30","310,829.84","2,004.07","17,054.62","73,651.22",0.00,"1,877,792.74"
1138 Inversiones vencidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1139 Provisión para valuacion de inversiones,0.00,-302.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.61,0.00,0.00,0.00,-304.69
114 Préstamos,"3,396,639.60","2,426,911.84","2,081,992.15","950,314.63","7,591.20","267,977.20","237,722.88","825,638.47","2,039,372.68","70,151.08","286,259.56","377,084.93","549,065.43","13,516,721.66"
1141 Préstamos pactados hasta un año plazo,"515,387.87","274,235.38","272,842.87","78,004.23","7,601.57","37,340.87","61,566.26","226,021.62","407,334.30","4,773.94","35,285.01","46,874.69","74,837.94","2,042,106.56"
1142 Préstamos pactados a mas de un año plazo,"2,955,493.65","2,183,823.37","1,822,830.76","882,819.35",0.00,"231,325.45","178,504.01","602,099.95","1,642,581.87","64,615.31","253,445.02","332,864.37","476,838.83","11,627,241.92"
1148 Préstamos vencidos,"86,453.09","85,707.03","40,609.35","14,429.31",0.00,"9,117.30","5,802.71","30,122.11","52,751.86","5,196.31",722.74,"3,111.18","3,714.51","337,737.49"
1149 Provisión para incobrabilidad de préstamos,"-160,695.01","-116,853.94","-54,290.83","-24,938.26",-10.37,"-9,806.42","-8,150.10","-32,605.20","-63,295.35","-4,434.47","-3,193.21","-5,765.31","-6,325.85","-490,364.31"
12 Otros activos,"138,171.17","109,433.16","59,066.52","49,506.02","1,229.29","10,987.41","9,025.54","51,133.61","26,673.35","8,777.94","2,256.86","21,311.75","24,946.00","512,518.62"
1210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1220 Bienes recibidos en pago o adjudicados,"34,428.56","2,774.38","10,254.07","12,581.61",0.00,"4,424.39","1,858.81","10,498.03","7,538.30",0.00,0.00,"1,429.93","4,847.00","90,635.08"
1230 Existencias,320.38,262.52,341.91,66.76,0.00,349.20,76.29,218.32,357.50,0.00,65.09,25.13,20.74,"2,103.84"
1240 Gastos pagados por anticipado y cargos diferidos,"47,834.01","37,154.72","34,641.23","3,362.13",313.01,"1,520.26","3,823.63","17,200.58","9,901.86","5,881.08","1,271.13","16,091.91","4,749.47","183,745.03"
1250 Cuentas por cobrar,"47,364.50","40,193.20","9,062.74","33,479.52",916.28,"5,673.29","2,688.71","24,133.14","9,250.90","2,896.86",920.64,"3,799.43","14,233.36","194,612.57"
1259 Provisión de incobrabilidad de cuentas por cobrar,"-2,430.91","-2,428.23","-1,617.43",-98.28,0.00,-979.74,-97.15,-916.46,-375.21,0.00,0.00,-34.65,-104.47,"-9,082.52"
1260 derechos y participaciones,"10,654.64","31,476.57","6,384.01",114.28,0.00,0.00,675.24,0.00,0.00,0.00,0.00,0.00,"1,199.90","50,504.64"
13 Activo fijo,"87,993.95","112,697.39","45,029.05","16,665.15","1,184.94","18,500.74","5,212.25","16,451.77","32,377.56","3,220.95","2,097.76","1,697.59","5,335.49","348,464.57"
1310 No depreciables,"30,631.36","41,819.90","19,020.02","8,468.85",247.69,"8,271.42","3,496.68","2,177.40","7,896.76",0.00,870.33,47.32,"2,635.14","125,582.86"
1320 depreciables,"157,010.25","114,718.36","64,662.57","22,696.24","2,226.04","34,397.38","6,430.90","33,708.43","46,750.97","10,991.51","3,489.76","5,365.36","14,583.16","517,030.92"
1329 depreciación acumulada,"-101,002.10","-88,123.88","-43,393.95","-15,904.79","-1,419.87","-24,997.31","-4,792.11","-20,967.52","-26,130.96","-9,852.09","-2,674.49","-4,775.72","-12,198.66","-356,233.43"
1330 Amortizables,"1,354.44","44,283.02","4,740.41","1,404.85",131.08,829.25,76.78,"1,533.46","3,860.80","2,081.52",412.15,"1,060.63",315.86,"62,084.23"
Total Activos,"5,178,576.42","3,632,165.28","2,937,586.91","1,566,688.51","233,716.04","453,542.16","409,137.92","1,316,452.10","2,913,894.59","99,523.46","422,568.10","560,304.07","828,247.09","20,552,402.65"
 ,,,,,,,,,,,,,,
4110 Cartas de crédito,"18,535.94","14,374.30","23,316.39",798.79,735.00,0.00,"2,671.08",0.00,"27,658.85",0.00,"1,227.04",0.00,0.00,"89,317.40"
4119 Provisión por pérdidas,-6.19,-2.78,0.00,-0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-9.84
4120 Contingencias por avales y fianzas,"136,060.17","106,905.30","87,803.66","16,063.31","8,194.84","6,361.20","5,097.13","10,949.97","73,924.52",0.00,"16,239.29",0.00,"5,588.87","473,188.27"
4129 Provisión por pérdidas,"-16,207.17","-15,716.14","-4,658.25","-6,014.34",-45.47,"-5,370.04",0.00,0.00,-262.81,0.00,0.00,0.00,0.00,"-48,274.22"
4131 derechos por operaciones en moneda extranjera,"9,935.95",0.00,0.00,0.00,178.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"10,114.28"
4139 Prov. pérdidas en derechos por operac. en mon. extran.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,,,,,,,,,,,,,,
Total derechos futuros y contingencias,"148,318.71","105,560.69","106,461.80","10,846.88","9,062.70",991.16,"7,768.21","10,949.97","101,320.57",0.00,"17,466.33",0.00,"5,588.87","524,335.89"
 ,,,,,,,,,,,,,,
Total activos + derechos futuros y contingencias,"5,326,895.13","3,737,725.97","3,044,048.70","1,577,535.38","242,778.74","454,533.32","416,906.13","1,327,402.07","3,015,215.16","99,523.46","440,034.43","560,304.07","833,835.97","21,076,738.54"
 ,,,,,,,,,,,,,,
Pasivos ,,,,,,,,,,,,,,
21 Pasivos de intermediación,"4,428,073.89","3,124,124.84","2,558,002.35","1,395,769.80","189,136.35","366,932.61","343,987.41","1,138,070.90","2,581,414.20","69,419.79","335,806.70","499,014.13","729,046.34","17,758,799.32"
211 depósitos,"3,916,194.25","2,743,319.74","1,983,250.76","1,278,179.30","180,803.42","357,250.92","313,001.96","1,012,720.64","2,177,248.06","66,988.52","301,841.20","358,894.41","528,144.03","15,217,837.21"
2110 depósitos a la vista,"2,979,072.78","1,726,862.97","1,157,289.26","652,294.89","178,013.68","229,704.93","166,802.42","580,819.19","1,542,892.63","13,493.12","131,040.15","160,966.45","232,685.30","9,751,937.78"
211001 depósitos en cuenta corriente,"1,094,814.28","795,142.37","562,394.41","378,038.49","176,877.71","60,059.07","123,858.98","355,657.85","1,013,622.98","13,493.12","52,499.61","124,508.67","159,762.83","4,910,730.37"
211002 depósitos de ahorro,"1,882,723.43","931,720.61","594,455.02","274,254.60","1,135.96","169,645.86","42,943.44","225,161.34","529,269.66",0.00,"78,540.54","36,455.24","72,922.47","4,839,228.17"
211003 depósitos en cuenta de ahorro simplificada,"1,535.07",0.00,439.83,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.54,0.00,"1,979.24"
2111 depósitos pactados hasta un año plazo,"797,621.42","925,059.20","703,651.73","558,041.28","1,001.20","120,338.94","141,182.67","412,237.02","581,908.54","51,030.20","166,942.13","174,807.23","267,564.02","4,901,385.57"
2112 depósitos pactados a mas de un año plazo,"65,532.31","18,371.82","75,845.27","50,724.52",0.00,282.04,0.00,"2,274.86","33,457.40",0.00,351.69,"18,528.48","20,817.10","286,185.49"
2114 depósitos restringidos e inactivos,"73,967.73","73,025.74","46,464.50","17,118.61","1,788.54","6,925.01","5,016.87","17,389.58","18,989.49","2,465.19","3,507.24","4,592.25","7,077.61","278,328.37"
212 Préstamos,"326,505.77","200,688.10","359,496.64","81,153.58",0.00,"9,153.61","5,318.57","115,955.79","234,964.16",0.00,"26,128.86","72,039.97","124,527.80","1,555,932.84"
2121 Préstamos pactados hasta un año plazo,"60,026.05","77,529.98","195,806.37","20,980.02",0.00,16.20,"2,988.40","5,656.85","174,672.25",0.00,"23,686.66","2,092.78","10,014.41","573,469.98"
2122 Préstamos pactados a mas de un año plazo,"10,606.57",156.74,"8,105.10","44,478.21",0.00,"9,121.79","2,330.16","42,403.29","60,291.91",0.00,"2,442.21","57,306.41","88,210.15","325,452.53"
2123 Préstamos pactados a cinco o mas años plazo,"255,873.15","123,001.37","155,585.17","15,695.35",0.00,15.62,0.00,"67,895.65",0.00,0.00,0.00,"12,640.78","26,303.25","657,010.33"
2130 Obligaciones a la vista,"22,838.29","27,304.59","13,156.31","34,435.54","8,332.94",528.08,568.25,"9,394.47","28,952.21",231.28,"7,836.64","1,283.16","4,421.12","159,282.89"
214 Títulos de emisión propia,"162,055.26","152,812.42","202,098.64",0.00,0.00,0.00,"25,098.63",0.00,"140,249.77",0.00,0.00,"51,506.11","63,953.39","797,774.22"
2141 Títulos de emisión propia pactados hasta un año plazo.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,830.86,830.86
2142 Pactados a mas de un año plazo,"162,055.26","152,812.42","202,098.64",0.00,0.00,0.00,"25,098.63",0.00,"140,249.77",0.00,0.00,"51,506.11","63,122.53","796,943.36"
215 Documentos transados,480.31,0.00,0.00,"2,001.37",0.00,0.00,0.00,0.00,0.00,"2,200.00",0.00,"15,290.48","8,000.00","27,972.16"
2151 Documentos transados hasta un año plazo,480.31,0.00,0.00,"2,001.37",0.00,0.00,0.00,0.00,0.00,"2,200.00",0.00,"15,290.48","8,000.00","27,972.16"
