Superintendencia del Sistema Financiero,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,
Datos al 30 de Septiembre de 2023,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,
,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,
11 Activos de intermediación,"5,508,621.94","3,810,500.65","2,999,969.08","2,184,968.13","182,875.38","439,564.76","1,320,984.40","3,171,971.68","154,639.44","633,854.42","824,451.92","1,153,816.09","22,386,217.90"
1110 Fondos disponibles,"876,055.82","558,284.63","377,830.18","294,321.39","66,185.82","116,782.85","206,380.98","426,316.01","16,742.86","82,460.55","94,082.09","147,504.26","3,262,947.44"
112 Adquisición temporal de documentos,"2,967.28",0.00,0.00,"3,425.89",0.00,84.38,"4,256.18",0.00,"1,854.64",0.00,0.00,0.00,"12,588.37"
1121 Documentos adquiridos hasta un año plazo,"2,967.28",0.00,0.00,"3,425.89",0.00,84.38,"4,256.18",0.00,"1,854.64",0.00,0.00,0.00,"12,588.37"
1128 Documentos vencidos,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1129 Provisión por pérdidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
113 Inversiones financieras,"794,374.72","479,576.49","390,922.86","876,236.46","94,323.93","14,776.44","174,551.18","334,200.52","10,617.18","63,780.82","114,944.05","212,695.59","3,561,000.23"
1130 Titulos valores conservados para negociación,"13,233.42",0.00,850.00,"873,998.70",0.00,0.00,0.00,"15,100.87",0.00,0.00,0.00,0.00,"903,182.98"
1131 Titulos valores para conservarse hasta el vencimiento,"94,816.56",0.00,"7,948.85","2,148.61",0.00,"14,776.44",0.00,0.00,0.00,"46,784.81",882.30,"212,695.59","380,053.17"
1132 Titulos valores disponibles para venta,"686,324.75","479,576.49","382,124.00",89.15,"94,323.93",0.00,"174,551.18","319,099.65","10,617.18","16,996.00","114,061.75",0.00,"2,277,764.08"
1134 Instrumentos financieros para cobertura,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1138 Inversiones vencidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1139 Provisión para valuacion de inversiones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
114 Préstamos,"3,835,224.11","2,772,639.53","2,231,216.04","1,010,984.40","22,365.64","307,921.09","935,796.05","2,411,455.15","125,424.77","487,613.06","615,425.79","793,616.23","15,549,681.86"
1141 Préstamos pactados hasta un año plazo,"630,285.30","362,275.23","325,591.53","74,508.11","22,424.59","44,034.66","297,135.54","484,299.94","3,523.56","68,682.12","96,883.82","114,936.63","2,524,581.03"
1142 Préstamos pactados a mas de un año plazo,"3,267,153.26","2,448,229.53","1,919,651.42","949,711.82",0.00,"263,912.13","642,659.76","1,938,897.64","119,296.94","420,291.59","521,906.31","680,899.15","13,172,609.55"
1148 Préstamos vencidos,"47,760.85","79,446.29","46,857.09","19,965.90",0.00,"9,637.58","20,078.63","38,945.67","23,083.26","1,898.00","21,939.90","3,223.96","312,837.13"
1149 Provisión para incobrabilidad de préstamos,"-109,975.30","-117,311.51","-60,884.00","-33,201.43",-58.95,"-9,663.28","-24,077.88","-50,688.10","-20,478.99","-3,258.65","-25,304.24","-5,443.51","-460,345.84"
12 Otros activos,"165,669.39","87,598.08","49,819.85","31,907.20","1,608.04","12,128.91","37,376.46","17,873.17","10,890.91","4,324.73","33,302.20","29,730.75","482,229.68"
1210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1220 Bienes recibidos en pago o adjudicados,"20,236.91",961.21,"8,113.11","12,250.01",0.00,"5,095.98","3,650.93","3,139.70",0.00,0.00,"3,484.82","2,638.36","59,571.03"
1230 Existencias,"1,014.53",299.81,542.71,159.95,0.00,335.81,140.18,263.52,0.00,43.85,97.85,36.88,"2,935.09"
1240 Gastos pagados por anticipado y cargos diferidos,"43,489.72","36,732.10","26,623.49","5,831.91",425.93,"1,017.97","15,310.72","10,248.97","8,975.19","1,718.20","24,471.43","10,083.68","184,929.30"
1250 Cuentas por cobrar,"92,339.55","20,585.55","10,602.70","13,662.49","1,182.10","6,325.20","18,831.92","4,577.17","1,915.72","2,562.68","5,518.41","15,636.94","193,740.43"
1259 Provisión de incobrabilidad de cuentas por cobrar,"-2,466.03","-2,302.15","-2,225.66",-111.43,0.00,-646.04,-557.29,-356.20,0.00,0.00,-270.32,-85.78,"-9,020.89"
1260 derechos y participaciones,"11,054.71","31,321.56","6,163.49",114.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,420.68","50,074.72"
13 Activo fijo,"81,125.09","111,085.67","43,876.74","15,820.28","1,574.38","19,529.15","18,035.51","43,027.64","1,837.81","2,093.04","2,513.12","10,258.44","350,776.87"
1310 No depreciables,"29,884.62","41,231.84","20,450.72","7,960.11",247.69,"8,673.12","3,753.33","11,369.98",0.00,730.09,314.42,"6,452.20","131,068.12"
1320 depreciables,"129,349.35","109,561.94","66,871.94","24,155.51","2,586.42","34,943.32","36,711.65","58,144.22","10,805.91","3,795.51","9,863.13","16,120.25","502,909.15"
1329 depreciación acumulada,"-79,039.00","-87,404.65","-46,784.25","-17,415.17","-1,367.27","-24,834.82","-23,938.12","-34,363.24","-10,399.54","-2,866.95","-9,156.58","-12,695.22","-350,264.82"
1330 Amortizables,930.12,"47,696.54","3,338.34","1,119.82",107.55,747.53,"1,508.65","7,876.68","1,431.44",434.40,"1,492.15",381.20,"67,064.42"
Total Activos,"5,755,416.43","4,009,184.41","3,093,665.67","2,232,695.61","186,057.80","471,222.82","1,376,396.36","3,232,872.49","167,368.16","640,272.19","860,267.24","1,193,805.27","23,219,224.45"
 ,,,,,,,,,,,,,
4110 Cartas de crédito,"10,727.57","28,718.10","11,464.24",960.74,0.00,0.00,404.89,"56,345.92",0.00,"1,170.24","2,658.42",0.00,"112,450.13"
4119 Provisión por pérdidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4120 Contingencias por avales y fianzas,"85,015.48","77,820.08","131,114.12","24,314.37","5,454.08","5,714.13","6,425.51","68,841.67",0.00,"19,286.38","1,935.10","8,287.87","434,208.78"
4129 Provisión por pérdidas,"-15,862.44","-15,944.00","-4,787.76","-9,243.01",-33.67,"-5,714.13",0.00,-86.11,0.00,0.00,0.00,0.00,"-51,671.11"
4131 derechos por operaciones en moneda extranjera,"8,434.21",0.00,0.00,0.00,"1,368.34",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"9,802.55"
4139 Prov. pérdidas en derechos por operac. en mon. extran.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,,,,,,,,,,,,,
Total derechos futuros y contingencias,"88,314.82","90,594.19","137,790.60","16,032.10","6,788.75",0.00,"6,830.40","125,101.48",0.00,"20,456.62","4,593.52","8,287.87","504,790.35"
 ,,,,,,,,,,,,,
Total activos + derechos futuros y contingencias,"5,843,731.25","4,099,778.59","3,231,456.27","2,248,727.71","192,846.55","471,222.82","1,383,226.77","3,357,973.97","167,368.16","660,728.81","864,860.77","1,202,093.14","23,724,014.81"
 ,,,,,,,,,,,,,
Pasivos ,,,,,,,,,,,,,
21 Pasivos de intermediación,"4,926,059.99","3,462,682.12","2,682,131.27","2,023,575.86","145,170.73","370,674.69","1,200,231.35","2,846,062.71","131,959.21","531,008.00","731,606.26","1,072,432.46","20,123,594.66"
211 depósitos,"4,213,261.35","2,986,170.30","2,254,961.37","1,711,680.30","142,551.83","351,064.75","1,026,399.77","2,434,980.45","116,360.71","414,358.68","576,667.54","728,697.68","16,957,154.73"
2110 depósitos a la vista,"3,219,666.16","1,961,728.55","1,251,476.77","614,476.33","140,751.07","238,254.02","558,773.11","1,592,793.13","15,564.54","190,273.32","189,652.71","286,518.38","10,259,928.10"
211001 depósitos en cuenta corriente,"962,845.21","859,135.18","512,380.83","314,441.71","128,326.08","47,249.18","330,283.20","989,853.13","15,506.32","78,532.67","136,871.89","209,769.72","4,585,195.12"
211002 depósitos de ahorro,"2,254,697.59","1,102,593.37","738,227.85","300,034.63","12,424.99","191,004.84","228,489.91","602,940.00",0.00,"111,740.65","52,773.27","76,748.66","5,671,675.76"
211003 depósitos en cuenta de ahorro simplificada,"2,123.35",0.00,868.10,0.00,0.00,0.00,0.00,0.00,58.21,0.00,7.55,0.00,"3,057.22"
2111 depósitos pactados hasta un año plazo,"831,696.89","928,081.34","864,616.09","882,958.35",0.00,"103,012.08","406,691.61","770,826.04","86,116.41","216,719.86","356,518.16","288,565.65","5,735,802.47"
2112 depósitos pactados a mas de un año plazo,"91,950.64","29,748.01","90,847.81","189,371.52",0.00,168.90,"33,091.54","54,429.97","11,259.48","3,091.71","22,318.58","137,876.67","664,154.82"
2114 depósitos restringidos e inactivos,"69,947.66","66,612.40","48,020.70","24,874.10","1,800.76","9,629.75","27,843.51","16,931.30","3,420.29","4,273.79","8,178.09","15,736.98","297,269.33"
212 Préstamos,"495,951.34","250,495.50","182,067.52","86,930.69",0.00,"19,083.08","119,972.66","213,398.02","10,193.89","52,224.65","97,642.19","144,440.00","1,672,399.56"
2121 Préstamos pactados hasta un año plazo,"113,194.37","36,966.29","81,849.66","15,069.74",0.00,16.20,"18,089.07","114,466.26","2,115.91","22,333.05","5,613.32","13,178.26","422,892.13"
2122 Préstamos pactados a mas de un año plazo,"122,719.08","25,778.12","4,718.01","64,475.37",0.00,"4,145.41","21,697.62","98,931.76","3,004.00","29,891.61","49,026.44","86,515.24","510,902.66"
2123 Préstamos pactados a cinco o mas años plazo,"260,037.88","187,751.09","95,499.85","7,385.58",0.00,"14,921.47","80,185.96",0.00,"5,073.98",0.00,"43,002.44","44,746.50","738,604.76"
2130 Obligaciones a la vista,"20,604.02","21,961.31","11,131.62","31,950.03","2,618.89",526.85,"10,604.80","24,965.86","1,292.26","2,076.59","2,680.02","1,012.73","131,424.98"
214 Títulos de emisión propia,"196,243.29","204,055.01","233,120.76","193,014.85",0.00,0.00,"43,254.12","157,587.95","4,112.35","62,348.07","54,616.52","198,282.05","1,346,634.96"
2141 Títulos de emisión propia pactados hasta un año plazo.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"3,109.18","8,084.09",0.00,"24,731.94","35,925.21"
2142 Pactados a mas de un año plazo,"196,243.29","204,055.01","233,120.76","193,014.85",0.00,0.00,"43,254.12","157,587.95","1,003.18","54,263.98","54,616.52","173,550.11","1,310,709.75"
215 Documentos transados,0.00,0.00,850.00,0.00,0.00,0.00,0.00,"15,130.43",0.00,0.00,0.00,0.00,"15,980.43"
2151 Documentos transados hasta un año plazo,0.00,0.00,850.00,0.00,0.00,0.00,0.00,"15,130.43",0.00,0.00,0.00,0.00,"15,980.43"
216 Cheques y otros valores por aplicar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2160 Cheques y otros valores por aplicar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
217 Instrumentos financieros a valor razonable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
