Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,,
Datos al 30 de septiembre de 2024,,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,,
,,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,,
11 Activos," 5,682,652.44 "," 3,926,398.08 "," 3,195,497.80 "," 2,217,693.28 "," 219,671.31 "," 460,991.29 "," 1,329,969.60 "," 3,501,356.02 "," 168,980.17 "," 721,362.77 "," 846,560.46 "," 244,368.32 "," 1,242,634.87 "," 23,758,136.42 ",,
1110 Disponibilidades," 790,948.54 "," 520,347.61 "," 462,173.68 "," 300,353.34 "," 75,501.57 "," 131,310.98 "," 199,983.21 "," 460,642.80 "," 24,159.51 "," 97,132.67 "," 110,606.00 "," 46,648.63 "," 136,433.86 "," 3,356,242.42 ",,
112 Operaciones con pacto de retroventa," 5,544.11 ", 37.31 , -   , -   , -   , 501.81 , -   , -   , -   , -   , -   ," 1,150.00 ", -   ," 7,233.23 ",,
1121 Operaciones con pacto de retroventa," 5,544.11 ", 37.31 , -   , -   , -   , 501.81 , -   , -   , -   , -   , -   ," 1,150.00 ", -   ," 7,233.23 ",,
1130 A valor razonable con cambios en resultados (vrcr)," 738,713.76 ", -   , -   , -   , -   , -   , -   ," 3,000.00 ", -   , -   , -   , -   ," 19,088.95 "," 760,802.71 ",,
1131 A valor razonable con cambios en otro resultado integral (vrori), -   , -   ," 338,695.51 "," 895,222.88 ", -   , -   , -   ," 401,722.45 ", -   , -   , -   , -   , -   ," 1,635,640.83 ",,
1132 Derivados financieros para coberturas, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
1134 A costo amortizado," 39,917.80 "," 487,652.84 "," 5,445.94 "," 8,777.53 "," 105,332.65 "," 12,079.45 "," 167,710.39 ", -   ," 21,735.85 "," 65,289.47 "," 126,996.98 ", -   ," 223,733.11 "," 1,264,672.01 ",,
1138 Instrumentos financieros restringidos, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 3,140.00 ", -   , -   ," 3,140.00 ",,
114 Préstamos," 4,107,528.23 "," 2,918,360.33 "," 2,389,182.66 "," 1,013,339.54 "," 38,837.09 "," 317,099.05 "," 962,276.00 "," 2,635,990.77 "," 123,084.81 "," 558,940.63 "," 605,817.48 "," 196,569.69 "," 863,378.95 "," 16,730,405.23 ",,
1141 Préstamos pactados hasta un año plazo," 710,044.39 "," 367,507.01 "," 369,001.45 "," 69,491.14 "," 39,095.21 "," 47,892.89 "," 304,581.17 "," 601,083.81 "," 6,503.49 "," 66,371.47 "," 103,105.83 "," 3,142.15 "," 122,661.87 "," 2,810,481.89 ",,
1142 Préstamos pactados a más de un año plazo," 3,446,609.77 "," 2,601,352.61 "," 2,036,198.77 "," 954,287.31 ", -   ," 270,104.93 "," 659,576.04 "," 2,050,235.56 "," 117,713.42 "," 494,515.95 "," 507,424.40 "," 193,603.16 "," 742,686.37 "," 14,074,308.29 ",,
1148 Préstamos vencidos," 45,246.67 "," 78,158.35 "," 56,700.03 "," 29,989.60 ", -   ," 8,460.93 "," 22,790.83 "," 34,834.64 "," 6,057.49 "," 1,421.36 "," 19,108.92 "," 6,729.99 "," 3,784.15 "," 313,282.96 ",,
1149 Provisión para incobrabilidad de préstamos,"-94,372.61 ","-128,657.64 ","-72,717.59 ","-40,428.50 ",-258.12 ,"-9,359.69 ","-24,672.04 ","-50,163.23 ","-7,189.59 ","-3,368.16 ","-23,821.68 ","-6,905.61 ","-5,753.44 ","-467,667.91 ",,
12 Otros activos," 96,949.90 "," 88,001.07 "," 38,072.37 "," 27,029.50 "," 1,561.44 "," 10,672.17 "," 33,000.05 "," 22,769.14 "," 8,969.02 "," 6,499.30 "," 12,779.54 "," 7,287.62 "," 28,560.81 "," 382,151.93 ",,
1210 Saldos entre compañías, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
1220 Bienes recibidos en pago o adjudicados," 18,165.39 "," 1,144.52 "," 5,308.57 "," 12,070.94 ", -   ," 4,183.33 "," 1,650.69 "," 2,088.68 ", -   , -   ," 3,279.21 ", 695.55 ," 2,102.71 "," 50,689.59 ",,
1230 Existencias," 1,498.43 ", 274.22 , 417.93 , 169.19 , -   , 321.33 , 50.63 , 186.28 , -   , 54.17 , 97.85 , 18.59 , 30.34 ," 3,118.95 ",,
1240 Gastos pagados por anticipado," 3,718.45 "," 9,353.70 "," 3,766.61 "," 1,315.96 ", 35.37 , 53.10 ," 7,638.11 "," 1,682.92 "," 6,109.44 ", 638.16 ," 1,865.68 "," 2,489.86 "," 2,395.47 "," 41,062.83 ",,
1250 Cuentas por cobrar," 45,177.45 "," 23,474.20 "," 14,230.78 "," 10,089.65 "," 1,068.01 "," 6,271.36 "," 21,372.02 "," 10,107.86 "," 1,473.84 "," 5,006.69 "," 4,702.64 ", 763.03 ," 18,518.89 "," 162,256.43 ",,
1251 Impuestos," 21,362.87 "," 25,029.17 "," 10,514.56 "," 3,418.23 ", 458.05 , 629.34 ," 4,160.08 "," 2,135.98 "," 1,385.74 ", 800.27 ," 3,133.40 "," 2,315.40 "," 3,311.97 "," 78,655.07 ",,
1259 Estimación de pérdida por deterioro de valor,"-3,226.81 ","-2,596.20 ","-2,531.13 ",-148.76 , -   ,-786.30 ,"-1,871.47 ",-367.70 , -   , -   ,-299.24 ,-172.99 ,-108.18 ,"-12,108.76 ",,
"1260 Inversiones en acciones, derechos y participaciones"," 10,254.12 "," 31,321.45 "," 6,365.04 ", 114.28 , -   , -   , -   , -   , -   , -   , -   , -   ," 2,309.62 "," 50,364.52 ",,
1261 Plusvalía comprada, -   , -   , -   , -   , -   , -   , -   ," 6,935.12 ", -   , -   , -   ," 1,178.18 ", -   ," 8,113.30 ",,
1270 Activos mantenidos para la venta, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
13 Activos físicos e intangibles," 127,374.38 "," 114,088.60 "," 60,702.90 "," 22,111.11 "," 2,712.11 "," 20,384.59 "," 30,200.49 "," 49,826.27 "," 9,383.88 "," 4,996.84 "," 23,197.87 "," 9,015.49 "," 24,933.78 "," 498,928.30 ",,
131 Propiedades no depreciables," 29,653.96 "," 41,094.47 "," 18,968.87 "," 8,235.45 ", 247.69 ," 9,164.35 "," 4,243.33 "," 12,751.51 ", -   , 730.09 ," 4,069.91 "," 2,035.12 "," 5,178.78 "," 136,373.51 ",,
1310 Propiedades no depreciables," 29,653.96 "," 41,094.47 "," 18,968.87 "," 8,235.45 ", 247.69 ," 9,164.35 "," 4,243.33 "," 12,751.51 ", -   , 730.09 ," 4,069.91 "," 2,035.12 "," 5,178.78 "," 136,373.51 ",,
132 Propiedades y equipo depreciables," 72,325.73 "," 37,862.09 "," 28,032.32 "," 12,835.73 "," 2,464.42 "," 10,070.49 "," 17,802.48 "," 35,930.30 "," 4,511.41 "," 3,786.23 "," 3,933.88 "," 5,959.57 "," 12,813.77 "," 248,328.42 ",,
1320 Depreciables," 171,882.02 "," 134,981.19 "," 84,142.47 "," 34,257.66 "," 4,537.88 "," 36,391.76 "," 43,789.40 "," 93,433.26 "," 5,612.56 "," 9,834.86 "," 14,631.36 "," 11,719.36 "," 27,130.16 "," 672,343.95 ",,
1329 Depreciación y deterioro acumulada(o) (-),"-99,556.29 ","-97,119.10 ","-56,110.14 ","-21,421.94 ","-2,073.45 ","-26,321.27 ","-25,986.92 ","-57,502.95 ","-1,101.15 ","-6,048.64 ","-10,697.49 ","-5,759.79 ","-14,316.39 ","-424,015.53 ",,
133 Intangibles," 25,394.68 "," 35,132.04 "," 13,701.70 "," 1,039.94 ", -   ," 1,149.75 "," 8,154.67 "," 1,144.46 "," 4,872.47 ", 480.53 ," 15,194.08 "," 1,020.80 "," 6,941.23 "," 114,226.37 ",,
1330 Intangibles," 41,114.66 "," 67,432.55 "," 35,520.35 "," 1,417.08 ", -   ," 2,339.08 "," 8,154.67 "," 3,437.49 "," 4,953.89 "," 3,425.18 "," 30,747.73 "," 8,545.95 "," 11,603.06 "," 218,691.69 ",,
1339 Amortización y deterioro acumulada(o) (-),"-15,719.97 ","-32,300.51 ","-21,818.65 ",-377.14 , -   ,"-1,189.33 ", -   ,"-2,293.03 ",-81.42 ,"-2,944.65 ","-15,553.65 ","-7,525.15 ","-4,661.82 ","-104,465.32 ",,
Total Activos," 5,906,976.72 "," 4,128,487.75 "," 3,294,273.06 "," 2,266,833.89 "," 223,944.86 "," 492,048.05 "," 1,393,170.14 "," 3,573,951.43 "," 187,333.07 "," 732,858.92 "," 882,537.87 "," 260,671.44 "," 1,296,129.46 "," 24,639,216.65 ",,
,,,,,,,,,,,,,,,,
4110 Cartas de crédito," 16,980.98 "," 10,054.38 "," 5,479.77 ", 258.99 , -   , -   , 60.25 ," 65,027.27 ", -   ," 1,256.33 "," 6,068.69 ", -   , -   ," 105,186.67 ",,
4120 Avales y fianzas," 85,307.72 "," 66,564.17 "," 135,324.24 "," 17,107.54 "," 3,966.09 "," 5,732.38 "," 7,046.05 "," 58,172.87 ", -   ," 17,687.11 "," 1,759.56 ", -   ," 8,913.68 "," 407,581.42 ",,
4129 Provisión por pérdidas,"-15,912.40 ","-15,478.87 ","-4,977.19 ","-11,107.47 ",-7.68 ,"-5,732.38 ", -   ,-34.84 , -   , -   , -   , -   , -   ,"-53,250.82 ",,
4130 Operaciones con instrumentos financieros derivados," 9,281.42 ", 111.57 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 9,392.99 ",,
4180 Otras, -   , -   , -   , -   ," 2,002.40 ", -   , -   , -   , -   , -   , -   , -   , -   ," 2,002.40 ",,
,,,,,,,,,,,,,,,,
Total derechos futuros y contingencias," 95,657.73 "," 61,251.26 "," 135,826.83 "," 6,259.07 "," 5,960.81 ", -   ," 7,106.30 "," 123,165.31 ", -   ," 18,943.44 "," 7,828.25 ", -   ," 8,913.68 "," 470,912.67 ",,
,,,,,,,,,,,,,,,,
Total activos + derechos futuros y contingencias," 6,002,634.44 "," 4,189,739.01 "," 3,430,099.89 "," 2,273,092.96 "," 229,905.67 "," 492,048.05 "," 1,400,276.44 "," 3,697,116.73 "," 187,333.07 "," 751,802.36 "," 890,366.12 "," 260,671.44 "," 1,305,043.14 "," 25,110,129.32 ",,
,,,,,,,,,,,,,,,,
Pasivos,,,,,,,,,,,,,,,,
21 Pasivos," 5,139,791.22 "," 3,573,869.85 "," 2,869,963.08 "," 2,037,420.45 "," 177,382.94 "," 386,181.99 "," 1,257,701.00 "," 3,152,495.64 "," 151,163.91 "," 615,744.90 "," 772,326.90 "," 215,990.75 "," 1,158,651.00 "," 21,508,683.64 ",,
210 Pasivos financieros a valor razonable con cambios en resultados (vrcr), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
2100 Mantenidos para negociar, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
211 Pasivos financieros a costo amortizado," 4,955,347.43 "," 3,390,447.48 "," 2,626,704.71 "," 1,608,525.32 "," 176,246.64 "," 386,064.29 "," 1,210,050.15 "," 2,976,067.44 "," 142,002.22 "," 554,330.69 "," 749,167.51 "," 207,501.86 "," 966,643.87 "," 19,949,099.61 ",,
