Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,
Datos al 30 de Septiembre de 2025,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,
,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,
11 Activos," 6,733,668.97 "," 4,404,637.95 "," 3,443,502.22 "," 2,407,892.36 "," 198,141.69 "," 533,016.21 "," 1,421,151.75 "," 3,859,886.38 "," 216,771.27 "," 988,781.48 "," 949,355.11 "," 284,493.18 "," 1,372,596.25 "," 26,813,894.82 ",
1110 Disponibilidades," 1,091,742.70 "," 806,057.75 "," 482,066.33 "," 622,267.64 "," 76,999.00 "," 159,273.97 "," 249,010.31 "," 606,824.33 "," 43,012.88 "," 172,806.31 "," 124,936.52 "," 54,313.63 "," 174,698.57 "," 4,664,009.94 ",
112 Operaciones con pacto de retroventa," 5,452.39 "," 5,429.80 ", -   ," 2,135.00 ", -   , -   , -   , -   ," 8,855.61 ", -   , -   ," 5,580.32 ", 450.22 ," 27,903.35 ",
1121 Operaciones con pacto de retroventa," 5,452.39 "," 5,429.80 ", -   ," 2,135.00 ", -   , -   , -   , -   ," 8,855.61 ", -   , -   ," 5,580.32 ", 450.22 ," 27,903.35 ",
1130 A valor razonable con cambios en resultados (vrcr)," 1,176,678.80 "," 28,276.96 ", -   , -   , -   , -   , -   , -   , -   ," 4,615.62 ", -   ," 3,984.18 "," 107,578.27 "," 1,321,133.82 ",
1131 A valor razonable con cambios en otro resultado integral (vrori), -   , -   ," 203,041.38 "," 733,913.51 ", -   , -   , -   ," 381,568.42 ", -   , -   , -   , -   , -   ," 1,318,523.31 ",
1132 Derivados financieros para coberturas, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
1134 A costo amortizado," 38,067.64 "," 476,649.15 "," 265,910.22 "," 87,850.06 "," 83,550.06 "," 13,064.90 "," 126,995.75 ", -   ," 40,447.44 "," 62,635.17 "," 165,053.23 ", -   ," 139,999.02 "," 1,500,222.65 ",
1138 Instrumentos financieros restringidos, -   , -   ," 8,981.89 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 8,981.89 ",
114 Préstamos," 4,421,727.45 "," 3,088,224.28 "," 2,483,502.41 "," 961,726.13 "," 37,592.63 "," 360,677.35 "," 1,045,145.69 "," 2,871,493.63 "," 124,455.34 "," 748,724.37 "," 659,365.37 "," 220,615.05 "," 949,870.16 "," 17,973,119.85 ",
1141 Préstamos pactados hasta un año plazo," 876,136.80 "," 428,907.14 "," 359,858.74 "," 67,942.86 "," 37,592.63 "," 58,986.50 "," 372,097.01 "," 667,904.23 "," 6,116.94 "," 89,646.96 "," 110,658.02 "," 2,478.65 "," 216,171.13 "," 3,294,497.60 ",
1142 Préstamos pactados a más de un año plazo," 3,603,857.92 "," 2,704,795.48 "," 2,137,145.24 "," 908,348.62 ", -   ," 302,335.09 "," 675,501.95 "," 2,212,380.92 "," 120,829.55 "," 661,071.09 "," 552,088.87 "," 218,473.63 "," 730,337.60 "," 14,827,165.97 ",
1148 Préstamos vencidos," 44,730.67 "," 35,033.36 "," 58,180.56 "," 41,369.67 ", -   ," 8,585.25 "," 20,408.47 "," 36,871.58 "," 4,388.91 "," 1,670.66 "," 18,694.74 "," 3,718.56 "," 13,129.05 "," 286,781.49 ",
1149 Provisión para incobrabilidad de préstamos," (102,997.94)"," (80,511.69)"," (71,682.12)"," (55,935.02)", -   ," (9,229.49)"," (22,861.74)"," (45,663.11)"," (6,880.06)"," (3,664.34)"," (22,076.26)"," (4,055.80)"," (9,767.62)"," (435,325.20)",
12 Otros activos," 93,703.88 "," 71,913.78 "," 37,988.93 "," 35,298.86 "," 3,664.76 "," 9,439.87 "," 31,794.62 "," 26,761.93 "," 11,295.08 "," 7,606.08 "," 13,612.59 "," 7,373.92 "," 42,333.17 "," 392,787.47 ",
1210 Saldos entre compañías, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
1220 Bienes recibidos en pago o adjudicados," 15,956.56 "," 1,972.41 "," 6,087.20 "," 8,892.13 ", -   ," 2,982.74 "," 1,616.36 "," 1,348.71 ", 162.71 , -   ," 1,793.44 ", 592.81 ," 3,561.96 "," 44,967.04 ",
1230 Existencias," 1,199.30 ", 277.07 , 268.83 , 161.20 , -   , 338.93 , 120.23 , 361.70 , 25.33 , 23.61 , 101.25 , 22.87 , 47.72 ," 2,948.03 ",
1240 Gastos pagados por anticipado," 4,080.54 "," 8,334.80 "," 3,779.47 "," 1,326.64 ", 4.39 , 225.39 ," 8,353.76 "," 2,796.08 "," 6,929.48 ", 798.45 ," 4,002.83 "," 2,642.39 "," 3,916.25 "," 47,190.46 ",
1250 Cuentas por cobrar," 42,024.59 "," 19,481.63 "," 13,798.71 "," 16,874.97 "," 3,174.88 "," 5,984.70 "," 18,266.90 "," 13,215.47 "," 2,741.05 "," 5,400.52 "," 4,742.51 ", 449.11 ," 25,286.68 "," 171,441.71 ",
1251 Impuestos," 23,835.23 "," 23,931.43 "," 10,458.30 "," 8,140.07 ", 485.49 , 658.46 ," 5,417.40 "," 2,504.02 "," 1,436.51 "," 1,383.50 "," 3,087.05 "," 2,514.80 "," 3,853.47 "," 87,705.72 ",
1259 Estimación de pérdida por deterioro de valor," (3,528.46)"," (2,071.54)"," (2,849.50)", (210.43), -   , (750.35)," (1,980.03)", (399.17), -   , -   , (114.49), (26.24), (133.55)," (12,063.75)",
"1260 Inversiones en acciones, derechos y participaciones"," 10,136.12 "," 19,987.99 "," 6,445.92 ", 114.28 , -   , -   , -   , -   , -   , -   , -   , -   ," 5,800.64 "," 42,484.95 ",
1261 Plusvalía comprada, -   , -   , -   , -   , -   , -   , -   ," 6,935.12 ", -   , -   , -   ," 1,178.18 ", -   ," 8,113.30 ",
1270 Activos mantenidos para la venta, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
13 Activos físicos e intangibles," 130,020.05 "," 107,658.14 "," 62,248.08 "," 20,685.94 "," 2,122.17 "," 19,602.24 "," 29,649.35 "," 50,204.70 "," 9,021.48 "," 11,324.03 "," 25,170.46 "," 9,275.67 "," 25,623.19 "," 502,605.50 ",
131 Propiedades no depreciables," 29,221.87 "," 40,887.33 "," 18,846.29 "," 7,957.74 ", 247.69 ," 9,127.24 "," 3,919.10 "," 13,386.73 ", -   , 730.09 , 400.02 ," 1,648.88 "," 3,733.90 "," 130,106.87 ",
1310 Propiedades no depreciables," 29,221.87 "," 40,887.33 "," 18,846.29 "," 7,957.74 ", 247.69 ," 9,127.24 "," 3,919.10 "," 13,386.73 ", -   , 730.09 , 400.02 ," 1,648.88 "," 3,733.90 "," 130,106.87 ",
132 Propiedades y equipo depreciables," 79,556.69 "," 35,936.87 "," 28,910.88 "," 11,693.97 "," 1,874.48 "," 9,406.59 "," 16,981.62 "," 35,426.43 "," 4,180.11 "," 9,758.74 "," 7,861.65 "," 6,517.67 "," 14,656.70 "," 262,762.41 ",
1320 Depreciables," 186,166.05 "," 133,217.99 "," 87,194.47 "," 32,841.84 "," 4,641.16 "," 36,640.89 "," 46,528.21 "," 100,458.16 "," 4,862.13 "," 16,590.97 "," 19,492.66 "," 13,555.64 "," 32,571.75 "," 714,761.93 ",
1329 Depreciación y deterioro acumulada(o) (-)," (106,609.35)"," (97,281.12)"," (58,283.59)"," (21,147.87)"," (2,766.68)"," (27,234.30)"," (29,546.59)"," (65,031.73)", (682.02)," (6,832.23)"," (11,631.01)"," (7,037.97)"," (17,915.05)"," (451,999.52)",
133 Intangibles," 21,241.49 "," 30,833.94 "," 14,490.91 "," 1,034.24 ", -   ," 1,068.40 "," 8,748.63 "," 1,391.54 "," 4,841.37 ", 835.20 ," 16,908.78 "," 1,109.13 "," 7,232.60 "," 109,736.22 ",
1330 Intangibles," 44,756.09 "," 79,707.23 "," 39,265.24 "," 1,822.92 ", -   ," 4,183.04 "," 8,748.63 "," 4,045.12 "," 8,093.65 "," 4,008.03 "," 35,484.11 "," 9,730.24 "," 14,093.56 "," 253,937.86 ",
1339 Amortización y deterioro acumulada(o) (-)," (23,514.60)"," (48,873.29)"," (24,774.33)", (788.69), -   ," (3,114.64)", -   ," (2,653.58)"," (3,252.28)"," (3,172.83)"," (18,575.33)"," (8,621.12)"," (6,860.96)"," (144,201.64)",
Total Activos," 6,957,392.91 "," 4,584,209.88 "," 3,543,739.23 "," 2,463,877.15 "," 203,928.62 "," 562,058.32 "," 1,482,595.72 "," 3,936,853.01 "," 237,087.82 "," 1,007,711.58 "," 988,138.16 "," 301,142.78 "," 1,440,552.60 "," 27,709,287.79 ",
,,,,,,,,,,,,,,,
4110 Cartas de crédito," 29,486.71 "," 13,113.56 "," 16,723.30 ", 686.71 , -   , -   , 100.03 ," 88,179.67 ", -   ," 1,246.51 "," 4,000.00 ", -   , -   ," 153,536.49 ",
4120 Avales y fianzas," 75,359.91 "," 76,517.55 "," 102,997.82 "," 12,394.51 "," 3,710.32 "," 5,732.38 "," 7,009.99 "," 54,061.38 ", -   ," 14,992.63 "," 3,220.30 ", -   ," 9,303.35 "," 365,300.14 ",
4129 Provisión por pérdidas," (15,975.54)"," (14,903.46)"," (4,233.38)"," (9,206.96)", -   ," (5,732.38)", -   , (26.22), -   , -   , -   , -   , -   ," (50,077.94)",
4130 Operaciones con instrumentos financieros derivados," 8,417.08 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 8,417.08 ",
4180 Otras, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
,,,,,,,,,,,,,,,
Total derechos futuros y contingencias," 97,288.16 "," 74,727.65 "," 115,487.74 "," 3,874.26 "," 3,710.32 ", -   ," 7,110.02 "," 142,214.83 ", -   ," 16,239.13 "," 7,220.30 ", -   ," 9,303.35 "," 477,175.77 ",
,,,,,,,,,,,,,,,
Total activos + derechos futuros y contingencias," 7,054,681.07 "," 4,658,937.53 "," 3,659,226.97 "," 2,467,751.42 "," 207,638.94 "," 562,058.32 "," 1,489,705.75 "," 4,079,067.84 "," 237,087.82 "," 1,023,950.72 "," 995,358.46 "," 301,142.78 "," 1,449,855.96 "," 28,186,463.57 ",
,,,,,,,,,,,,,,,
Pasivos,,,,,,,,,,,,,,,
21 Pasivos," 6,167,589.45 "," 4,002,305.24 "," 3,101,172.06 "," 2,221,485.90 "," 159,211.57 "," 444,777.86 "," 1,341,975.30 "," 3,496,324.95 "," 197,859.41 "," 886,153.97 "," 876,810.97 "," 253,276.45 "," 1,295,146.34 "," 24,444,089.47 ",
210 Pasivos financieros a valor razonable con cambios en resultados (vrcr), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
2100 Mantenidos para negociar, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
211 Pasivos financieros a costo amortizado," 6,101,216.28 "," 3,856,634.76 "," 2,943,611.60 "," 1,793,145.75 "," 158,239.84 "," 444,744.03 "," 1,301,307.04 "," 3,359,560.88 "," 190,418.43 "," 832,730.18 "," 860,034.20 "," 243,661.06 "," 1,194,944.28 "," 23,280,248.32 ",
2110 Depósitos a la vista," 4,318,749.97 "," 2,431,244.19 "," 1,581,853.25 "," 793,108.19 "," 136,501.88 "," 291,152.97 "," 620,309.77 "," 1,987,200.86 "," 24,191.78 "," 286,741.16 "," 233,875.09 "," 70,210.69 "," 443,388.79 "," 13,218,528.58 ",
