Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,,
Datos al 31 de Octubre de 2020,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco Cuscatlán Sv, S.A.  1/","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,,
11 Activos de intermediación,"4,930,992.62","1,656,266.79","2,799,517.19","1,273,100.25","310,437.45","386,073.49","429,625.47","1,235,498.84","1,790,126.91","2,718,583.91","70,871.98","406,361.32","498,760.31","700,217.02","19,206,433.55"
1110 Fondos disponibles,"874,189.26","359,508.96","406,123.25","273,339.66","130,604.47","112,164.64","77,240.12","272,740.18","317,871.84","533,178.56","17,787.96","71,608.92","59,914.91","105,604.51","3,611,877.25"
112 Adquisición temporal de documentos,"17,180.14",0.00,0.00,"2,862.45",0.00,120.26,"1,177.72",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"21,340.57"
1121 Documentos adquiridos hasta un año plazo,"17,180.14",0.00,0.00,"2,862.45",0.00,120.26,"1,177.72",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"21,340.57"
1128 Documentos vencidos,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1129 Provisión por pérdidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
113 Inversiones financieras,"736,780.92","205,922.68","433,160.35","152,017.09","166,143.50","8,923.32","90,486.60","149,400.24","143,525.98","282,939.95","8,420.65","114,579.86","74,432.85","100,798.15","2,667,532.12"
1130 Titulos valores conservados para negociación,0.00,0.00,0.00,"145,334.06","14,920.15",0.00,"3,401.90",0.00,0.00,0.00,"1,598.21",182.19,"3,000.00",0.00,"168,436.51"
1131 Titulos valores para conservarse hasta el vencimiento,"11,462.61","1,502.51","25,145.54","2,147.11",0.00,"8,923.32","87,084.70",0.00,"2,276.49",0.00,0.00,"97,224.06","17,677.29","98,487.28","351,930.92"
1132 Titulos valores disponibles para venta,"725,330.75","204,420.17","408,014.80","4,535.92","151,223.35",0.00,0.00,"149,400.24","141,249.48","282,939.95","6,822.44","17,173.61","53,755.56","2,310.88","2,147,177.14"
1138 Inversiones vencidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1139 Provisión para valuacion de inversiones,-12.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-12.44
114 Préstamos,"3,302,842.29","1,090,835.15","1,960,233.59","844,881.05","13,689.48","264,865.27","260,721.02","813,358.42","1,328,729.10","1,902,465.40","44,663.38","220,172.55","364,412.55","493,814.35","12,905,683.60"
1141 Préstamos pactados hasta un año plazo,"545,601.86","149,440.62","308,059.11","99,818.84","13,740.91","39,601.96","52,293.89","221,573.91","62,005.07","476,218.33","1,011.67","25,346.33","49,516.12","54,543.66","2,098,772.26"
1142 Préstamos pactados a mas de un año plazo,"2,839,941.85","957,231.20","1,690,566.44","755,606.54",0.00,"227,183.11","213,859.38","606,271.30","1,273,713.13","1,442,452.93","44,604.26","196,325.15","318,575.83","440,144.71","11,006,475.85"
1148 Préstamos vencidos,"39,428.88","16,919.70","35,024.77","9,884.87",0.00,"9,050.24","3,574.74","12,301.76","35,986.05","26,244.52","1,832.57","1,890.09","1,635.68","3,161.24","196,935.11"
1149 Provisión para incobrabilidad de préstamos,"-122,130.30","-32,756.37","-73,416.73","-20,429.20",-51.43,"-10,970.05","-9,006.98","-26,788.56","-42,975.15","-42,450.39","-2,785.12","-3,389.02","-5,315.08","-4,035.26","-396,499.62"
12 Otros activos,"157,101.06","51,873.29","64,714.47","21,988.39","1,134.40","13,849.34","7,476.27","54,203.49","60,357.71","29,891.00","7,866.49","2,139.22","19,708.18","14,175.66","506,478.97"
1210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1220 Bienes recibidos en pago o adjudicados,"39,573.05",278.95,"11,977.36","14,034.97",0.00,"5,434.91","1,937.29","12,223.42","6,098.20","9,612.84",0.00,0.00,379.80,"5,327.56","106,878.34"
1230 Existencias,535.35,332.21,498.39,42.77,0.00,325.93,73.07,325.62,218.30,421.54,0.00,45.00,25.13,17.00,"2,860.29"
1240 Gastos pagados por anticipado y cargos diferidos,"46,852.54","22,923.88","39,668.92","2,943.81",531.60,"1,980.57","4,123.23","14,548.91","21,338.03","9,978.77","5,054.72","1,382.48","17,114.34","2,977.49","191,419.29"
1250 Cuentas por cobrar,"61,972.14","16,367.22","8,225.13","4,933.56",602.80,"6,895.55",660.07,"27,205.54","16,977.47","10,243.02","2,811.77",711.74,"2,208.17","5,951.09","165,765.29"
1259 Provisión de incobrabilidad de cuentas por cobrar,"-1,898.60",-664.06,"-1,650.60",-81.00,0.00,-787.62,-105.56,-100.00,"-1,764.17",-365.17,0.00,0.00,-19.25,-97.48,"-7,533.52"
1260 derechos y participaciones,"10,066.57","12,635.11","5,995.27",114.28,0.00,0.00,788.17,0.00,"17,489.88",0.00,0.00,0.00,0.00,0.00,"47,089.27"
13 Activo fijo,"91,248.01","68,778.51","47,426.04","16,408.77","1,265.97","18,762.12","5,513.84","17,356.34","30,187.15","29,280.88","2,885.02","1,021.12","1,889.75","11,330.70","343,354.23"
1310 No depreciables,"30,657.30","22,764.54","22,136.34","8,470.21",247.69,"9,032.61","3,486.79","1,850.69","20,172.31","4,266.26",0.00,140.25,51.87,"6,872.55","130,149.41"
1320 depreciables,"157,025.66","55,308.18","62,234.95","22,594.01","2,586.90","32,645.54","6,339.74","33,254.54","60,840.94","46,005.54","10,940.59","3,004.09","5,293.87","18,039.69","516,114.24"
1329 depreciación acumulada,"-98,226.84","-37,239.63","-41,975.13","-15,872.43","-1,625.92","-23,821.55","-4,417.61","-19,431.29","-50,842.97","-24,474.49","-9,078.32","-2,602.68","-4,574.22","-15,044.03","-349,227.12"
1330 Amortizables,"1,791.88","27,945.42","5,029.88","1,216.99",57.31,905.52,104.92,"1,682.41",16.86,"3,483.58","1,022.75",479.47,"1,118.22","1,462.50","46,317.70"
Total Activos,"5,179,341.68","1,776,918.60","2,911,657.70","1,311,497.41","312,837.81","418,684.94","442,615.58","1,307,058.67","1,880,671.78","2,777,755.79","81,623.50","409,521.67","520,358.24","725,723.38","20,056,266.74"
 ,,,,,,,,,,,,,,,
4110 Cartas de crédito,"17,906.11","10,785.28","7,914.90",36.28,2.50,0.00,"6,768.97",0.00,"1,825.01","19,457.06",0.00,185.93,0.00,0.00,"64,882.04"
4119 Provisión por pérdidas,0.00,-3.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.04
4120 Contingencias por avales y fianzas,"114,865.78","40,789.33","78,295.38","15,488.03","10,043.35","6,380.00","4,405.76","10,298.13","99,013.73","69,664.75",0.00,"17,621.88",0.00,"3,073.67","469,939.80"
4129 Provisión por pérdidas,"-15,717.66","-13,526.02","-9,754.70","-5,822.20",-37.72,"-5,178.73",0.00,0.00,"-2,106.96",-656.08,0.00,-3.98,0.00,0.00,"-52,804.05"
4131 derechos por operaciones en moneda extranjera,0.00,0.00,0.00,0.00,525.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,525.50
4139 Prov. pérdidas en derechos por operac. en mon. extran.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,,,,,,,,,,,,,,,
Total derechos futuros y contingencias,"117,054.24","38,045.55","76,455.59","9,702.11","10,533.63","1,201.27","11,174.73","10,298.13","98,731.78","88,465.73",0.00,"17,803.83",0.00,"3,073.67","482,540.26"
 ,,,,,,,,,,,,,,,
Total activos + derechos futuros y contingencias,"5,296,395.92","1,814,964.15","2,988,113.29","1,321,199.51","323,371.45","419,886.21","453,790.31","1,317,356.80","1,979,403.56","2,866,221.52","81,623.50","427,325.50","520,358.24","728,797.05","20,538,807.00"
 ,,,,,,,,,,,,,,,
Pasivos ,,,,,,,,,,,,,,,
21 Pasivos de intermediación,"4,496,738.24","1,515,662.70","2,539,396.20","1,158,571.77","264,786.30","335,492.76","379,284.36","1,132,328.77","1,621,109.30","2,451,190.04","51,212.47","351,769.89","464,211.72","647,698.88","17,409,453.39"
211 depósitos,"3,925,342.01","1,304,383.69","2,002,300.84","1,018,349.38","262,145.72","322,201.33","336,951.61","999,038.76","1,404,309.16","2,087,114.54","51,152.07","293,903.06","322,325.80","472,360.17","14,801,878.15"
2110 depósitos a la vista,"2,845,282.93","931,219.16","1,090,762.01","490,943.17","222,098.37","194,626.85","175,786.55","504,111.93","649,063.30","1,385,575.13","11,574.02","118,970.11","111,533.14","191,745.12","8,923,291.78"
211001 depósitos en cuenta corriente,"1,105,865.32","516,934.84","520,842.86","248,570.45","197,391.54","42,552.68","125,194.49","312,213.51","232,987.83","892,751.68","11,574.02","35,725.92","74,074.55","128,299.62","4,444,979.32"
211002 depósitos de ahorro,"1,738,501.29","414,284.32","569,591.22","242,370.92","24,706.82","152,074.17","50,592.06","191,898.41","416,075.47","492,823.45",0.00,"83,244.19","37,455.95","63,445.50","4,477,063.76"
211003 depósitos en cuenta de ahorro simplificada,916.32,0.00,327.94,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.64,0.00,"1,248.70"
2111 depósitos pactados hasta un año plazo,"921,387.43","345,506.95","700,668.47","473,269.44","37,516.08","120,968.24","156,397.28","465,052.92","701,996.24","637,421.98","34,268.53","169,403.16","186,285.03","252,274.74","5,202,416.48"
2112 depósitos pactados a mas de un año plazo,"83,472.94",745.17,"154,280.77","34,816.12",0.00,225.65,0.00,"2,149.75","3,839.59","44,389.87",0.00,185.68,"19,818.77","21,005.99","364,930.30"
2114 depósitos restringidos e inactivos,"75,198.72","26,912.41","56,589.59","19,320.65","2,531.28","6,380.60","4,767.78","27,724.17","49,410.02","19,727.56","5,309.52","5,344.11","4,688.86","7,334.32","311,239.59"
212 Préstamos,"328,677.13","132,884.43","315,575.44","108,974.36",0.00,"12,688.39","16,279.91","128,639.89","116,281.27","187,020.22",0.00,"56,546.56","75,152.53","100,816.18","1,579,536.31"
2121 Préstamos pactados hasta un año plazo,"40,517.29","15,238.47","151,253.66","24,667.01",0.00,13.02,"8,010.37","23,403.91",402.18,"119,215.87",0.00,"11,988.56","2,473.90","5,031.98","402,216.23"
2122 Préstamos pactados a mas de un año plazo,"48,796.31",80.90,"10,552.03","63,921.46",0.00,"12,639.38","8,269.54","41,716.77","93,879.09","67,804.35",0.00,"44,558.00","57,440.61","70,510.34","520,168.79"
2123 Préstamos pactados a cinco o mas años plazo,"239,363.53","117,565.06","153,769.75","20,385.89",0.00,35.98,0.00,"63,519.21","22,000.00",0.00,0.00,0.00,"15,238.02","25,273.86","657,151.30"
2130 Obligaciones a la vista,"30,598.95","15,724.21","16,559.33","31,248.03","2,640.58",603.04,827.43,"4,650.11","4,974.41","21,229.53",30.08,"1,320.27","4,547.52","1,044.05","135,997.54"
214 Títulos de emisión propia,"212,120.14","62,670.38","204,960.59",0.00,0.00,0.00,"25,225.41",0.00,"95,544.45","155,825.75",0.00,0.00,"59,185.86","73,478.48","889,011.06"
