Superintendencia del Sistema Financiero,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,
Datos al 31 de Octubre de 2022,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,
11 Activos de intermediación,"5,467,152.40","3,710,188.82","2,876,734.95","1,732,538.64","200,297.62","437,147.38",0.00,"1,264,476.60","3,044,430.10","139,605.16","534,173.81","784,527.92","945,469.66","21,136,743.06"
1110 Fondos disponibles,"827,786.85","576,120.05","384,144.92","247,215.10","94,876.35","127,677.91",0.00,"197,769.33","462,105.89","14,887.40","74,652.35","87,354.48","129,730.94","3,224,321.55"
112 Adquisición temporal de documentos,"5,962.07","8,615.63",0.00,0.00,0.00,125.79,0.00,"6,100.00",0.00,"2,000.00",0.00,0.00,"1,385.00","24,188.50"
1121 Documentos adquiridos hasta un año plazo,"5,962.07","8,615.63",0.00,0.00,0.00,125.79,0.00,"6,100.00",0.00,"2,000.00",0.00,0.00,"1,385.00","24,188.50"
1128 Documentos vencidos,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1129 Provisión por pérdidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
113 Inversiones financieras,"800,461.41","470,501.55","328,397.04","398,658.15","73,590.31","16,757.77",0.00,"182,269.19","374,898.85","14,466.01","55,960.59","103,022.83","129,362.07","2,948,345.76"
1130 Titulos valores conservados para negociación,"19,393.56",0.00,0.00,"396,424.13",0.00,0.00,0.00,0.00,0.00,0.00,226.87,"13,800.00","12,900.00","442,744.57"
1131 Titulos valores para conservarse hasta el vencimiento,"101,336.88",0.00,"8,025.52","2,148.09",0.00,"16,757.77",0.00,0.00,0.00,0.00,"38,615.85","31,939.89","116,462.07","315,286.07"
1132 Titulos valores disponibles para venta,"679,730.97","470,501.55","320,371.52",85.93,"73,590.31",0.00,0.00,"182,269.19","374,898.85","14,466.01","17,117.87","57,282.94",0.00,"2,190,315.13"
1134 Instrumentos financieros para cobertura,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1138 Inversiones vencidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1139 Provisión para valuacion de inversiones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
114 Préstamos,"3,832,942.07","2,654,951.59","2,164,192.99","1,086,665.39","31,830.97","292,585.91",0.00,"878,338.07","2,207,425.36","108,251.76","403,560.87","594,150.61","684,991.65","14,939,887.25"
1141 Préstamos pactados hasta un año plazo,"697,833.42","371,901.86","312,422.53","94,782.12","31,839.00","39,171.90",0.00,"273,989.60","406,313.98","4,080.23","53,369.17","107,298.37","97,020.64","2,490,022.82"
1142 Préstamos pactados a mas de un año plazo,"3,199,318.25","2,313,116.78","1,867,602.39","1,002,636.43",0.00,"254,544.29",0.00,"606,011.74","1,816,183.92","107,539.42","351,580.36","482,448.20","587,477.50","12,588,459.28"
1148 Préstamos vencidos,"44,599.70","82,278.83","43,559.67","23,032.72",0.00,"8,304.33",0.00,"26,162.40","31,083.67","10,730.20","1,977.31","25,221.10","10,331.81","307,281.74"
1149 Provisión para incobrabilidad de préstamos,"-108,809.30","-112,345.89","-59,391.60","-33,785.88",-8.03,"-9,434.61",0.00,"-27,825.67","-46,156.22","-14,098.09","-3,365.97","-20,817.06","-9,838.29","-445,876.60"
12 Otros activos,"129,837.27","101,501.42","57,118.54","23,357.74","1,774.93","10,998.81",0.00,"35,568.42","22,953.36","9,902.40","3,592.81","37,909.49","27,781.71","462,296.89"
1210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1220 Bienes recibidos en pago o adjudicados,"29,257.70","1,908.17","9,156.25","12,098.47",0.00,"4,774.81",0.00,"5,377.06","5,263.58",0.00,0.00,"3,186.25","3,821.23","74,843.51"
1230 Existencias,"1,160.01",237.36,260.25,166.99,0.00,330.84,0.00,182.93,274.02,0.00,54.17,21.74,37.65,"2,725.96"
1240 Gastos pagados por anticipado y cargos diferidos,"50,810.37","40,609.71","31,842.27","4,018.42",548.94,903.77,0.00,"15,457.15","10,479.47","7,468.75","1,649.84","24,088.21","7,335.35","195,212.26"
1250 Cuentas por cobrar,"41,316.54","29,179.78","11,434.54","7,072.27","1,225.99","5,766.56",0.00,"14,561.43","7,306.39","2,433.64","1,888.80","10,792.05","15,466.43","148,444.41"
1259 Provisión de incobrabilidad de cuentas por cobrar,"-3,512.89","-2,168.65","-1,683.02",-112.70,0.00,-777.16,0.00,-10.15,-370.10,0.00,0.00,-178.76,-146.70,"-8,960.12"
1260 derechos y participaciones,"10,805.54","31,735.06","6,108.24",114.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,267.75","50,030.87"
13 Activo fijo,"83,666.05","109,481.56","42,421.88","15,525.09",953.90,"20,196.00",0.00,"16,563.39","34,494.55","2,479.21","1,981.96","6,822.33","8,143.31","342,729.24"
1310 No depreciables,"30,612.98","41,501.19","18,961.06","8,117.37",247.69,"8,641.37",0.00,"3,214.22","8,845.30",0.00,730.09,"3,875.86","4,896.19","129,643.32"
1320 depreciables,"131,917.85","110,204.26","64,877.51","22,278.20","1,674.48","36,666.73",0.00,"34,299.06","50,722.42","11,117.48","3,665.86","11,679.77","15,763.16","494,866.78"
1329 depreciación acumulada,"-80,019.71","-86,323.06","-45,336.98","-16,293.72","-1,053.14","-25,893.78",0.00,"-22,453.70","-29,810.31","-10,386.95","-2,802.02","-9,844.58","-12,716.13","-342,934.09"
1330 Amortizables,"1,154.92","44,099.17","3,920.30","1,423.23",84.88,781.68,0.00,"1,503.82","4,737.14","1,748.68",388.03,"1,111.28",200.10,"61,153.23"
Total Activos,"5,680,655.72","3,921,171.79","2,976,275.37","1,771,421.47","203,026.45","468,342.19",0.00,"1,316,608.40","3,101,878.01","151,986.77","539,748.57","829,259.74","981,394.68","21,941,769.19"
 ,,,,,,,,,,,,,,
4110 Cartas de crédito,"14,993.87","19,252.04","15,095.82","1,267.56",0.00,0.00,0.00,0.00,"30,890.07",0.00,"1,213.17","4,408.96",0.00,"87,121.48"
4119 Provisión por pérdidas,-5.43,-27.50,0.00,-0.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-33.91
4120 Contingencias por avales y fianzas,"83,029.11","93,139.20","97,807.04","16,018.31","5,341.35","5,717.66",0.00,"11,860.62","104,446.23",0.00,"16,129.99","1,874.57","12,458.89","447,822.98"
4129 Provisión por pérdidas,"-15,489.53","-15,772.71","-4,624.91","-7,034.57",-8.96,"-5,600.03",0.00,0.00,-88.62,0.00,0.00,0.00,0.00,"-48,619.34"
4131 derechos por operaciones en moneda extranjera,"23,282.99",450.04,0.00,0.00,92.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"23,825.20"
4139 Prov. pérdidas en derechos por operac. en mon. extran.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,,,,,,,,,,,,,,
Total derechos futuros y contingencias,"105,811.02","97,041.07","108,277.95","10,250.32","5,424.55",117.63,0.00,"11,860.62","135,247.68",0.00,"17,343.15","6,283.53","12,458.89","510,116.42"
 ,,,,,,,,,,,,,,
Total activos + derechos futuros y contingencias,"5,786,466.75","4,018,212.87","3,084,553.32","1,781,671.79","208,451.01","468,459.82",0.00,"1,328,469.03","3,237,125.69","151,986.77","557,091.73","835,543.28","993,853.57","22,451,885.60"
 ,,,,,,,,,,,,,,
Pasivos ,,,,,,,,,,,,,,
21 Pasivos de intermediación,"4,844,207.59","3,404,489.13","2,575,107.99","1,580,027.12","159,069.75","374,736.23",0.00,"1,131,938.36","2,744,818.73","117,329.46","432,904.26","699,163.40","867,101.43","18,930,893.46"
211 depósitos,"4,194,293.26","2,927,892.34","2,151,431.66","1,454,424.09","157,046.62","362,232.69",0.00,"978,737.94","2,420,678.43","103,243.12","364,972.53","531,420.74","565,789.17","16,212,162.58"
2110 depósitos a la vista,"3,241,707.10","1,959,039.40","1,244,217.49","661,890.23","155,757.90","246,141.22",0.00,"576,869.16","1,666,331.54","12,191.80","163,562.63","180,993.08","286,873.82","10,395,575.37"
211001 depósitos en cuenta corriente,"1,034,397.97","892,228.34","564,836.76","353,981.55","152,398.00","55,070.05",0.00,"335,577.61","1,102,755.95","12,179.85","70,335.72","130,463.40","207,733.29","4,911,958.48"
211002 depósitos de ahorro,"2,205,289.55","1,066,811.06","678,832.49","307,908.68","3,359.90","191,071.17",0.00,"241,291.55","563,575.60",0.00,"93,226.90","50,524.97","79,140.53","5,481,032.41"
211003 depósitos en cuenta de ahorro simplificada,"2,019.59",0.00,548.24,0.00,0.00,0.00,0.00,0.00,0.00,11.95,0.00,4.71,0.00,"2,584.49"
2111 depósitos pactados hasta un año plazo,"811,949.95","883,442.51","791,533.91","721,187.11",0.00,"105,295.13",0.00,"343,581.96","672,825.14","87,354.13","194,803.52","317,298.29","246,725.98","5,175,997.63"
2112 depósitos pactados a mas de un año plazo,"74,126.21","18,983.25","67,071.23","51,264.14",0.00,198.01,0.00,"31,799.07","46,794.94",0.00,"2,398.72","22,863.07","21,602.61","337,101.25"
2114 depósitos restringidos e inactivos,"66,509.99","66,427.18","48,609.02","20,082.61","1,288.72","10,598.33",0.00,"26,487.76","34,726.81","3,697.19","4,207.66","10,266.30","10,586.76","303,488.33"
212 Préstamos,"502,505.57","291,225.22","183,622.69","81,015.78",0.00,"12,354.33",0.00,"121,902.99","183,001.28","6,045.75","46,845.11","89,564.10","152,290.25","1,670,373.06"
2121 Préstamos pactados hasta un año plazo,"169,676.36","70,233.59","57,635.93","7,010.17",0.00,16.20,0.00,"7,604.31","76,731.52","3,017.75","32,275.37","1,394.54","12,107.93","437,703.68"
2122 Préstamos pactados a mas de un año plazo,"75,848.42","23,688.34","5,157.30","63,181.11",0.00,"5,611.01",0.00,"21,026.50","106,269.76","3,028.00","14,569.74","65,396.54","101,666.31","485,443.02"
2123 Préstamos pactados a cinco o mas años plazo,"256,980.78","197,303.29","120,829.46","10,824.51",0.00,"6,727.12",0.00,"93,272.18",0.00,0.00,0.00,"22,773.01","38,516.01","747,226.36"
2130 Obligaciones a la vista,"22,269.64","24,986.42","13,753.86","31,571.57","2,023.13",149.21,0.00,"8,099.57","30,375.59",465.71,"2,271.04","4,120.94","2,515.34","142,602.02"
214 Títulos de emisión propia,"125,139.12","160,385.15","226,299.79",0.00,0.00,0.00,0.00,"23,197.86","110,763.43","7,574.88","18,815.59","60,257.63","133,606.66","866,040.12"
2141 Títulos de emisión propia pactados hasta un año plazo.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"6,571.50","2,617.61",0.00,"12,573.20","21,762.32"
2142 Pactados a mas de un año plazo,"125,139.12","160,385.15","226,299.79",0.00,0.00,0.00,0.00,"23,197.86","110,763.43","1,003.38","16,197.98","60,257.63","121,033.46","844,277.80"
215 Documentos transados,0.00,0.00,0.00,"13,015.68",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"13,800.00","12,900.00","39,715.68"
