Superintendencia del Sistema Financiero,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,
Datos al 31 de Octubre de 2023,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,
,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,
11 Activos de intermediación,"5,521,573.86","3,801,986.61","2,999,466.61","2,229,538.85","227,328.35","443,302.65","1,327,460.42","3,201,567.87","154,949.19","648,968.03","825,388.29","1,155,239.33","22,536,770.06"
1110 Fondos disponibles,"841,860.61","543,871.00","390,244.90","308,113.73","105,748.21","118,526.24","209,128.58","426,861.43","16,965.82","94,881.72","95,992.80","137,926.41","3,290,121.46"
112 Adquisición temporal de documentos,"1,974.09",0.00,0.00,"1,529.10",0.00,584.94,"1,500.00",0.00,"1,440.55",0.00,0.00,0.00,"7,028.69"
1121 Documentos adquiridos hasta un año plazo,"1,974.09",0.00,0.00,"1,529.10",0.00,584.94,"1,500.00",0.00,"1,440.55",0.00,0.00,0.00,"7,028.69"
1128 Documentos vencidos,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1129 Provisión por pérdidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
113 Inversiones financieras,"858,061.84","482,020.98","384,774.21","905,164.31","94,948.58","13,664.07","174,714.31","338,974.03","10,539.96","64,269.54","116,227.97","221,955.29","3,665,315.08"
1130 Titulos valores conservados para negociación,"149,387.75",0.00,"1,353.27","902,859.24",0.00,0.00,0.00,0.00,0.00,105.27,"2,500.00",0.00,"1,056,205.52"
1131 Titulos valores para conservarse hasta el vencimiento,"89,299.02",0.00,"8,000.21","2,148.67",0.00,"13,664.07",0.00,0.00,0.00,"47,075.72",886.61,"221,955.29","383,029.58"
1132 Titulos valores disponibles para venta,"619,375.07","482,020.98","375,420.73",156.40,"94,948.58",0.00,"174,714.31","338,974.03","10,539.96","17,088.56","112,841.36",0.00,"2,226,079.98"
1134 Instrumentos financieros para cobertura,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1138 Inversiones vencidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1139 Provisión para valuacion de inversiones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
114 Préstamos,"3,819,677.32","2,776,094.63","2,224,447.50","1,014,731.71","26,631.57","310,527.39","942,117.53","2,435,732.40","126,002.86","489,816.77","613,167.51","795,357.63","15,574,304.83"
1141 Préstamos pactados hasta un año plazo,"608,087.55","356,297.89","326,712.31","73,460.69","26,685.85","44,214.75","299,793.99","506,438.70","3,504.67","67,962.57","97,907.93","113,225.61","2,524,292.50"
1142 Préstamos pactados a mas de un año plazo,"3,276,771.27","2,458,274.40","1,912,617.99","952,838.80",0.00,"266,506.44","645,967.25","1,942,215.23","120,398.48","423,555.41","518,651.65","684,429.24","13,202,226.15"
1148 Préstamos vencidos,"47,689.01","79,975.49","47,622.25","22,335.01",0.00,"9,592.49","20,202.78","39,230.61","23,372.72","1,611.95","22,478.59","3,334.63","317,445.53"
1149 Provisión para incobrabilidad de préstamos,"-112,870.51","-118,453.14","-62,505.04","-33,902.79",-54.28,"-9,786.29","-23,846.49","-52,152.14","-21,273.01","-3,313.16","-25,870.65","-5,631.85","-469,659.35"
12 Otros activos,"137,197.57","91,858.17","48,647.36","36,740.47","1,836.24","12,253.17","35,813.89","19,042.74","14,095.65","3,558.11","31,159.82","29,939.49","462,142.69"
1210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1220 Bienes recibidos en pago o adjudicados,"20,179.53","1,197.46","7,775.30","12,369.09",0.00,"5,027.84","3,251.31","3,102.83",0.00,0.00,"3,351.51","2,585.80","58,840.68"
1230 Existencias,920.10,254.22,512.49,157.73,0.00,355.51,117.70,245.42,0.00,42.80,97.85,34.23,"2,738.06"
1240 Gastos pagados por anticipado y cargos diferidos,"46,691.37","37,395.97","27,019.15","6,076.74",482.00,"1,050.45","15,492.57","10,838.45","9,324.76","1,834.93","24,578.07","10,093.48","190,877.93"
1250 Cuentas por cobrar,"60,835.78","23,971.38","9,407.57","18,118.79","1,354.24","6,496.35","17,627.32","5,208.25","4,770.89","1,680.37","3,359.48","15,894.45","168,724.88"
1259 Provisión de incobrabilidad de cuentas por cobrar,"-2,483.91","-2,328.88","-2,230.66",-96.15,0.00,-676.98,-675.01,-352.21,0.00,0.00,-227.09,-89.15,"-9,160.04"
1260 derechos y participaciones,"11,054.71","31,368.02","6,163.49",114.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,420.68","50,121.18"
13 Activo fijo,"81,036.75","111,068.94","44,377.01","15,760.66","1,542.93","19,460.21","18,021.02","42,838.62","1,872.49","2,079.61","3,549.52","10,210.44","351,818.19"
1310 No depreciables,"29,880.12","41,231.84","21,052.41","7,961.42",247.69,"8,736.99","3,556.63","11,602.93",0.00,730.09,608.96,"6,408.77","132,017.85"
1320 depreciables,"127,669.60","109,836.07","67,064.94","24,189.72","2,587.16","34,959.20","36,972.28","58,230.97","10,805.91","3,807.46","9,869.31","16,217.24","502,209.88"
1329 depreciación acumulada,"-77,423.38","-87,710.32","-47,014.98","-17,463.26","-1,397.32","-24,940.52","-24,095.74","-34,785.50","-10,409.68","-2,882.46","-9,195.57","-12,788.42","-350,107.16"
1330 Amortizables,910.40,"47,711.35","3,274.65","1,072.78",105.39,704.54,"1,587.86","7,790.22","1,476.26",424.53,"2,266.82",372.84,"67,697.62"
Total Activos,"5,739,808.18","4,004,913.72","3,092,490.98","2,282,039.98","230,707.52","475,016.04","1,381,295.33","3,263,449.23","170,917.33","654,605.75","860,097.63","1,195,389.25","23,350,730.95"
 ,,,,,,,,,,,,,
4110 Cartas de crédito,"9,121.66","28,558.45","11,794.02",974.27,0.00,0.00,0.00,"57,647.44",0.00,"1,308.53","2,540.56",0.00,"111,944.92"
4119 Provisión por pérdidas,-41.85,0.00,0.00,-0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-42.38
4120 Contingencias por avales y fianzas,"95,446.19","76,748.87","128,004.45","24,266.09","5,454.08","5,714.13","6,669.88","63,331.83",0.00,"19,755.66","1,935.10","8,262.20","435,588.49"
4129 Provisión por pérdidas,"-15,909.59","-15,924.36","-4,802.78","-9,444.12",-33.67,"-5,714.13",0.00,-87.27,0.00,0.00,0.00,0.00,"-51,915.91"
4131 derechos por operaciones en moneda extranjera,"8,249.67",0.00,0.00,0.00,794.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"9,044.43"
4139 Prov. pérdidas en derechos por operac. en mon. extran.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,,,,,,,,,,,,,
Total derechos futuros y contingencias,"96,866.09","89,382.96","134,995.70","15,795.71","6,215.17",0.00,"6,669.88","120,891.99",0.00,"21,064.19","4,475.66","8,262.20","504,619.55"
 ,,,,,,,,,,,,,
Total activos + derechos futuros y contingencias,"5,836,674.27","4,094,296.69","3,227,486.68","2,297,835.68","236,922.69","475,016.04","1,387,965.21","3,384,341.22","170,917.33","675,669.94","864,573.29","1,203,651.46","23,855,350.50"
 ,,,,,,,,,,,,,
Pasivos ,,,,,,,,,,,,,
21 Pasivos de intermediación,"4,893,491.49","3,456,562.54","2,679,808.31","2,065,944.03","190,462.28","372,561.84","1,208,414.69","2,873,823.69","136,043.39","538,338.91","731,084.09","1,077,797.88","20,224,333.15"
211 depósitos,"4,156,709.34","2,966,722.47","2,275,755.00","1,723,451.30","188,142.49","353,253.69","1,034,115.54","2,441,124.86","120,993.72","416,259.81","568,180.56","733,144.16","16,977,852.94"
2110 depósitos a la vista,"3,160,514.86","1,937,385.58","1,248,080.56","622,607.02","185,295.78","238,885.72","560,170.88","1,590,361.67","16,941.81","191,837.36","202,588.22","285,583.43","10,240,252.89"
211001 depósitos en cuenta corriente,"945,006.07","824,180.31","504,009.17","323,553.11","167,380.54","46,570.21","329,940.98","1,002,164.18","16,877.51","76,204.86","149,728.69","204,138.67","4,589,754.30"
211002 depósitos de ahorro,"2,213,444.30","1,113,205.28","743,246.54","299,053.91","17,915.25","192,315.50","230,229.89","588,197.49",0.00,"115,632.50","52,854.22","81,444.76","5,647,539.62"
211003 depósitos en cuenta de ahorro simplificada,"2,064.49",0.00,824.86,0.00,0.00,0.00,0.00,0.00,64.30,0.00,5.32,0.00,"2,958.97"
2111 depósitos pactados hasta un año plazo,"832,987.00","935,329.24","876,767.91","886,425.85","1,002.37","103,770.76","413,537.97","779,484.80","87,900.88","217,580.67","335,348.37","300,153.34","5,770,289.16"
2112 depósitos pactados a mas de un año plazo,"92,915.42","29,964.96","98,166.20","189,913.31",0.00,168.95,"33,084.29","53,546.64","12,952.97","3,003.43","22,080.79","137,953.01","673,749.97"
2114 depósitos restringidos e inactivos,"70,292.07","64,042.69","52,740.33","24,505.12","1,844.34","10,428.27","27,322.41","17,731.74","3,198.06","3,838.35","8,163.18","9,454.38","293,560.91"
212 Préstamos,"519,974.03","262,981.97","159,017.85","82,529.96",0.00,"19,028.78","123,685.74","241,971.19","10,083.84","53,981.47","102,424.16","141,742.27","1,717,421.25"
2121 Préstamos pactados hasta un año plazo,"143,974.99","53,951.64","58,288.41","15,394.73",0.00,16.20,"22,597.22","142,400.07","1,948.62","24,305.12","6,189.90","13,214.66","482,281.55"
2122 Préstamos pactados a mas de un año plazo,"113,797.51","24,665.81","4,619.13","59,923.06",0.00,"4,003.47","21,901.62","99,571.11","3,028.00","29,676.36","53,044.85","84,059.65","498,290.57"
2123 Préstamos pactados a cinco o mas años plazo,"262,201.53","184,364.52","96,110.30","7,212.16",0.00,"15,009.10","79,186.90",0.00,"5,107.22",0.00,"43,189.42","44,467.96","736,849.13"
2130 Obligaciones a la vista,"20,531.50","22,777.29","11,956.81","30,681.05","2,319.79",279.37,"7,461.92","17,433.77",200.99,"3,096.39","3,038.54","1,511.45","121,288.89"
214 Títulos de emisión propia,"196,276.62","204,080.81","231,725.38","227,778.62",0.00,0.00,"43,151.48","173,293.87","4,764.85","65,001.24","54,940.83","201,400.01","1,402,413.70"
2141 Títulos de emisión propia pactados hasta un año plazo.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"33,157.04","3,761.47","7,876.28",0.00,"24,788.99","69,583.77"
2142 Pactados a mas de un año plazo,"196,276.62","204,080.81","231,725.38","227,778.62",0.00,0.00,"43,151.48","140,136.83","1,003.38","57,124.96","54,940.83","176,611.03","1,332,829.92"
215 Documentos transados,0.00,0.00,"1,353.27","1,503.11",0.00,0.00,0.00,0.00,0.00,0.00,"2,500.00",0.00,"5,356.38"
2151 Documentos transados hasta un año plazo,0.00,0.00,"1,353.27","1,503.11",0.00,0.00,0.00,0.00,0.00,0.00,"2,500.00",0.00,"5,356.38"
216 Cheques y otros valores por aplicar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2160 Cheques y otros valores por aplicar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
217 Instrumentos financieros a valor razonable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
