Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,,
Datos al 31 de octubre de 2024,,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,,
,,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,,
11 Activos," 5,654,136.68 "," 3,958,562.19 "," 3,236,875.63 "," 2,184,922.53 "," 230,047.65 "," 466,041.04 "," 1,357,498.40 "," 3,543,850.46 "," 166,456.15 "," 726,362.36 "," 848,849.16 "," 239,303.93 "," 1,300,143.28 "," 23,913,049.46 ",,
1110 Disponibilidades," 774,471.90 "," 563,512.00 "," 467,396.91 "," 258,257.24 "," 95,174.25 "," 126,311.92 "," 222,801.25 "," 472,653.67 "," 31,414.08 "," 93,247.20 "," 103,860.84 "," 40,125.97 "," 181,409.01 "," 3,430,636.25 ",,
112 Operaciones con pacto de retroventa," 6,176.41 ", 37.03 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 6,213.44 ",,
1121 Operaciones con pacto de retroventa," 6,176.41 ", 37.03 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 6,213.44 ",,
1130 A valor razonable con cambios en resultados (vrcr)," 731,168.08 ", -   , -   , -   , -   , -   , -   , -   , -   ," 2,003.50 ", -   , -   ," 42,498.14 "," 775,669.71 ",,
1131 A valor razonable con cambios en otro resultado integral (vrori), -   , -   ," 374,975.47 "," 897,756.37 ", -   , -   , -   ," 408,562.42 ", -   , -   , -   , -   , -   ," 1,681,294.26 ",,
1132 Derivados financieros para coberturas, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
1134 A costo amortizado," 39,369.16 "," 462,712.79 "," 5,473.64 "," 8,798.42 "," 92,008.30 "," 12,091.04 "," 166,366.05 ", -   ," 12,184.93 "," 65,456.51 "," 108,426.35 ", -   ," 207,970.13 "," 1,180,857.33 ",,
1138 Instrumentos financieros restringidos, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 14,713.98 ", -   , -   ," 14,713.98 ",,
114 Préstamos," 4,102,951.13 "," 2,932,300.36 "," 2,389,029.61 "," 1,020,110.50 "," 42,865.10 "," 327,638.07 "," 968,331.10 "," 2,662,634.37 "," 122,857.14 "," 565,655.15 "," 621,847.99 "," 199,177.96 "," 868,266.00 "," 16,823,664.48 ",,
1141 Préstamos pactados hasta un año plazo," 739,773.19 "," 350,834.29 "," 372,925.72 "," 76,689.78 "," 43,133.46 "," 49,621.50 "," 307,175.52 "," 607,514.18 "," 6,904.95 "," 70,387.11 "," 103,653.74 "," 3,352.06 "," 130,039.49 "," 2,862,005.01 ",,
1142 Préstamos pactados a más de un año plazo," 3,413,458.81 "," 2,633,141.77 "," 2,032,799.91 "," 951,259.55 ", -   ," 279,012.47 "," 663,627.95 "," 2,073,355.47 "," 116,507.23 "," 497,243.29 "," 524,210.44 "," 195,838.15 "," 740,273.74 "," 14,120,728.78 ",,
1148 Préstamos vencidos," 44,551.73 "," 77,302.08 "," 56,705.30 "," 33,245.28 ", -   ," 8,552.04 "," 21,916.18 "," 35,793.68 "," 6,695.47 "," 1,402.88 "," 19,828.65 "," 6,805.68 "," 3,758.85 "," 316,557.82 ",,
1149 Provisión para incobrabilidad de préstamos,"-94,832.61 ","-128,977.77 ","-73,401.32 ","-41,084.11 ",-268.36 ,"-9,547.95 ","-24,388.54 ","-54,028.97 ","-7,250.51 ","-3,378.13 ","-25,844.84 ","-6,817.93 ","-5,806.09 ","-475,627.13 ",,
12 Otros activos," 97,005.65 "," 87,783.44 "," 35,697.26 "," 27,391.57 "," 1,591.56 "," 10,630.46 "," 28,682.82 "," 23,256.46 "," 12,998.90 "," 4,815.79 "," 14,072.97 "," 8,376.82 "," 29,993.80 "," 382,297.50 ",,
1210 Saldos entre compañías, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
1220 Bienes recibidos en pago o adjudicados," 18,231.83 "," 1,567.94 "," 4,981.75 "," 12,401.58 ", -   ," 4,183.31 "," 1,507.28 "," 2,051.36 ", -   , -   ," 3,287.61 ", 622.40 ," 2,601.59 "," 51,436.65 ",,
1230 Existencias," 1,388.84 ", 228.43 , 368.26 , 161.36 , -   , 309.69 , 45.64 , 158.42 , -   , 48.53 , 97.85 , 20.92 , 26.64 ," 2,854.59 ",,
1240 Gastos pagados por anticipado," 5,413.05 "," 11,307.17 "," 4,458.28 "," 1,439.29 ", 39.42 , 47.88 ," 8,435.11 "," 2,041.04 "," 6,372.00 ", 687.27 ," 3,081.53 "," 2,628.32 "," 2,722.11 "," 48,672.48 ",,
1250 Cuentas por cobrar," 42,886.38 "," 20,587.75 "," 10,942.33 "," 9,524.98 "," 1,064.57 "," 6,110.12 "," 16,248.57 "," 10,144.96 "," 5,237.43 "," 3,211.70 "," 4,673.17 "," 1,555.03 "," 18,989.20 "," 151,176.20 ",,
1251 Impuestos," 22,243.16 "," 25,360.39 "," 11,123.93 "," 3,915.33 ", 487.57 , 730.63 ," 4,317.69 "," 2,287.02 "," 1,389.47 ", 868.28 ," 3,241.34 "," 2,546.17 "," 3,410.79 "," 81,921.79 ",,
1259 Estimación de pérdida por deterioro de valor,"-3,154.96 ","-2,628.63 ","-2,542.33 ",-165.26 , -   ,-751.18 ,"-1,871.47 ",-361.46 , -   , -   ,-308.52 ,-174.22 ,-106.92 ,"-12,064.94 ",,
"1260 Inversiones en acciones, derechos y participaciones"," 9,997.35 "," 31,360.39 "," 6,365.04 ", 114.28 , -   , -   , -   , -   , -   , -   , -   , -   ," 2,350.39 "," 50,187.45 ",,
1261 Plusvalía comprada, -   , -   , -   , -   , -   , -   , -   ," 6,935.12 ", -   , -   , -   ," 1,178.18 ", -   ," 8,113.30 ",,
1270 Activos mantenidos para la venta, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
13 Activos físicos e intangibles," 126,403.89 "," 113,598.79 "," 61,371.49 "," 21,879.18 "," 2,674.49 "," 20,219.10 "," 29,777.63 "," 50,220.61 "," 9,384.22 "," 4,876.51 "," 23,389.62 "," 9,135.83 "," 25,247.62 "," 498,178.99 ",,
131 Propiedades no depreciables," 29,330.44 "," 41,094.47 "," 19,638.34 "," 8,216.28 ", 247.69 ," 9,169.04 "," 4,273.24 "," 12,751.51 ", -   , 730.09 ," 4,133.54 "," 2,035.17 "," 5,042.19 "," 136,661.99 ",,
1310 Propiedades no depreciables," 29,330.44 "," 41,094.47 "," 19,638.34 "," 8,216.28 ", 247.69 ," 9,169.04 "," 4,273.24 "," 12,751.51 ", -   , 730.09 ," 4,133.54 "," 2,035.17 "," 5,042.19 "," 136,661.99 ",,
132 Propiedades y equipo depreciables," 71,800.54 "," 37,396.18 "," 27,981.65 "," 12,653.06 "," 2,426.80 "," 10,010.65 "," 17,548.76 "," 36,452.40 "," 4,531.46 "," 3,675.92 "," 3,875.66 "," 6,105.83 "," 13,129.54 "," 247,588.46 ",,
1320 Depreciables," 172,097.53 "," 135,123.89 "," 83,999.52 "," 34,305.30 "," 4,559.38 "," 36,463.52 "," 43,822.80 "," 94,558.99 "," 5,597.26 "," 9,843.42 "," 14,617.58 "," 11,971.98 "," 27,664.67 "," 674,625.84 ",,
1329 Depreciación y deterioro acumulada(o) (-),"-100,297.00 ","-97,727.71 ","-56,017.86 ","-21,652.23 ","-2,132.58 ","-26,452.87 ","-26,274.04 ","-58,106.60 ","-1,065.80 ","-6,167.50 ","-10,741.92 ","-5,866.15 ","-14,535.14 ","-427,037.38 ",,
133 Intangibles," 25,272.91 "," 35,108.14 "," 13,751.50 "," 1,009.83 ", -   ," 1,039.40 "," 7,955.64 "," 1,016.71 "," 4,852.76 ", 470.50 ," 15,380.41 ", 994.82 ," 7,075.89 "," 113,928.54 ",,
1330 Intangibles," 41,647.83 "," 68,689.74 "," 35,813.40 "," 1,417.08 ", -   ," 2,347.84 "," 7,955.64 "," 3,337.83 "," 5,027.09 "," 3,425.18 "," 31,227.39 "," 8,616.46 "," 11,985.82 "," 221,491.30 ",,
1339 Amortización y deterioro acumulada(o) (-),"-16,374.91 ","-33,581.60 ","-22,061.90 ",-407.24 , -   ,"-1,308.43 ", -   ,"-2,321.12 ",-174.33 ,"-2,954.68 ","-15,846.98 ","-7,621.64 ","-4,909.93 ","-107,562.76 ",,
Total Activos," 5,877,546.22 "," 4,159,944.42 "," 3,333,944.39 "," 2,234,193.27 "," 234,313.70 "," 496,890.60 "," 1,415,958.86 "," 3,617,327.53 "," 188,839.27 "," 736,054.65 "," 886,311.75 "," 256,816.57 "," 1,355,384.71 "," 24,793,525.95 ",,
,,,,,,,,,,,,,,,,
4110 Cartas de crédito," 12,768.11 "," 9,144.43 "," 5,151.10 ", 258.99 , -   , -   , 60.25 ," 65,036.39 ", -   ," 1,198.43 "," 5,696.79 ", -   , -   ," 99,314.50 ",,
4120 Avales y fianzas," 82,128.66 "," 64,725.90 "," 137,427.83 "," 16,857.01 "," 2,857.15 "," 5,732.38 "," 7,339.83 "," 58,987.46 ", -   ," 16,303.67 "," 1,718.99 ", -   ," 8,615.88 "," 402,694.74 ",,
4129 Provisión por pérdidas,"-15,958.57 ","-15,508.12 ","-4,991.53 ","-11,218.46 ",-7.68 ,"-5,732.38 ", -   ,-36.45 , -   , -   , -   , -   , -   ,"-53,453.17 ",,
4130 Operaciones con instrumentos financieros derivados," 4,871.47 ", 0.00 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 4,871.47 ",,
4180 Otras, -   , -   , -   , -   , 861.02 , -   , -   , -   , -   , -   , -   , -   , -   , 861.02 ,,
,,,,,,,,,,,,,,,,
Total derechos futuros y contingencias," 83,809.68 "," 58,362.21 "," 137,587.40 "," 5,897.54 "," 3,710.49 ", -   ," 7,400.08 "," 123,987.40 ", -   ," 17,502.09 "," 7,415.78 ", -   ," 8,615.88 "," 454,288.56 ",,
,,,,,,,,,,,,,,,,
Total activos + derechos futuros y contingencias," 5,961,355.90 "," 4,218,306.63 "," 3,471,531.79 "," 2,240,090.81 "," 238,024.19 "," 496,890.60 "," 1,423,358.94 "," 3,741,314.93 "," 188,839.27 "," 753,556.75 "," 893,727.53 "," 256,816.57 "," 1,364,000.59 "," 25,247,814.51 ",,
,,,,,,,,,,,,,,,,
Pasivos,,,,,,,,,,,,,,,,
21 Pasivos," 5,108,320.95 "," 3,602,121.97 "," 2,912,107.48 "," 2,001,834.18 "," 185,847.00 "," 389,718.20 "," 1,279,229.42 "," 3,201,435.18 "," 150,565.07 "," 621,476.21 "," 775,455.79 "," 211,700.53 "," 1,217,188.53 "," 21,657,000.51 ",,
210 Pasivos financieros a valor razonable con cambios en resultados (vrcr), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
2100 Mantenidos para negociar, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
211 Pasivos financieros a costo amortizado," 4,939,642.24 "," 3,421,949.03 "," 2,696,972.69 "," 1,574,527.02 "," 184,623.86 "," 389,628.30 "," 1,228,811.00 "," 3,035,754.40 "," 141,839.98 "," 565,870.76 "," 751,274.78 "," 202,891.80 "," 1,028,463.96 "," 20,162,249.83 ",,
