Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,
Datos al 31 de Octubre de 2025,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,
,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,
11 Activos," 6,750,614.03 "," 4,472,940.91 "," 3,503,389.82 "," 2,381,599.74 "," 207,224.45 "," 533,524.57 "," 1,465,495.59 "," 3,946,563.75 "," 223,595.10 "," 993,519.78 "," 970,896.91 "," 290,968.23 "," 1,451,738.77 "," 27,192,071.62 ",
1110 Disponibilidades," 1,082,753.92 "," 813,051.88 "," 506,920.63 "," 572,892.90 "," 58,333.72 "," 155,239.45 "," 255,580.08 "," 665,168.80 "," 45,182.82 "," 171,955.67 "," 171,087.34 "," 57,265.53 "," 212,034.06 "," 4,767,466.79 ",
112 Operaciones con pacto de retroventa," 5,486.68 "," 6,821.67 ", -   ," 6,357.03 ", -   , -   , -   , -   ," 37,980.40 ", -   , -   ," 5,694.86 ", -   ," 62,340.64 ",
1121 Operaciones con pacto de retroventa," 5,486.68 "," 6,821.67 ", -   ," 6,357.03 ", -   , -   , -   , -   ," 37,980.40 ", -   , -   ," 5,694.86 ", -   ," 62,340.64 ",
1130 A valor razonable con cambios en resultados (vrcr)," 1,155,256.32 "," 29,893.45 ", -   , -   , -   , -   , -   , -   , -   ," 4,632.28 ", -   ," 3,989.11 "," 127,274.26 "," 1,321,045.41 ",
1131 A valor razonable con cambios en otro resultado integral (vrori), -   , -   ," 203,071.73 "," 732,839.44 ", -   , -   , -   ," 408,179.73 ", -   , -   ," 18,282.45 ", -   , -   ," 1,362,373.34 ",
1132 Derivados financieros para coberturas, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
1134 A costo amortizado," 38,227.82 "," 504,284.87 "," 265,485.05 "," 92,001.81 "," 111,806.37 "," 13,088.76 "," 153,519.09 ", -   ," 15,238.92 "," 62,803.23 "," 121,238.76 ", -   ," 137,687.27 "," 1,515,381.94 ",
1138 Instrumentos financieros restringidos, -   , -   ," 8,980.84 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 8,980.84 ",
114 Préstamos," 4,468,889.30 "," 3,118,889.04 "," 2,518,931.56 "," 977,508.57 "," 37,084.36 "," 365,196.36 "," 1,056,396.43 "," 2,873,215.22 "," 125,192.96 "," 754,128.60 "," 660,288.37 "," 224,018.74 "," 974,743.17 "," 18,154,482.66 ",
1141 Préstamos pactados hasta un año plazo," 882,896.21 "," 432,370.32 "," 389,960.66 "," 79,867.63 "," 37,084.36 "," 60,066.70 "," 378,823.83 "," 642,774.48 "," 6,195.30 "," 86,475.92 "," 108,137.41 "," 2,890.60 "," 230,381.92 "," 3,337,925.35 ",
1142 Préstamos pactados a más de un año plazo," 3,646,255.16 "," 2,729,026.36 "," 2,143,116.25 "," 914,763.89 ", -   ," 305,939.26 "," 680,206.75 "," 2,241,286.78 "," 122,090.98 "," 669,960.71 "," 557,348.54 "," 221,268.57 "," 740,976.50 "," 14,972,239.76 ",
1148 Préstamos vencidos," 43,847.00 "," 38,416.23 "," 57,006.19 "," 38,576.42 ", -   ," 8,556.63 "," 20,186.06 "," 36,113.21 "," 4,325.33 "," 1,347.83 "," 15,392.19 "," 4,007.76 "," 13,119.72 "," 280,894.56 ",
1149 Provisión para incobrabilidad de préstamos," (104,109.07)"," (80,923.88)"," (71,151.53)"," (55,699.38)", -   ," (9,366.23)"," (22,820.22)"," (46,959.25)"," (7,418.66)"," (3,655.86)"," (20,589.77)"," (4,148.18)"," (9,734.98)"," (436,577.01)",
12 Otros activos," 99,061.76 "," 72,766.22 "," 34,875.57 "," 34,903.88 "," 6,865.67 "," 9,771.94 "," 30,052.86 "," 26,522.37 "," 11,240.00 "," 4,162.79 "," 13,661.61 "," 7,310.42 "," 42,080.30 "," 393,275.40 ",
1210 Saldos entre compañías, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
1220 Bienes recibidos en pago o adjudicados," 15,302.95 "," 1,772.98 "," 6,119.84 "," 9,019.75 ", -   ," 2,965.77 "," 1,622.56 "," 1,428.01 ", 167.15 , -   ," 1,793.44 ", 443.31 ," 2,977.58 "," 43,613.33 ",
1230 Existencias," 1,252.10 ", 259.61 , 245.73 , 160.83 , -   , 336.64 , 97.96 , 369.01 , 25.33 , 20.12 , 101.25 , 24.24 , 34.30 ," 2,927.13 ",
1240 Gastos pagados por anticipado," 7,375.94 "," 8,601.97 "," 3,479.66 "," 1,502.63 ", 3.47 , 196.82 ," 8,731.89 "," 3,083.61 "," 7,025.30 ", 870.89 ," 3,740.46 "," 2,616.88 "," 4,209.32 "," 51,438.83 ",
1250 Cuentas por cobrar," 43,212.66 "," 19,536.41 "," 10,200.76 "," 16,045.05 "," 6,337.45 "," 6,301.95 "," 15,924.46 "," 12,552.36 "," 2,574.25 "," 1,760.37 "," 5,014.49 ", 428.12 ," 25,258.51 "," 165,146.84 ",
1251 Impuestos," 24,805.27 "," 24,640.99 "," 11,139.35 "," 8,269.79 ", 524.76 , 727.34 ," 5,654.41 "," 2,593.07 "," 1,447.97 "," 1,511.41 "," 3,106.54 "," 2,643.02 "," 3,895.28 "," 90,959.18 ",
1259 Estimación de pérdida por deterioro de valor," (3,266.48)"," (2,074.59)"," (2,755.70)", (208.44), -   , (756.59)," (1,978.42)", (438.79), -   , -   , (94.57), (23.33), (122.09)," (11,718.99)",
"1260 Inversiones en acciones, derechos y participaciones"," 10,379.32 "," 20,028.85 "," 6,445.92 ", 114.28 , -   , -   , -   , -   , -   , -   , -   , -   ," 5,827.40 "," 42,795.77 ",
1261 Plusvalía comprada, -   , -   , -   , -   , -   , -   , -   ," 6,935.12 ", -   , -   , -   ," 1,178.18 ", -   ," 8,113.30 ",
1270 Activos mantenidos para la venta, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
13 Activos físicos e intangibles," 132,583.11 "," 107,455.08 "," 62,307.24 "," 20,565.49 "," 2,067.67 "," 20,064.07 "," 30,287.41 "," 58,930.34 "," 9,001.02 "," 11,136.86 "," 25,303.06 "," 9,323.64 "," 25,256.87 "," 514,281.86 ",
131 Propiedades no depreciables," 29,221.87 "," 40,887.33 "," 18,953.71 "," 7,957.74 ", 247.69 ," 9,129.93 "," 4,105.26 "," 22,854.07 ", -   , 730.09 , 400.00 ," 1,655.88 "," 3,681.44 "," 139,824.99 ",
1310 Propiedades no depreciables," 29,221.87 "," 40,887.33 "," 18,953.71 "," 7,957.74 ", 247.69 ," 9,129.93 "," 4,105.26 "," 22,854.07 ", -   , 730.09 , 400.00 ," 1,655.88 "," 3,681.44 "," 139,824.99 ",
132 Propiedades y equipo depreciables," 82,688.99 "," 35,655.38 "," 28,639.46 "," 11,610.04 "," 1,819.99 "," 9,572.35 "," 16,821.95 "," 34,926.21 "," 4,241.81 "," 9,597.06 "," 7,762.35 "," 6,551.59 "," 14,490.12 "," 264,377.28 ",
1320 Depreciables," 190,252.45 "," 133,550.80 "," 87,134.17 "," 32,982.22 "," 4,641.16 "," 36,919.25 "," 46,557.98 "," 100,573.70 "," 4,944.32 "," 16,610.15 "," 19,479.50 "," 13,699.56 "," 32,689.96 "," 720,035.23 ",
1329 Depreciación y deterioro acumulada(o) (-)," (107,563.45)"," (97,895.42)"," (58,494.71)"," (21,372.18)"," (2,821.17)"," (27,346.90)"," (29,736.04)"," (65,647.49)", (702.51)," (7,013.09)"," (11,717.16)"," (7,147.97)"," (18,199.85)"," (455,657.95)",
133 Intangibles," 20,672.25 "," 30,912.38 "," 14,714.07 ", 997.71 , -   ," 1,361.78 "," 9,360.20 "," 1,150.06 "," 4,759.21 ", 809.72 ," 17,140.71 "," 1,116.18 "," 7,085.32 "," 110,079.59 ",
1330 Intangibles," 44,756.09 "," 81,175.81 "," 39,746.89 "," 1,822.92 ", -   ," 4,661.14 "," 9,360.20 "," 3,878.73 "," 8,133.65 "," 4,008.03 "," 35,912.53 "," 9,855.62 "," 14,105.26 "," 257,416.86 ",
1339 Amortización y deterioro acumulada(o) (-)," (24,083.84)"," (50,263.43)"," (25,032.81)", (825.21), -   ," (3,299.36)", -   ," (2,728.66)"," (3,374.43)"," (3,198.31)"," (18,771.81)"," (8,739.45)"," (7,019.94)"," (147,337.27)",
Total Activos," 6,982,258.90 "," 4,653,162.20 "," 3,600,572.63 "," 2,437,069.11 "," 216,157.79 "," 563,360.58 "," 1,525,835.86 "," 4,032,016.46 "," 243,836.12 "," 1,008,819.42 "," 1,009,861.59 "," 307,602.29 "," 1,519,075.94 "," 28,099,628.88 ",
,,,,,,,,,,,,,,,
4110 Cartas de crédito," 30,123.39 "," 11,293.33 "," 17,244.28 ", 515.94 , -   , -   , -   ," 91,473.74 ", -   ," 1,178.44 "," 4,000.00 ", -   , -   ," 155,829.12 ",
4120 Avales y fianzas," 72,500.92 "," 78,039.87 "," 103,256.16 "," 12,565.45 "," 3,597.16 "," 5,732.38 "," 7,344.42 "," 52,975.33 ", -   ," 13,728.50 "," 3,690.18 ", -   ," 9,303.35 "," 362,733.72 ",
4129 Provisión por pérdidas," (16,013.86)"," (14,892.82)"," (4,249.18)"," (9,206.85)", -   ," (5,732.38)", -   , (31.47), -   , -   , -   , -   , -   ," (50,126.56)",
4130 Operaciones con instrumentos financieros derivados," 4,317.18 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 4,317.18 ",
4180 Otras, -   , -   , -   , -   , 172.28 , -   , -   , -   , -   , -   , -   , -   , -   , 172.28 ,
,,,,,,,,,,,,,,,
Total derechos futuros y contingencias," 90,927.62 "," 74,440.38 "," 116,251.26 "," 3,874.54 "," 3,769.43 ", -   ," 7,344.42 "," 144,417.60 ", -   ," 14,906.95 "," 7,690.18 ", -   ," 9,303.35 "," 472,925.74 ",
,,,,,,,,,,,,,,,
Total activos + derechos futuros y contingencias," 7,073,186.52 "," 4,727,602.58 "," 3,716,823.89 "," 2,440,943.65 "," 219,927.23 "," 563,360.58 "," 1,533,180.27 "," 4,176,434.06 "," 243,836.12 "," 1,023,726.37 "," 1,017,551.77 "," 307,602.29 "," 1,528,379.29 "," 28,572,554.62 ",
,,,,,,,,,,,,,,,
Pasivos,,,,,,,,,,,,,,,
21 Pasivos," 6,171,616.55 "," 4,067,037.50 "," 3,159,055.52 "," 2,195,331.17 "," 170,962.94 "," 448,040.58 "," 1,383,741.78 "," 3,592,567.65 "," 203,328.99 "," 887,408.38 "," 896,653.91 "," 258,964.57 "," 1,359,297.64 "," 24,794,007.19 ",
210 Pasivos financieros a valor razonable con cambios en resultados (vrcr), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
2100 Mantenidos para negociar, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
211 Pasivos financieros a costo amortizado," 6,113,013.53 "," 3,924,093.42 "," 3,013,765.09 "," 1,764,471.80 "," 169,948.32 "," 447,981.80 "," 1,343,772.95 "," 3,464,438.25 "," 195,865.95 "," 844,471.97 "," 876,243.70 "," 249,669.55 "," 1,258,990.48 "," 23,666,726.80 ",
2110 Depósitos a la vista," 4,295,512.37 "," 2,466,579.44 "," 1,605,554.92 "," 753,999.46 "," 133,168.93 "," 291,102.36 "," 632,513.69 "," 2,089,425.27 "," 25,651.54 "," 290,229.85 "," 264,725.16 "," 77,405.85 "," 493,422.75 "," 13,419,291.59 ",
