Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,,
Datos al 30 de Noviembre de 2020,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A. 1/","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco Cuscatlán Sv, S.A. 1/","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,,
11 Activos de intermediación,"4,987,154.90","3,503,978.01","2,793,868.54","1,364,094.74","316,189.34","400,990.05","426,779.95","1,246,079.91",0.00,"2,761,199.14","71,414.02","395,803.09","488,369.05","720,247.80","19,476,168.54"
1110 Fondos disponibles,"952,725.15","739,260.26","335,960.21","339,649.72","154,551.65","123,034.10","70,430.60","282,909.25",0.00,"536,614.11","17,483.40","58,263.37","63,950.65","112,388.16","3,787,220.63"
112 Adquisición temporal de documentos,"1,589.99",0.00,0.00,766.57,0.00,120.16,"7,123.33",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"9,600.05"
1121 Documentos adquiridos hasta un año plazo,"1,589.99",0.00,0.00,766.57,0.00,120.16,"7,123.33",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"9,600.05"
1128 Documentos vencidos,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1129 Provisión por pérdidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
113 Inversiones financieras,"747,208.84","368,877.91","475,552.31","174,070.95","146,135.35","9,941.26","88,623.01","150,197.25",0.00,"279,324.37","9,997.08","114,526.63","59,244.54","102,676.41","2,726,375.91"
1130 Titulos valores conservados para negociación,0.00,0.00,0.00,"165,849.73","14,981.50",0.00,"3,512.12",0.00,0.00,0.00,"2,632.70",132.63,"4,000.00",0.00,"191,108.67"
1131 Titulos valores para conservarse hasta el vencimiento,"11,925.18",501.94,"25,245.93","2,147.15",0.00,"9,941.26","85,110.89",0.00,0.00,0.00,0.00,"97,124.68","17,800.40","102,621.98","352,419.41"
1132 Titulos valores disponibles para venta,"735,296.10","368,375.96","450,306.38","6,074.08","131,153.85",0.00,0.00,"150,197.25",0.00,"279,324.37","7,364.38","17,269.32","37,444.14",54.43,"2,182,860.27"
1138 Inversiones vencidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1139 Provisión para valuacion de inversiones,-12.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-12.44
114 Préstamos,"3,285,630.91","2,395,839.84","1,982,356.01","849,607.50","15,502.34","267,894.53","260,603.02","812,973.41",0.00,"1,945,260.66","43,933.54","223,013.10","365,173.87","505,183.23","12,952,971.95"
1141 Préstamos pactados hasta un año plazo,"563,002.47","213,400.93","315,127.84","99,290.20","15,568.55","40,872.58","54,715.01","219,058.02",0.00,"456,801.75","1,000.38","24,120.14","45,820.87","61,047.37","2,109,826.12"
1142 Préstamos pactados a mas de un año plazo,"2,820,412.40","2,220,585.93","1,710,498.77","761,010.26",0.00,"229,554.52","211,371.47","609,469.86",0.00,"1,501,819.22","43,254.72","200,623.32","323,100.38","445,078.86","11,076,779.71"
1148 Préstamos vencidos,"36,614.52","52,932.14","28,382.72","10,342.09",0.00,"8,641.15","3,611.18","11,733.19",0.00,"30,412.88","2,970.20","1,857.31","1,742.10","2,739.17","191,978.65"
1149 Provisión para incobrabilidad de préstamos,"-134,398.48","-91,079.16","-71,653.32","-21,035.06",-66.21,"-11,173.73","-9,094.64","-27,287.67",0.00,"-43,773.19","-3,291.76","-3,587.67","-5,489.48","-3,682.17","-425,612.54"
12 Otros activos,"159,580.66","116,993.69","69,205.32","21,586.75","1,201.18","13,730.65","6,825.25","55,366.33",0.00,"32,959.57","7,633.65","1,979.48","20,130.20","14,008.58","521,201.31"
1210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1220 Bienes recibidos en pago o adjudicados,"39,105.63","6,105.72","13,751.01","13,971.52",0.00,"5,487.87","1,602.63","12,170.22",0.00,"9,345.75",0.00,0.00,"1,594.48","5,073.11","108,207.94"
1230 Existencias,464.42,522.11,472.78,49.49,0.00,322.49,71.64,307.80,0.00,369.54,0.00,44.45,25.13,15.91,"2,665.76"
1240 Gastos pagados por anticipado y cargos diferidos,"48,780.83","44,234.03","40,903.10","2,980.31",520.56,"1,983.96","4,085.96","14,978.12",0.00,"10,076.88","5,368.28","1,348.64","16,889.20","2,894.82","195,044.70"
1250 Cuentas por cobrar,"62,881.36","38,265.34","9,706.58","4,554.03",680.62,"6,719.01",382.92,"27,989.39",0.00,"13,530.21","2,265.37",586.39,"1,640.67","6,107.17","175,309.05"
1259 Provisión de incobrabilidad de cuentas por cobrar,"-1,718.16","-2,428.23","-1,623.42",-82.88,0.00,-782.69,-106.07,-79.20,0.00,-362.80,0.00,0.00,-19.28,-82.43,"-7,285.14"
1260 derechos y participaciones,"10,066.57","30,294.71","5,995.27",114.28,0.00,0.00,788.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"47,259.00"
13 Activo fijo,"90,980.54","99,325.19","47,212.59","16,777.94","1,269.63","19,107.02","5,477.60","17,177.56",0.00,"29,148.14","2,766.66",989.96,"1,853.45","11,234.66","343,320.96"
1310 No depreciables,"30,732.46","42,936.49","22,109.76","8,470.21",247.69,"8,415.50","3,486.79","1,851.57",0.00,"4,145.15",0.00,140.25,51.87,"6,821.30","129,409.05"
1320 depreciables,"157,224.45","116,141.39","62,367.39","23,100.92","2,612.27","33,679.03","6,340.04","33,257.56",0.00,"46,306.18","10,940.59","3,004.09","5,293.87","17,473.67","517,741.45"
1329 depreciación acumulada,"-98,568.58","-88,452.46","-42,214.71","-15,968.23","-1,647.01","-23,937.10","-4,451.75","-19,588.17",0.00,"-24,737.24","-9,167.96","-2,615.85","-4,595.58","-14,508.15","-350,452.79"
1330 Amortizables,"1,592.20","28,699.78","4,950.15","1,175.04",56.69,949.59,102.52,"1,656.60",0.00,"3,434.05",994.03,461.48,"1,103.28","1,447.84","46,623.24"
Total Activos,"5,237,716.10","3,720,296.89","2,910,286.45","1,402,459.43","318,660.15","433,827.72","439,082.80","1,318,623.80",0.00,"2,823,306.86","81,814.33","398,772.53","510,352.70","745,491.04","20,340,690.81"
 ,,,,,,,,,,,,,,,
4110 Cartas de crédito,"13,799.81","20,111.79","9,362.98",150.23,83.47,0.00,"6,768.97",0.00,0.00,"32,337.50",0.00,498.81,57.01,0.00,"83,170.56"
4119 Provisión por pérdidas,0.00,-3.04,0.00,-1.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-4.21
4120 Contingencias por avales y fianzas,"131,561.74","131,119.02","74,859.85","16,809.92","10,298.25","6,380.00","4,055.76","10,308.13",0.00,"66,905.25",0.00,"16,966.23",0.00,"3,073.67","472,337.83"
4129 Provisión por pérdidas,"-15,720.11","-15,635.12","-9,730.83","-5,844.91",-38.82,"-5,196.07",0.00,0.00,0.00,-656.31,0.00,-4.01,0.00,0.00,"-52,826.18"
4131 derechos por operaciones en moneda extranjera,0.00,0.00,0.00,0.00,17.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.82
4139 Prov. pérdidas en derechos por operac. en mon. extran.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,,,,,,,,,,,,,,,
Total derechos futuros y contingencias,"129,641.44","135,592.66","74,491.99","11,114.07","10,360.72","1,183.93","10,824.73","10,308.13",0.00,"98,586.44",0.00,"17,461.03",57.01,"3,073.67","502,695.82"
 ,,,,,,,,,,,,,,,
Total activos + derechos futuros y contingencias,"5,367,357.54","3,855,889.55","2,984,778.44","1,413,573.50","329,020.87","435,011.65","449,907.53","1,328,931.93",0.00,"2,921,893.30","81,814.33","416,233.56","510,409.72","748,564.71","20,843,386.64"
 ,,,,,,,,,,,,,,,
Pasivos ,,,,,,,,,,,,,,,
21 Pasivos de intermediación,"4,545,013.33","3,220,330.04","2,534,805.39","1,230,826.23","270,187.03","350,398.87","375,595.25","1,142,465.63",0.00,"2,490,940.22","52,064.93","346,817.63","453,965.17","667,258.06","17,680,667.78"
211 depósitos,"3,996,642.44","2,816,229.48","2,044,345.82","1,080,578.59","266,208.52","337,466.18","336,832.80","1,008,299.94",0.00,"2,116,972.57","51,980.49","291,618.29","314,676.77","490,846.60","15,152,698.49"
2110 depósitos a la vista,"2,958,980.65","1,692,018.78","1,121,447.84","548,702.67","246,681.33","210,315.20","175,430.73","534,087.73",0.00,"1,424,340.91","11,519.84","111,319.62","108,894.57","201,942.29","9,345,682.16"
211001 depósitos en cuenta corriente,"1,161,462.41","854,706.45","543,676.37","299,403.30","188,840.57","53,583.10","122,299.30","339,787.04",0.00,"917,780.15","11,519.84","40,921.08","69,820.20","137,266.97","4,741,066.79"
211002 depósitos de ahorro,"1,796,599.34","837,312.32","577,413.15","249,297.58","57,840.76","156,732.10","53,131.43","194,300.68",0.00,"506,560.76",0.00,"70,398.54","39,071.37","64,675.32","4,603,333.35"
211003 depósitos en cuenta de ahorro simplificada,918.90,0.00,358.31,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.01,0.00,"1,282.02"
2111 depósitos pactados hasta un año plazo,"893,919.76","1,029,493.37","722,068.21","473,899.79","17,008.95","120,667.41","156,657.47","451,646.07",0.00,"629,263.24","35,549.50","174,464.57","181,619.29","260,606.26","5,146,863.87"
2112 depósitos pactados a mas de un año plazo,"68,559.21","18,244.36","147,513.54","40,058.24",0.00,235.73,0.00,"2,149.76",0.00,"43,101.76",0.00,298.37,"18,652.76","20,980.73","359,794.46"
2114 depósitos restringidos e inactivos,"75,182.82","76,472.97","53,316.24","17,917.88","2,518.24","6,247.83","4,744.60","20,416.39",0.00,"20,266.66","4,911.15","5,535.73","5,510.15","7,317.33","300,357.99"
212 Préstamos,"318,122.49","226,815.38","311,406.26","117,610.73",0.00,"12,290.84","12,743.69","126,748.66",0.00,"188,423.40",0.00,"54,002.86","75,071.22","100,582.27","1,543,817.80"
2121 Préstamos pactados hasta un año plazo,"30,430.10","5,558.42","156,528.79","24,695.06",0.00,8.36,"5,949.16","23,378.61",0.00,"120,779.76",0.00,"9,439.91","1,489.07","5,054.71","383,311.95"
2122 Préstamos pactados a mas de un año plazo,"47,427.15","93,946.63","10,363.09","72,992.67",0.00,"12,246.49","6,794.52","41,707.86",0.00,"67,643.64",0.00,"44,562.95","58,278.02","70,160.41","526,123.45"
2123 Préstamos pactados a cinco o mas años plazo,"240,265.24","127,310.33","144,514.37","19,923.00",0.00,35.98,0.00,"61,662.19",0.00,0.00,0.00,0.00,"15,304.13","25,367.16","634,382.40"
2130 Obligaciones a la vista,"18,161.59","19,287.90","14,209.37","32,636.91","3,978.51",641.85,670.41,"7,417.03",0.00,"29,568.14",53.15,"1,196.47","3,054.24","1,982.54","132,858.12"
214 Títulos de emisión propia,"212,086.81","157,997.28","164,843.94",0.00,0.00,0.00,"25,348.36",0.00,0.00,"155,976.11",0.00,0.00,"57,162.94","73,846.65","847,262.08"
2141 Títulos de emisión propia pactados hasta un año plazo.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,439.89","1,439.89"
