Superintendencia del Sistema Financiero,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,
Datos al 30 de Noviembre de 2021,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,
11 Activos de intermediación,"5,132,937.97","3,500,864.01","2,780,448.11","1,618,325.19","202,563.53","439,527.77","394,800.71","1,278,678.25","2,881,453.50","92,294.03","426,337.09","581,830.50","857,463.56","20,187,524.21"
1110 Fondos disponibles,"1,005,520.39","609,457.10","372,382.05","259,748.17","123,479.51","152,869.02","70,554.34","285,807.00","507,168.40","14,614.51","66,545.18","98,000.07","146,304.03","3,712,449.76"
112 Adquisición temporal de documentos,0.00,"9,796.99",0.00,0.00,0.00,226.29,"3,814.57",0.00,0.00,0.00,0.00,0.00,"4,563.90","18,401.76"
1121 Documentos adquiridos hasta un año plazo,0.00,"9,796.99",0.00,0.00,0.00,226.29,"3,814.57",0.00,0.00,0.00,0.00,0.00,"4,563.90","18,401.76"
1128 Documentos vencidos,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1129 Provisión por pérdidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
113 Inversiones financieras,"659,317.11","413,284.29","291,607.86","374,837.75","70,882.33","11,567.00","79,442.77","159,443.65","313,560.61","3,200.74","53,123.11","92,158.20","149,012.57","2,671,438.00"
1130 Titulos valores conservados para negociación,"3,168.61",0.00,0.00,"358,259.35",0.00,0.00,210.46,0.00,0.00,"1,500.00",288.98,"17,500.00",0.00,"380,927.40"
1131 Titulos valores para conservarse hasta el vencimiento,"47,363.59","10,094.85","8,391.06","2,147.62",0.00,"11,567.00","79,232.31",0.00,0.00,0.00,"35,594.41","12,338.60","149,012.57","355,742.02"
1132 Titulos valores disponibles para venta,"608,784.91","403,346.93","283,124.33","14,430.78","70,882.33",0.00,0.00,"159,443.65","313,560.61","1,703.35","17,239.72","62,319.59",0.00,"1,934,836.21"
1134 Instrumentos financieros para cobertura,0.00,0.00,92.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,92.48
1138 Inversiones vencidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1139 Provisión para valuacion de inversiones,0.00,-157.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.61,0.00,0.00,0.00,-160.11
114 Préstamos,"3,468,100.47","2,468,325.64","2,116,458.20","983,739.28","8,201.69","274,865.45","240,989.03","833,427.59","2,060,724.48","74,478.78","306,668.80","391,672.23","557,583.05","13,785,234.70"
1141 Préstamos pactados hasta un año plazo,"534,854.44","286,334.09","273,253.69","78,376.23","8,212.93","38,174.55","70,932.60","240,289.52","414,894.77","4,676.26","38,109.90","44,927.64","84,208.17","2,117,244.80"
1142 Préstamos pactados a mas de un año plazo,"3,006,620.25","2,209,320.39","1,858,965.76","915,855.03",0.00,"238,317.28","172,458.89","603,155.04","1,662,550.94","69,372.28","270,562.48","349,645.98","476,648.85","11,833,473.17"
1148 Préstamos vencidos,"51,829.99","87,464.80","39,004.04","15,726.99",0.00,"8,351.70","5,797.39","23,587.12","37,543.13","5,676.49","1,242.11","3,325.77","3,433.64","282,983.17"
1149 Provisión para incobrabilidad de préstamos,"-125,204.21","-114,793.64","-54,765.29","-26,218.97",-11.24,"-9,978.07","-8,199.85","-33,604.09","-54,264.36","-5,246.25","-3,245.69","-6,227.16","-6,707.61","-448,466.44"
12 Otros activos,"145,364.16","105,045.47","66,963.12","47,488.86","1,404.65","11,019.38","8,977.53","44,767.51","42,234.85","8,163.74","2,289.01","21,050.83","23,920.70","528,689.81"
1210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1220 Bienes recibidos en pago o adjudicados,"33,675.37","2,734.07","10,301.50","14,368.00",0.00,"4,390.79","1,858.81","13,379.97","7,194.39",0.00,0.00,"1,169.93","4,546.41","93,619.25"
1230 Existencias,490.79,214.82,353.92,109.12,0.00,286.48,74.24,284.09,331.98,0.00,60.32,25.13,13.96,"2,244.84"
1240 Gastos pagados por anticipado y cargos diferidos,"43,990.42","36,375.73","35,890.25","3,686.55",361.61,"1,635.50","3,859.78","18,958.57","11,827.39","5,775.46","1,249.29","15,843.13","5,090.85","184,544.53"
1250 Cuentas por cobrar,"58,507.18","36,908.36","15,631.14","29,316.02","1,043.04","5,707.12","2,718.37","12,256.30","23,258.50","2,388.28",979.39,"4,050.30","13,174.04","205,938.04"
1259 Provisión de incobrabilidad de cuentas por cobrar,"-1,954.24","-2,833.21","-1,597.69",-105.11,0.00,"-1,000.52",-44.90,-111.43,-377.41,0.00,0.00,-37.66,-104.47,"-8,166.62"
1260 derechos y participaciones,"10,654.64","31,645.70","6,384.01",114.28,0.00,0.00,511.24,0.00,0.00,0.00,0.00,0.00,"1,199.90","50,509.77"
13 Activo fijo,"86,667.27","113,131.08","44,726.02","15,786.29","1,162.52","18,535.38","5,169.91","16,326.63","33,799.43","3,460.10","2,075.11","1,657.76","6,909.07","349,406.57"
1310 No depreciables,"30,628.02","41,819.71","19,264.59","7,976.86",247.69,"8,272.79","3,496.68","2,177.13","9,781.97",0.00,870.33,60.59,"3,362.36","127,958.73"
1320 depreciables,"142,841.23","115,434.35","64,432.16","21,362.97","2,269.46","34,802.23","6,460.87","33,779.55","46,916.89","11,325.23","3,464.22","5,374.98","15,190.20","503,654.33"
1329 depreciación acumulada,"-88,109.95","-88,851.78","-43,550.31","-15,488.57","-1,455.77","-25,227.65","-4,858.36","-21,213.36","-26,648.05","-10,023.63","-2,650.89","-4,806.74","-11,938.73","-344,823.79"
1330 Amortizables,"1,307.98","44,728.80","4,579.58","1,935.03",101.14,688.01,70.71,"1,583.31","3,748.62","2,158.49",391.44,"1,028.93",295.25,"62,617.29"
Total Activos,"5,364,969.40","3,719,040.56","2,892,137.26","1,681,600.34","205,130.69","469,082.53","408,948.15","1,339,772.39","2,957,487.78","103,917.86","430,701.21","604,539.09","888,293.33","21,065,620.60"
 ,,,,,,,,,,,,,,
4110 Cartas de crédito,"33,673.48","15,153.14","23,299.57",908.37,735.00,0.00,"2,671.08",0.00,"39,108.64",0.00,903.38,16.26,0.00,"116,468.93"
4119 Provisión por pérdidas,-2.90,-2.78,0.00,-1.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-7.19
4120 Contingencias por avales y fianzas,"145,153.12","109,045.04","90,883.38","16,650.96","8,460.01","6,360.85","3,625.57","10,727.03","76,965.82",0.00,"17,953.65",0.00,"5,561.37","491,386.80"
4129 Provisión por pérdidas,"-16,296.46","-15,691.43","-4,688.82","-6,062.34",-45.49,"-5,405.84",0.00,0.00,-113.37,0.00,0.00,0.00,0.00,"-48,303.76"
4131 derechos por operaciones en moneda extranjera,"14,939.16",0.00,0.00,0.00,15.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"14,955.00"
4139 Prov. pérdidas en derechos por operac. en mon. extran.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,,,,,,,,,,,,,,
Total derechos futuros y contingencias,"177,466.40","108,503.97","109,494.13","11,495.47","9,165.36",955.01,"6,296.65","10,727.03","115,961.09",0.00,"18,857.03",16.26,"5,561.37","574,499.78"
 ,,,,,,,,,,,,,,
Total activos + derechos futuros y contingencias,"5,542,435.80","3,827,544.53","3,001,631.39","1,693,095.81","214,296.06","470,037.53","415,244.80","1,350,499.42","3,073,448.87","103,917.86","449,558.24","604,555.35","893,854.70","21,640,120.38"
 ,,,,,,,,,,,,,,
Pasivos ,,,,,,,,,,,,,,
21 Pasivos de intermediación,"4,570,206.72","3,192,959.94","2,496,059.86","1,504,899.39","161,976.91","381,336.18","344,000.92","1,161,637.29","2,627,791.06","73,245.96","342,195.22","543,050.04","792,291.60","18,191,651.08"
211 depósitos,"3,985,108.78","2,784,486.57","1,975,681.49","1,376,256.39","153,125.63","368,692.78","309,694.82","1,023,138.83","2,261,526.30","71,531.52","307,271.58","404,166.76","592,118.38","15,612,799.85"
2110 depósitos a la vista,"3,061,216.36","1,789,743.81","1,167,388.54","719,816.95","150,957.22","246,730.14","166,653.05","589,444.39","1,604,744.70","13,462.69","135,532.70","161,134.40","332,746.35","10,139,571.31"
211001 depósitos en cuenta corriente,"1,136,420.28","829,313.30","552,285.23","427,476.08","147,665.19","72,057.99","116,237.46","364,328.49","1,062,347.98","13,462.69","54,360.80","125,317.74","258,938.90","5,160,212.12"
211002 depósitos de ahorro,"1,923,289.27","960,430.51","614,702.15","292,339.08","3,292.02","174,672.15","50,415.59","225,115.90","542,396.73",0.00,"81,171.90","35,812.91","73,807.45","4,977,445.65"
211003 depósitos en cuenta de ahorro simplificada,"1,506.81",0.00,401.16,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.76,0.00,"1,913.53"
2111 depósitos pactados hasta un año plazo,"788,186.77","904,430.63","689,091.63","586,912.23",0.00,"114,917.25","138,444.26","414,075.60","605,963.13","55,717.85","166,175.91","219,391.06","230,728.89","4,914,035.20"
2112 depósitos pactados a mas de un año plazo,"64,429.32","18,179.05","70,072.49","50,190.08",0.00,267.76,0.00,"2,354.91","31,796.67",0.00,"1,846.94","19,690.59","20,740.61","279,568.41"
2114 depósitos restringidos e inactivos,"71,276.33","72,133.08","49,128.83","19,337.14","2,168.41","6,777.64","4,597.51","17,263.93","19,021.80","2,350.98","3,716.04","3,950.71","7,902.53","279,624.93"
212 Préstamos,"397,152.13","230,017.83","304,938.42","92,493.16",0.00,"12,116.63","7,351.16","130,198.13","234,049.84",0.00,"33,927.42","72,503.11","122,139.40","1,636,887.23"
2121 Préstamos pactados hasta un año plazo,"130,369.74","90,482.72","150,753.45","21,085.87",0.00,16.20,"4,998.92","10,035.62","177,704.66",0.00,"29,689.51",962.25,"6,043.24","622,142.17"
2122 Préstamos pactados a mas de un año plazo,"9,004.04",116.37,"7,589.21","56,476.37",0.00,"8,456.17","2,352.24","45,595.60","56,345.19",0.00,"4,237.91","58,790.00","84,812.27","333,775.37"
2123 Préstamos pactados a cinco o mas años plazo,"257,778.35","139,418.74","146,595.77","14,930.92",0.00,"3,644.25",0.00,"74,566.92",0.00,0.00,0.00,"12,750.87","31,283.88","680,969.69"
2130 Obligaciones a la vista,"25,890.54","25,643.12","13,437.14","36,149.84","8,851.28",526.77,"1,605.63","8,300.33","26,608.67",214.44,996.22,"1,342.75","2,295.30","151,862.02"
214 Títulos de emisión propia,"162,055.26","152,812.42","202,002.81",0.00,0.00,0.00,"25,349.32",0.00,"105,606.25",0.00,0.00,"47,537.41","75,738.52","771,101.99"
2141 Títulos de emisión propia pactados hasta un año plazo.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,837.45,837.45
2142 Pactados a mas de un año plazo,"162,055.26","152,812.42","202,002.81",0.00,0.00,0.00,"25,349.32",0.00,"105,606.25",0.00,0.00,"47,537.41","74,901.07","770,264.53"
215 Documentos transados,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,500.00",0.00,"17,500.00",0.00,"19,000.00"
