Superintendencia del Sistema Financiero,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,
Datos al 30 de Noviembre de 2023,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,
,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,
11 Activos de intermediación,"5,570,876.61","3,893,303.93","3,026,184.14","2,239,786.42","240,820.14","443,807.79","1,345,227.55","3,241,637.56","163,015.76","665,310.81","834,429.95","1,170,447.22","22,834,847.88"
1110 Fondos disponibles,"817,328.91","605,429.35","389,733.35","321,040.21","98,178.74","113,533.48","216,249.75","424,345.61","23,662.97","95,672.04","94,989.45","131,909.93","3,332,073.81"
112 Adquisición temporal de documentos,"1,980.69",0.00,0.00,137.20,0.00,84.67,"6,782.18",0.00,"2,515.28",0.00,0.00,0.00,"11,500.01"
1121 Documentos adquiridos hasta un año plazo,"1,980.69",0.00,0.00,137.20,0.00,84.67,"6,782.18",0.00,"2,515.28",0.00,0.00,0.00,"11,500.01"
1128 Documentos vencidos,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1129 Provisión por pérdidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
113 Inversiones financieras,"890,198.44","485,861.85","397,938.40","901,561.48","114,468.26","13,676.06","175,701.75","370,086.31","13,399.21","64,791.81","121,191.33","253,086.60","3,801,961.51"
1130 Titulos valores conservados para negociación,"241,791.08",0.00,0.00,"899,279.86","4,990.57",0.00,0.00,0.00,0.00,244.08,"6,950.00","9,645.29","1,162,900.88"
1131 Titulos valores para conservarse hasta el vencimiento,"74,981.97",0.00,"5,179.97","2,148.72",0.00,"13,676.06",0.00,0.00,0.00,"47,366.62",885.84,"243,441.31","387,680.50"
1132 Titulos valores disponibles para venta,"573,425.39","485,861.85","392,758.43",132.91,"109,477.69",0.00,"175,701.75","370,086.31","13,399.21","17,181.11","113,355.49",0.00,"2,251,380.13"
1134 Instrumentos financieros para cobertura,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1138 Inversiones vencidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1139 Provisión para valuacion de inversiones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
114 Préstamos,"3,861,368.57","2,802,012.72","2,238,512.38","1,017,047.53","28,173.14","316,513.58","946,493.87","2,447,205.65","123,438.30","504,846.95","618,249.17","785,450.69","15,689,312.54"
1141 Préstamos pactados hasta un año plazo,"625,886.16","370,337.01","331,926.25","72,981.36","28,227.24","46,470.28","301,141.94","511,884.46","3,479.02","75,055.41","99,093.75","99,167.28","2,565,650.16"
1142 Préstamos pactados a mas de un año plazo,"3,300,419.91","2,470,534.85","1,919,773.58","955,065.87",0.00,"270,862.47","648,590.90","1,948,599.78","123,457.87","431,890.33","523,947.78","688,705.34","13,281,848.67"
1148 Préstamos vencidos,"45,789.18","80,279.37","50,111.35","23,657.52",0.00,"8,975.26","20,193.31","39,684.13","10,178.74","1,251.30","15,456.93","3,471.06","299,048.15"
1149 Provisión para incobrabilidad de préstamos,"-110,726.69","-119,138.50","-63,298.81","-34,657.23",-54.10,"-9,794.42","-23,432.28","-52,962.72","-13,677.33","-3,350.10","-20,249.29","-5,892.99","-457,234.44"
12 Otros activos,"130,329.04","86,888.12","49,895.80","36,279.18","2,702.18","12,271.80","36,404.11","19,159.48","10,323.77","3,913.14","30,592.62","30,277.46","449,036.70"
1210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1220 Bienes recibidos en pago o adjudicados,"19,927.10","1,153.14","7,734.60","12,377.61",0.00,"5,060.79","2,934.11","3,009.52",0.00,0.00,"3,375.13","2,577.59","58,149.58"
1230 Existencias,985.83,236.35,464.96,150.89,0.00,372.92,163.02,218.37,0.00,40.76,97.85,30.89,"2,761.85"
1240 Gastos pagados por anticipado y cargos diferidos,"45,984.35","39,705.13","27,036.39","5,684.61",470.92,"1,140.99","15,669.60","11,200.80","9,466.36","1,775.73","24,187.54","12,213.70","194,536.11"
1250 Cuentas por cobrar,"54,421.47","16,730.92","10,712.54","18,057.96","2,231.26","6,396.71","18,428.00","5,085.32",857.41,"2,096.65","3,045.95","14,128.71","152,192.91"
1259 Provisión de incobrabilidad de cuentas por cobrar,"-2,044.42","-2,342.19","-2,216.17",-106.16,0.00,-699.61,-790.61,-354.54,0.00,0.00,-113.85,-94.10,"-8,761.67"
1260 derechos y participaciones,"11,054.71","31,404.77","6,163.49",114.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,420.68","50,157.93"
13 Activo fijo,"80,831.52","110,330.23","44,842.65","16,267.12","1,515.49","19,866.02","17,872.55","42,891.92","1,842.40","2,062.30","3,962.44","10,298.27","352,582.90"
1310 No depreciables,"29,926.87","41,231.84","21,265.15","8,028.27",247.69,"8,715.42","3,431.54","12,014.51",0.00,730.09,"1,034.99","6,289.19","132,915.57"
1320 depreciables,"127,742.55","109,843.24","67,476.26","24,439.27","2,591.51","35,235.53","37,054.89","58,384.60","10,808.51","3,819.00","10,732.36","16,532.05","504,659.79"
1329 depreciación acumulada,"-77,728.59","-88,014.49","-47,109.72","-17,607.41","-1,426.95","-25,051.61","-24,258.22","-35,205.22","-10,419.84","-2,901.44","-9,234.84","-12,887.45","-351,845.78"
1330 Amortizables,890.69,"47,269.64","3,210.96","1,406.99",103.24,966.67,"1,644.35","7,698.03","1,453.72",414.65,"1,429.93",364.47,"66,853.33"
Total Activos,"5,782,037.17","4,090,522.28","3,120,922.59","2,292,332.72","245,037.81","475,945.60","1,399,504.21","3,303,688.96","175,181.92","671,286.24","868,985.02","1,211,022.95","23,636,467.47"
 ,,,,,,,,,,,,,
4110 Cartas de crédito,"6,563.36","28,299.61","10,123.85","1,545.79",0.00,0.00,125.00,"61,360.02",0.00,"1,444.94","2,306.38",0.00,"111,768.94"
4119 Provisión por pérdidas,-4.46,0.00,-0.10,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-5.10
4120 Contingencias por avales y fianzas,"89,884.47","77,400.42","130,084.90","23,604.31","5,450.08","5,710.46","6,701.18","62,514.03",0.00,"20,130.78","1,996.53","8,265.72","431,742.88"
4129 Provisión por pérdidas,"-15,931.46","-15,898.33","-4,818.02","-9,649.44",-8.67,"-5,710.46",0.00,-92.18,0.00,0.00,0.00,0.00,"-52,108.56"
4131 derechos por operaciones en moneda extranjera,"8,436.48",0.00,0.00,0.00,895.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"9,331.72"
4139 Prov. pérdidas en derechos por operac. en mon. extran.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,,,,,,,,,,,,,
Total derechos futuros y contingencias,"88,948.40","89,801.70","135,390.64","15,500.11","6,336.65",0.00,"6,826.18","123,781.86",0.00,"21,575.72","4,302.90","8,265.72","500,729.87"
 ,,,,,,,,,,,,,
Total activos + derechos futuros y contingencias,"5,870,985.57","4,180,323.97","3,256,313.22","2,307,832.83","251,374.46","475,945.60","1,406,330.39","3,427,470.82","175,181.92","692,861.96","873,287.92","1,219,288.68","24,137,197.35"
 ,,,,,,,,,,,,,
Pasivos ,,,,,,,,,,,,,
21 Pasivos de intermediación,"4,933,482.25","3,540,492.10","2,702,960.98","2,074,048.37","204,068.94","374,592.60","1,222,755.69","2,915,765.74","138,861.28","566,154.66","738,282.75","1,089,063.38","20,500,528.73"
211 depósitos,"4,247,930.93","3,015,120.94","2,322,009.72","1,730,637.22","201,546.46","355,305.76","1,045,390.31","2,502,266.95","122,930.04","443,475.29","572,791.00","738,697.64","17,298,102.27"
2110 depósitos a la vista,"3,248,229.81","1,994,303.46","1,312,922.53","657,588.70","198,685.64","242,053.58","564,061.74","1,633,546.07","15,667.66","208,611.85","206,653.10","266,787.47","10,549,111.61"
211001 depósitos en cuenta corriente,"1,006,233.73","885,818.02","568,290.79","350,472.83","167,804.77","49,479.76","330,285.36","1,057,878.49","15,604.30","94,485.37","157,250.28","186,952.31","4,870,556.01"
211002 depósitos de ahorro,"2,239,980.67","1,108,485.43","743,809.81","307,115.87","30,880.87","192,573.82","233,776.38","575,667.59",0.00,"114,126.48","49,396.03","79,835.16","5,675,648.12"
211003 depósitos en cuenta de ahorro simplificada,"2,015.41",0.00,821.93,0.00,0.00,0.00,0.00,0.00,63.36,0.00,6.78,0.00,"2,907.48"
2111 depósitos pactados hasta un año plazo,"832,255.56","927,543.26","851,747.69","858,522.46","1,005.46","102,802.29","419,684.82","795,643.57","88,802.43","227,451.45","336,988.89","288,442.52","5,730,890.41"
2112 depósitos pactados a mas de un año plazo,"94,021.26","29,899.33","106,088.88","190,988.86",0.00,158.83,"33,040.76","55,292.97","15,263.14","3,027.38","21,665.45","172,547.71","721,994.56"
2114 depósitos restringidos e inactivos,"73,424.31","63,374.89","51,250.62","23,537.19","1,855.36","10,291.06","28,602.99","17,784.33","3,196.81","4,384.61","7,483.57","10,919.94","296,105.70"
212 Préstamos,"502,398.16","296,597.57","135,219.05","79,807.62",0.00,"19,047.15","126,228.19","231,695.42","9,966.93","53,075.17","100,274.63","138,111.58","1,692,421.47"
2121 Préstamos pactados hasta un año plazo,"144,941.41","34,912.76","36,973.96","15,392.17",0.00,16.16,"22,702.69","142,752.31","1,779.55","23,447.73","5,740.62","13,224.68","441,884.03"
2122 Préstamos pactados a mas de un año plazo,"93,161.36","24,322.72","4,790.65","57,800.99",0.00,"3,941.25","28,427.00","88,943.11","3,048.00","29,627.43","51,328.06","80,670.00","466,060.58"
2123 Préstamos pactados a cinco o mas años plazo,"264,295.39","237,362.10","93,454.44","6,614.46",0.00,"15,089.73","75,098.51",0.00,"5,139.39",0.00,"43,205.94","44,216.91","784,476.86"
2130 Obligaciones a la vista,"20,915.59","24,718.57","13,500.95","37,021.44","2,522.48",239.69,"7,733.62","18,291.12",849.91,"3,578.15","3,012.45","1,158.17","133,542.15"
214 Títulos de emisión propia,"162,237.56","204,055.01","232,231.26","226,582.09",0.00,0.00,"43,403.57","163,512.25","5,114.39","66,026.05","55,254.68","201,450.69","1,359,867.55"
2141 Títulos de emisión propia pactados hasta un año plazo.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"33,368.20","4,111.21","8,747.65",0.00,"24,844.19","71,071.25"
2142 Pactados a mas de un año plazo,"162,237.56","204,055.01","232,231.26","226,582.09",0.00,0.00,"43,403.57","130,144.05","1,003.18","57,278.40","55,254.68","176,606.51","1,288,796.30"
215 Documentos transados,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"6,950.00","9,645.29","16,595.29"
2151 Documentos transados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"6,950.00","9,645.29","16,595.29"
216 Cheques y otros valores por aplicar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2160 Cheques y otros valores por aplicar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
217 Instrumentos financieros a valor razonable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
