Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,,
Datos al 30 de noviembre de 2024,,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,,
,,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,,
11 Activos," 5,708,399.58 "," 4,016,183.32 "," 3,271,455.10 "," 2,204,845.54 "," 219,429.35 "," 466,079.81 "," 1,376,076.95 "," 3,572,524.22 "," 171,869.62 "," 743,837.82 "," 870,342.12 "," 243,854.44 "," 1,276,888.06 "," 24,141,785.93 ",,
1110 Disponibilidades," 808,598.64 "," 573,544.61 "," 461,695.68 "," 287,631.77 "," 69,279.04 "," 119,917.63 "," 232,103.94 "," 465,078.48 "," 25,525.91 "," 100,255.35 "," 119,619.76 "," 42,662.25 "," 149,249.41 "," 3,455,162.45 ",,
112 Operaciones con pacto de retroventa," 5,411.03 ", 36.75 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 5,447.78 ",,
1121 Operaciones con pacto de retroventa," 5,411.03 ", 36.75 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 5,447.78 ",,
1130 A valor razonable con cambios en resultados (vrcr)," 723,564.16 ", -   , -   , -   , -   , -   , -   , -   , -   ," 2,010.85 ", -   , -   ," 54,514.89 "," 780,089.90 ",,
1131 A valor razonable con cambios en otro resultado integral (vrori), -   , -   ," 383,470.24 "," 886,352.11 ", -   , -   , -   ," 403,962.73 ", -   , -   , -   , -   , -   ," 1,673,785.08 ",,
1132 Derivados financieros para coberturas, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
1134 A costo amortizado," 39,490.36 "," 465,792.60 "," 5,500.45 "," 8,818.60 "," 107,063.42 "," 11,604.15 "," 164,216.82 ", -   ," 23,300.30 "," 65,699.81 "," 119,238.81 ", -   ," 198,978.20 "," 1,209,703.53 ",,
1138 Instrumentos financieros restringidos, -   , -   ," 8,983.37 ", -   , -   , -   , -   , -   , -   , -   ," 6,000.00 ", -   , -   ," 14,983.37 ",,
114 Préstamos," 4,131,335.40 "," 2,976,809.37 "," 2,411,805.36 "," 1,022,043.06 "," 43,086.89 "," 334,558.03 "," 979,756.20 "," 2,703,483.00 "," 123,043.41 "," 575,871.82 "," 625,483.55 "," 201,192.19 "," 874,145.56 "," 17,002,613.82 ",,
1141 Préstamos pactados hasta un año plazo," 770,566.28 "," 376,989.53 "," 376,096.85 "," 72,282.99 "," 43,354.52 "," 50,144.17 "," 311,162.38 "," 630,537.89 "," 7,265.73 "," 74,931.84 "," 106,228.75 "," 3,628.47 "," 137,689.84 "," 2,960,879.22 ",,
1142 Préstamos pactados a más de un año plazo," 3,411,793.82 "," 2,652,387.45 "," 2,052,915.37 "," 954,396.22 ", -   ," 285,449.72 "," 668,961.73 "," 2,090,799.11 "," 116,223.05 "," 502,712.20 "," 525,026.96 "," 197,767.32 "," 738,647.34 "," 14,197,080.29 ",,
1148 Préstamos vencidos," 44,776.27 "," 77,572.55 "," 56,224.33 "," 35,768.51 ", -   ," 8,619.31 "," 23,199.03 "," 37,545.87 "," 7,154.79 "," 1,644.93 "," 20,259.30 "," 4,532.72 "," 3,505.92 "," 320,803.53 ",,
1149 Provisión para incobrabilidad de préstamos,"-95,800.96 ","-130,140.18 ","-73,431.19 ","-40,404.66 ",-267.63 ,"-9,655.16 ","-23,566.94 ","-55,399.88 ","-7,600.16 ","-3,417.15 ","-26,031.46 ","-4,736.32 ","-5,697.54 ","-476,149.22 ",,
12 Otros activos," 107,098.45 "," 91,307.71 "," 37,441.99 "," 28,096.78 "," 3,579.38 "," 10,850.88 "," 28,415.33 "," 31,273.94 "," 9,526.12 "," 6,653.45 "," 13,947.49 "," 7,471.77 "," 29,250.23 "," 404,913.50 ",,
1210 Saldos entre compañías, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
1220 Bienes recibidos en pago o adjudicados," 18,136.25 "," 1,452.03 "," 4,999.39 "," 12,445.38 ", -   ," 4,106.24 "," 1,481.11 "," 1,538.74 ", -   , -   ," 3,279.21 ", 641.71 ," 2,409.19 "," 50,489.25 ",,
1230 Existencias," 1,374.12 ", 196.88 , 362.16 , 168.82 , -   , 321.78 , 38.22 , 172.51 , -   , 43.81 , 97.85 , 21.43 , 27.49 ," 2,825.08 ",,
1240 Gastos pagados por anticipado," 4,445.78 "," 11,537.22 "," 3,682.50 "," 1,182.45 ", 43.35 , 84.11 ," 8,350.21 "," 1,725.94 "," 6,307.56 ", 554.56 ," 3,739.87 "," 2,512.97 "," 2,356.33 "," 46,522.87 ",,
1250 Cuentas por cobrar," 53,614.81 "," 23,455.26 "," 12,819.52 "," 9,955.52 "," 3,036.66 "," 6,250.17 "," 15,943.55 "," 18,783.07 "," 1,822.55 "," 5,084.89 "," 3,911.53 ", 774.30 ," 18,570.83 "," 174,022.64 ",,
1251 Impuestos," 22,731.77 "," 25,931.96 "," 11,697.08 "," 4,379.78 ", 499.37 , 821.90 ," 4,468.28 "," 2,487.11 "," 1,396.01 ", 970.19 ," 3,237.12 "," 2,517.03 "," 3,455.03 "," 84,592.63 ",,
1259 Estimación de pérdida por deterioro de valor,"-3,314.13 ","-2,677.96 ","-2,483.70 ",-149.46 , -   ,-733.33 ,"-1,866.04 ",-368.56 , -   , -   ,-318.09 ,-173.85 ,-97.13 ,"-12,182.24 ",,
"1260 Inversiones en acciones, derechos y participaciones"," 10,109.85 "," 31,412.32 "," 6,365.04 ", 114.28 , -   , -   , -   , -   , -   , -   , -   , -   ," 2,528.49 "," 50,529.99 ",,
1261 Plusvalía comprada, -   , -   , -   , -   , -   , -   , -   ," 6,935.12 ", -   , -   , -   ," 1,178.18 ", -   ," 8,113.30 ",,
1270 Activos mantenidos para la venta, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
13 Activos físicos e intangibles," 125,498.27 "," 114,080.15 "," 62,908.39 "," 21,891.40 "," 2,615.36 "," 20,570.68 "," 29,458.73 "," 53,876.56 "," 9,330.14 "," 5,051.37 "," 23,571.88 "," 9,137.44 "," 26,015.74 "," 504,006.13 ",,
131 Propiedades no depreciables," 29,330.44 "," 41,094.47 "," 18,961.97 "," 8,216.28 ", 247.69 ," 9,197.73 "," 4,253.70 "," 12,772.91 ", -   , 730.09 ," 4,249.37 "," 2,035.17 "," 4,612.26 "," 135,702.09 ",,
1310 Propiedades no depreciables," 29,330.44 "," 41,094.47 "," 18,961.97 "," 8,216.28 ", 247.69 ," 9,197.73 "," 4,253.70 "," 12,772.91 ", -   , 730.09 ," 4,249.37 "," 2,035.17 "," 4,612.26 "," 135,702.09 ",,
132 Propiedades y equipo depreciables," 71,518.92 "," 37,995.46 "," 30,100.60 "," 12,695.40 "," 2,367.67 "," 10,011.88 "," 17,428.62 "," 40,251.27 "," 4,501.37 "," 3,860.82 "," 3,815.82 "," 6,116.71 "," 13,614.46 "," 254,279.00 ",,
1320 Depreciables," 172,548.41 "," 136,356.17 "," 86,268.79 "," 34,498.44 "," 4,559.38 "," 36,590.80 "," 43,991.97 "," 99,084.64 "," 5,033.25 "," 10,095.55 "," 14,602.20 "," 12,090.24 "," 28,461.19 "," 684,181.04 ",,
1329 Depreciación y deterioro acumulada(o) (-),"-101,029.50 ","-98,360.71 ","-56,168.18 ","-21,803.04 ","-2,191.71 ","-26,578.92 ","-26,563.35 ","-58,833.37 ",-531.88 ,"-6,234.73 ","-10,786.38 ","-5,973.53 ","-14,846.73 ","-429,902.04 ",,
133 Intangibles," 24,648.91 "," 34,990.21 "," 13,845.81 ", 979.73 , -   ," 1,361.08 "," 7,776.41 ", 852.39 ," 4,828.77 ", 460.47 ," 15,506.69 ", 985.55 ," 7,789.01 "," 114,025.04 ",,
1330 Intangibles," 41,647.83 "," 69,863.44 "," 36,141.52 "," 1,417.08 ", -   ," 2,872.08 "," 7,776.41 "," 3,381.85 "," 5,097.56 "," 3,425.18 "," 31,647.00 "," 8,703.68 "," 12,919.87 "," 224,893.51 ",,
1339 Amortización y deterioro acumulada(o) (-),"-16,998.91 ","-34,873.23 ","-22,295.71 ",-437.35 , -   ,"-1,511.00 ", -   ,"-2,529.47 ",-268.79 ,"-2,964.71 ","-16,140.31 ","-7,718.13 ","-5,130.86 ","-110,868.46 ",,
Total Activos," 5,940,996.30 "," 4,221,571.17 "," 3,371,805.48 "," 2,254,833.71 "," 225,624.09 "," 497,501.37 "," 1,433,951.02 "," 3,657,674.72 "," 190,725.89 "," 755,542.64 "," 907,861.50 "," 260,463.64 "," 1,332,154.03 "," 25,050,705.57 ",,
,,,,,,,,,,,,,,,,
4110 Cartas de crédito," 17,480.53 "," 9,398.75 "," 6,189.60 ", -   , -   , -   , 33.44 ," 63,595.63 ", -   ," 1,183.08 "," 5,090.46 ", -   , -   ," 102,971.49 ",,
4120 Avales y fianzas," 80,838.58 "," 63,687.98 "," 138,885.63 "," 17,107.22 "," 2,993.77 "," 5,732.38 "," 7,199.97 "," 52,241.52 ", -   ," 16,083.03 "," 1,698.99 ", -   ," 8,771.50 "," 395,240.56 ",,
4129 Provisión por pérdidas,"-15,834.49 ","-14,499.77 ","-5,006.99 ","-11,329.44 ",-7.68 ,"-5,732.38 ", -   ,-36.42 , -   , -   , -   , -   , -   ,"-52,447.17 ",,
4130 Operaciones con instrumentos financieros derivados," 310,468.41 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 310,468.41 ",,
4180 Otras, -   , -   , -   , -   , 2.55 , -   , -   , -   , -   , -   , -   , -   , -   , 2.55 ,,
,,,,,,,,,,,,,,,,
Total derechos futuros y contingencias," 392,953.04 "," 58,586.96 "," 140,068.23 "," 5,777.77 "," 2,988.65 ", -   ," 7,233.41 "," 115,800.73 ", -   ," 17,266.11 "," 6,789.45 ", -   ," 8,771.50 "," 756,235.85 ",,
,,,,,,,,,,,,,,,,
Total activos + derechos futuros y contingencias," 6,333,949.34 "," 4,280,158.13 "," 3,511,873.72 "," 2,260,611.49 "," 228,612.74 "," 497,501.37 "," 1,441,184.42 "," 3,773,475.45 "," 190,725.89 "," 772,808.75 "," 914,650.95 "," 260,463.64 "," 1,340,925.53 "," 25,806,941.41 ",,
,,,,,,,,,,,,,,,,
Pasivos,,,,,,,,,,,,,,,,
21 Pasivos," 5,160,835.58 "," 3,656,575.95 "," 2,945,074.81 "," 2,020,782.61 "," 176,716.95 "," 389,564.13 "," 1,294,261.81 "," 3,241,992.66 "," 152,184.13 "," 639,249.46 "," 800,256.00 "," 214,826.82 "," 1,194,553.62 "," 21,886,874.53 ",,
210 Pasivos financieros a valor razonable con cambios en resultados (vrcr), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
2100 Mantenidos para negociar, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
211 Pasivos financieros a costo amortizado," 5,025,030.62 "," 3,474,863.96 "," 2,732,178.79 "," 1,590,820.19 "," 174,504.99 "," 389,488.87 "," 1,244,711.52 "," 3,074,691.49 "," 141,187.80 "," 579,940.28 "," 774,136.19 "," 199,583.56 "," 1,006,591.36 "," 20,407,729.63 ",,
