Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,
Datos al 30 de noviembre de 2025,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,
,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,
11 Activos," 6,825,506.36 "," 4,562,682.93 "," 3,580,267.96 "," 2,367,998.96 "," 204,490.45 "," 540,451.59 "," 1,502,890.16 "," 3,911,811.22 "," 234,120.38 "," 1,030,799.70 "," 961,303.75 "," 298,138.42 "," 1,440,658.67 "," 27,461,120.57 ",
1110 Disponibilidades," 1,249,441.60 "," 815,976.96 "," 562,307.62 "," 449,143.83 "," 53,422.53 "," 153,593.94 "," 305,133.43 "," 586,848.82 "," 78,253.42 "," 226,725.36 "," 152,080.74 "," 65,569.85 "," 207,830.57 "," 4,906,328.68 ",
112 Operaciones con pacto de retroventa," 5,499.43 "," 6,177.94 ", -   ," 12,545.01 ", -   , -   , -   , -   ," 7,555.50 ", -   , -   ," 2,150.16 ", 900.53 ," 34,828.57 ",
1121 Operaciones con pacto de retroventa," 5,499.43 "," 6,177.94 ", -   ," 12,545.01 ", -   , -   , -   , -   ," 7,555.50 ", -   , -   ," 2,150.16 ", 900.53 ," 34,828.57 ",
1130 A valor razonable con cambios en resultados (vrcr)," 987,375.23 "," 48,794.03 ", -   , -   , -   , -   , -   , -   , -   ," 4,649.12 ", -   ," 3,992.82 "," 113,019.01 "," 1,157,830.22 ",
1131 A valor razonable con cambios en otro resultado integral (vrori), -   , -   ," 241,695.25 "," 748,619.63 ", -   , -   , -   ," 404,832.24 ", -   , -   ," 38,098.58 ", -   , -   ," 1,433,245.71 ",
1132 Derivados financieros para coberturas, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
1134 A costo amortizado," 38,332.07 "," 510,166.23 "," 221,782.41 "," 140,825.77 "," 107,517.05 "," 12,586.31 "," 145,561.69 ", -   ," 20,612.20 "," 63,146.29 "," 114,881.83 ", -   ," 138,768.62 "," 1,514,180.48 ",
1138 Instrumentos financieros restringidos, -   , -   ," 8,987.34 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 8,987.34 ",
114 Préstamos," 4,544,858.03 "," 3,181,567.77 "," 2,545,495.34 "," 1,016,864.71 "," 43,550.87 "," 374,271.34 "," 1,052,195.05 "," 2,920,130.16 "," 127,699.26 "," 736,278.93 "," 656,242.59 "," 226,425.58 "," 980,139.93 "," 18,405,719.58 ",
1141 Préstamos pactados hasta un año plazo," 899,198.64 "," 428,292.36 "," 402,729.93 "," 99,318.16 "," 43,550.87 "," 61,700.02 "," 368,851.15 "," 674,422.10 "," 6,042.44 "," 91,200.49 "," 108,679.85 "," 2,384.14 "," 223,364.39 "," 3,409,734.55 ",
1142 Préstamos pactados a más de un año plazo," 3,706,082.21 "," 2,798,551.15 "," 2,156,424.96 "," 934,404.69 ", -   ," 313,237.16 "," 685,913.50 "," 2,256,614.92 "," 124,332.78 "," 647,350.72 "," 552,165.56 "," 224,162.46 "," 752,915.32 "," 15,152,155.41 ",
1148 Préstamos vencidos," 44,529.67 "," 33,656.22 "," 56,635.48 "," 38,101.45 ", -   ," 8,786.22 "," 20,265.95 "," 36,551.16 "," 4,238.10 "," 1,428.60 "," 16,579.69 "," 4,219.97 "," 13,457.33 "," 278,449.85 ",
1149 Provisión para incobrabilidad de préstamos," (104,952.49)"," (78,931.96)"," (70,295.03)"," (54,959.58)", -   ," (9,452.06)"," (22,835.56)"," (47,458.02)"," (6,914.06)"," (3,700.89)"," (21,182.51)"," (4,340.99)"," (9,597.10)"," (434,620.24)",
12 Otros activos," 104,007.69 "," 79,267.60 "," 40,023.39 "," 38,083.36 "," 6,167.82 "," 9,811.43 "," 30,950.97 "," 42,345.20 "," 11,606.19 "," 4,370.12 "," 11,079.54 "," 7,426.01 "," 43,317.61 "," 428,456.92 ",
1210 Saldos entre compañías, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
1220 Bienes recibidos en pago o adjudicados," 15,194.34 "," 1,555.37 "," 6,119.84 "," 11,207.13 ", -   ," 2,965.90 "," 1,883.75 "," 1,646.67 ", 167.15 , -   ," 1,793.44 ", 420.94 ," 2,761.02 "," 45,715.56 ",
1230 Existencias," 1,183.56 ", 237.47 , 347.20 , 157.50 , -   , 481.44 , 79.58 , 277.28 , 25.33 , 16.74 , 101.25 , 22.79 , 36.13 ," 2,966.28 ",
1240 Gastos pagados por anticipado," 7,351.24 "," 9,127.08 "," 3,069.34 "," 1,348.05 ", 25.29 , 42.22 ," 8,597.58 "," 2,712.00 "," 7,105.54 ", 750.22 ," 3,810.20 "," 2,479.21 "," 4,072.27 "," 50,490.24 ",
1250 Cuentas por cobrar," 45,218.55 "," 25,438.72 "," 15,183.03 "," 17,302.97 "," 5,593.51 "," 6,300.84 "," 16,418.57 "," 28,424.57 "," 2,846.01 "," 1,986.11 "," 2,368.56 ", 559.55 ," 26,816.05 "," 194,457.03 ",
1251 Impuestos," 25,387.38 "," 24,820.95 "," 11,756.07 "," 8,159.69 ", 549.03 , 797.41 ," 5,947.62 "," 2,802.38 "," 1,462.17 "," 1,617.06 "," 3,106.71 "," 2,790.32 "," 3,897.93 "," 93,094.69 ",
1259 Estimación de pérdida por deterioro de valor," (2,862.76)"," (2,079.05)"," (2,898.02)", (206.26), -   , (776.39)," (1,976.13)", (452.83), -   , -   , (100.63), (24.99), (124.85)," (11,501.90)",
"1260 Inversiones en acciones, derechos y participaciones"," 12,535.38 "," 20,167.06 "," 6,445.92 ", 114.28 , -   , -   , -   , -   , -   , -   , -   , -   ," 5,859.07 "," 45,121.71 ",
1261 Plusvalía comprada, -   , -   , -   , -   , -   , -   , -   ," 6,935.12 ", -   , -   , -   ," 1,178.18 ", -   ," 8,113.30 ",
1270 Activos mantenidos para la venta, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
13 Activos físicos e intangibles," 130,637.46 "," 108,066.90 "," 62,085.67 "," 20,765.43 "," 2,013.20 "," 20,662.63 "," 30,166.76 "," 59,667.33 "," 8,953.59 "," 11,037.71 "," 25,466.49 "," 9,122.42 "," 25,091.06 "," 513,736.64 ",
131 Propiedades no depreciables," 29,221.87 "," 40,887.33 "," 18,814.12 "," 7,957.74 ", 247.69 ," 9,129.93 "," 4,170.64 "," 23,841.95 ", -   , 730.09 , 400.00 ," 1,655.88 "," 3,533.10 "," 140,590.34 ",
1310 Propiedades no depreciables," 29,221.87 "," 40,887.33 "," 18,814.12 "," 7,957.74 ", 247.69 ," 9,129.93 "," 4,170.64 "," 23,841.95 ", -   , 730.09 , 400.00 ," 1,655.88 "," 3,533.10 "," 140,590.34 ",
132 Propiedades y equipo depreciables," 81,312.58 "," 36,297.50 "," 28,468.06 "," 11,846.46 "," 1,765.51 "," 9,926.49 "," 16,817.53 "," 34,538.19 "," 4,237.60 "," 9,523.39 "," 7,672.90 "," 6,501.18 "," 14,615.52 "," 263,522.93 ",
1320 Depreciables," 189,795.96 "," 134,809.50 "," 87,336.50 "," 33,438.42 "," 4,641.16 "," 37,419.21 "," 46,870.31 "," 100,924.19 "," 4,961.25 "," 16,726.81 "," 19,476.17 "," 13,718.50 "," 32,298.30 "," 722,416.27 ",
1329 Depreciación y deterioro acumulada(o) (-)," (108,483.37)"," (98,512.00)"," (58,868.43)"," (21,591.96)"," (2,875.65)"," (27,492.72)"," (30,052.78)"," (66,386.00)", (723.65)," (7,203.41)"," (11,803.27)"," (7,217.31)"," (17,682.78)"," (458,893.34)",
133 Intangibles," 20,103.01 "," 30,882.07 "," 14,803.48 ", 961.23 , -   ," 1,606.21 "," 9,178.59 "," 1,287.18 "," 4,716.00 ", 784.23 ," 17,393.59 ", 965.36 ," 6,942.44 "," 109,623.38 ",
1330 Intangibles," 44,756.09 "," 82,676.33 "," 40,090.86 "," 1,822.92 ", -   ," 5,051.13 "," 9,178.59 "," 4,613.87 "," 8,217.26 "," 4,008.03 "," 36,361.89 "," 9,809.82 "," 14,113.62 "," 260,700.41 ",
1339 Amortización y deterioro acumulada(o) (-)," (24,653.08)"," (51,794.27)"," (25,287.38)", (861.69), -   ," (3,444.92)", -   ," (3,326.69)"," (3,501.27)"," (3,223.80)"," (18,968.30)"," (8,844.46)"," (7,171.18)"," (151,077.03)",
Total Activos," 7,060,151.51 "," 4,750,017.44 "," 3,682,377.02 "," 2,426,847.74 "," 212,671.47 "," 570,925.65 "," 1,564,007.89 "," 4,013,823.75 "," 254,680.17 "," 1,046,207.53 "," 997,849.78 "," 314,686.85 "," 1,509,067.34 "," 28,403,314.13 ",
,,,,,,,,,,,,,,,
4110 Cartas de crédito," 28,376.24 "," 9,028.06 "," 14,452.84 ", 515.94 , -   , -   , -   ," 102,424.46 ", -   ," 1,135.81 "," 4,081.49 ", -   , -   ," 160,014.83 ",
4120 Avales y fianzas," 71,708.48 "," 78,571.25 "," 102,303.33 "," 12,580.67 "," 3,516.57 "," 5,732.38 "," 7,849.42 "," 52,846.68 ", -   ," 14,834.76 "," 3,936.38 ", -   ," 9,303.35 "," 363,183.27 ",
4129 Provisión por pérdidas," (16,008.03)"," (14,925.50)"," (4,261.54)"," (9,206.82)", -   ," (5,732.38)", -   , (39.99), -   , -   , -   , -   , -   ," (50,174.25)",
4130 Operaciones con instrumentos financieros derivados," 4,317.18 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 4,317.18 ",
4180 Otras, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
,,,,,,,,,,,,,,,
Total derechos futuros y contingencias," 88,393.88 "," 72,673.80 "," 112,494.63 "," 3,889.78 "," 3,516.57 ", -   ," 7,849.42 "," 155,231.15 ", -   ," 15,970.57 "," 8,017.86 ", -   ," 9,303.35 "," 477,341.03 ",
,,,,,,,,,,,,,,,
Total activos + derechos futuros y contingencias," 7,148,545.39 "," 4,822,691.24 "," 3,794,871.65 "," 2,430,737.53 "," 216,188.04 "," 570,925.65 "," 1,571,857.31 "," 4,169,054.90 "," 254,680.17 "," 1,062,178.10 "," 1,005,867.64 "," 314,686.85 "," 1,518,370.70 "," 28,880,655.16 ",
,,,,,,,,,,,,,,,
Pasivos,,,,,,,,,,,,,,,
21 Pasivos," 6,240,736.54 "," 4,137,554.06 "," 3,234,426.97 "," 2,179,982.90 "," 165,939.94 "," 454,393.57 "," 1,417,017.56 "," 3,567,938.60 "," 213,875.89 "," 920,592.82 "," 881,633.97 "," 265,496.40 "," 1,349,277.60 "," 25,028,866.82 ",
210 Pasivos financieros a valor razonable con cambios en resultados (vrcr), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
2100 Mantenidos para negociar, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
211 Pasivos financieros a costo amortizado," 6,179,361.29 "," 3,989,496.27 "," 3,090,042.77 "," 1,745,869.83 "," 164,726.32 "," 453,911.82 "," 1,373,404.98 "," 3,440,820.40 "," 203,790.64 "," 881,537.82 "," 866,393.80 "," 255,939.53 "," 1,246,771.02 "," 23,892,066.47 ",
2110 Depósitos a la vista," 4,353,230.77 "," 2,504,095.69 "," 1,666,292.70 "," 775,774.18 "," 122,997.04 "," 297,806.64 "," 656,250.83 "," 2,106,626.55 "," 26,407.21 "," 305,094.33 "," 262,535.49 "," 80,736.09 "," 510,421.11 "," 13,668,268.63 ",
