Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,,
Datos al 31 de Diciembre de 2020,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A. 1/","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco Cuscatlán Sv, S.A. 1/","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,,
11 Activos de intermediación,"5,047,827.24","3,521,163.46","2,842,246.48","1,329,031.91","244,835.46","398,797.55","421,764.81","1,259,187.15",0.00,"2,806,218.38","69,613.33","397,175.68","514,881.04","739,008.22","19,591,750.72"
1110 Fondos disponibles,"976,532.33","787,771.47","333,913.26","266,874.30","79,901.75","118,793.46","73,615.33","267,797.35",0.00,"597,851.61","13,341.68","53,270.75","94,827.57","131,185.63","3,795,676.49"
112 Adquisición temporal de documentos,"14,771.58",0.00,0.00,"6,216.38",0.00,0.00,474.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"21,462.90"
1121 Documentos adquiridos hasta un año plazo,"14,771.58",0.00,0.00,"6,216.38",0.00,0.00,474.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"21,462.90"
1128 Documentos vencidos,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1129 Provisión por pérdidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
113 Inversiones financieras,"848,477.91","370,679.98","496,792.92","173,026.00","149,009.59","9,954.71","90,910.41","183,549.57",0.00,"297,773.78","13,485.24","114,031.21","59,367.39","103,415.34","2,910,474.04"
1130 Titulos valores conservados para negociación,0.00,0.00,0.00,"162,788.83","17,421.11",0.00,"5,478.92",0.00,0.00,0.00,"2,700.95",100.67,0.00,"5,000.00","193,490.48"
1131 Titulos valores para conservarse hasta el vencimiento,"18,772.80",502.04,"24,835.27","2,147.19",0.00,"9,954.71","85,431.49",0.00,0.00,0.00,0.00,"96,567.68","17,726.35","94,935.80","350,873.32"
1132 Titulos valores disponibles para venta,"829,717.55","370,177.94","471,957.65","8,089.99","131,588.48",0.00,0.00,"183,549.57",0.00,"297,773.78","10,784.28","17,362.86","41,641.04","3,479.54","2,366,122.69"
1138 Inversiones vencidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1139 Provisión para valuacion de inversiones,-12.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-12.44
114 Préstamos,"3,208,045.42","2,362,712.02","2,011,540.30","882,915.23","15,924.11","270,049.38","256,764.13","807,840.22",0.00,"1,910,592.99","42,786.42","229,873.72","360,686.08","504,407.25","12,864,137.28"
1141 Préstamos pactados hasta un año plazo,"502,365.24","190,470.06","299,169.51","118,518.63","15,989.45","41,566.06","54,436.55","218,924.81",0.00,"409,140.72","1,028.08","21,908.86","46,225.73","58,339.38","1,978,083.10"
1142 Préstamos pactados a mas de un año plazo,"2,817,715.87","2,206,443.37","1,735,454.68","770,618.34",0.00,"231,114.24","207,921.31","607,123.47",0.00,"1,519,533.41","41,926.49","209,679.71","318,248.20","447,900.87","11,113,679.97"
1148 Préstamos vencidos,"38,319.83","61,733.64","41,358.48","13,766.55",0.00,"8,335.06","3,614.00","8,244.15",0.00,"31,395.14","3,528.18","1,614.92","1,782.74","2,855.20","216,547.87"
1149 Provisión para incobrabilidad de préstamos,"-150,355.52","-95,935.06","-64,442.37","-19,988.29",-65.34,"-10,965.98","-9,207.74","-26,452.21",0.00,"-49,476.28","-3,696.33","-3,329.77","-5,570.59","-4,688.19","-444,173.67"
12 Otros activos,"155,973.08","114,837.35","57,486.22","21,593.40","1,108.28","13,158.21","6,724.13","55,032.06",0.00,"31,307.67","7,422.12","1,937.37","20,144.21","16,422.46","503,146.56"
1210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1220 Bienes recibidos en pago o adjudicados,"38,864.93","5,750.34","13,852.59","13,775.08",0.00,"5,543.95","1,544.74","12,672.62",0.00,"9,390.16",0.00,0.00,"1,856.11","5,088.38","108,338.89"
1230 Existencias,402.78,344.04,327.89,45.92,0.00,326.93,74.19,285.43,0.00,401.75,0.00,42.83,25.13,13.08,"2,289.97"
1240 Gastos pagados por anticipado y cargos diferidos,"54,998.32","43,672.63","31,121.47","3,009.96",433.54,"1,973.33","4,122.97","15,689.72",0.00,"9,321.16","5,556.24","1,246.66","16,501.31","3,914.42","191,561.74"
1250 Cuentas por cobrar,"52,810.80","37,070.85","7,914.38","4,732.40",674.73,"6,091.16",413.34,"27,026.47",0.00,"12,550.48","1,865.88",647.87,"1,780.89","7,489.63","161,068.88"
1259 Provisión de incobrabilidad de cuentas por cobrar,"-1,616.84","-2,428.23","-1,725.19",-84.25,0.00,-777.15,-106.35,-642.17,0.00,-355.87,0.00,0.00,-19.22,-83.05,"-7,838.32"
1260 derechos y participaciones,"10,513.08","30,427.73","5,995.06",114.28,0.00,0.00,675.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"47,725.40"
13 Activo fijo,"90,714.27","100,782.65","47,119.99","16,997.56","1,254.28","19,699.58","5,437.44","17,186.55",0.00,"29,614.08","2,711.31",968.75,"1,820.69","13,668.79","347,975.94"
1310 No depreciables,"30,734.64","42,934.12","21,715.56","8,470.21",247.69,"8,353.71","3,486.79","1,859.11",0.00,"3,500.48",0.00,140.25,52.07,"9,309.53","130,804.15"
1320 depreciables,"157,255.46","116,132.13","62,355.08","23,406.09","2,618.44","34,144.94","6,340.59","33,417.43",0.00,"47,358.91","10,957.11","3,007.99","5,296.76","17,516.49","519,807.43"
1329 depreciación acumulada,"-98,842.06","-88,576.25","-42,426.31","-16,014.02","-1,667.92","-24,068.60","-4,485.69","-19,732.10",0.00,"-25,011.61","-9,211.69","-2,622.99","-4,616.48","-14,590.43","-351,866.14"
1330 Amortizables,"1,566.22","30,292.65","5,475.67","1,135.29",56.07,"1,269.53",95.74,"1,642.11",0.00,"3,766.30",965.88,443.50,"1,088.34","1,433.19","49,230.49"
Total Activos,"5,294,514.59","3,736,783.46","2,946,852.69","1,367,622.87","247,198.02","431,655.34","433,926.38","1,331,405.76",0.00,"2,867,140.14","79,746.76","400,081.79","536,845.94","769,099.47","20,442,873.21"
 ,,,,,,,,,,,,,,,
4110 Cartas de crédito,"22,875.88","20,701.60","9,194.21","12,815.91",83.47,0.00,"6,768.97",0.00,0.00,"34,080.14",0.00,598.81,122.00,0.00,"107,240.99"
4119 Provisión por pérdidas,0.00,-2.82,0.00,-1.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.95
4120 Contingencias por avales y fianzas,"116,797.94","126,749.12","74,675.12","16,942.12","10,303.12","6,379.71","4,076.33","9,990.91",0.00,"62,700.08",0.00,"13,075.61",0.00,"4,713.14","446,403.20"
4129 Provisión por pérdidas,"-15,760.42","-15,664.15","-9,619.67","-5,866.95",-38.82,"-5,213.41",0.00,0.00,0.00,-656.82,0.00,-2.24,0.00,0.00,"-52,822.50"
4131 derechos por operaciones en moneda extranjera,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4139 Prov. pérdidas en derechos por operac. en mon. extran.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,,,,,,,,,,,,,,,
Total derechos futuros y contingencias,"123,913.40","131,783.75","74,249.66","23,889.95","10,347.76","1,166.30","10,845.30","9,990.91",0.00,"96,123.40",0.00,"13,672.17",122.00,"4,713.14","500,817.74"
 ,,,,,,,,,,,,,,,
Total activos + derechos futuros y contingencias,"5,418,427.99","3,868,567.21","3,021,102.35","1,391,512.82","257,545.78","432,821.64","444,771.68","1,341,396.66",0.00,"2,963,263.54","79,746.76","413,753.96","536,967.95","773,812.61","20,943,690.95"
 ,,,,,,,,,,,,,,,
Pasivos ,,,,,,,,,,,,,,,
21 Pasivos de intermediación,"4,604,005.06","3,226,908.17","2,582,216.00","1,212,367.41","198,737.30","347,867.68","370,654.51","1,157,071.18",0.00,"2,540,265.30","51,772.06","348,553.56","480,951.71","687,408.34","17,808,778.26"
211 depósitos,"4,043,178.11","2,813,623.39","2,090,035.30","1,059,104.82","175,916.96","334,946.17","333,273.58","1,009,268.60",0.00,"2,185,919.33","51,692.60","294,614.62","353,546.88","505,205.85","15,250,326.21"
2110 depósitos a la vista,"3,010,170.33","1,715,570.13","1,162,531.92","512,214.31","173,041.87","212,543.00","169,330.65","537,876.02",0.00,"1,475,923.60","11,516.27","112,182.56","123,964.04","210,617.83","9,427,482.52"
211001 depósitos en cuenta corriente,"1,152,320.52","847,965.26","568,428.32","270,344.52","149,319.79","57,515.36","125,965.08","341,354.08",0.00,"960,068.38","11,516.27","43,237.77","85,690.09","147,839.90","4,761,565.33"
211002 depósitos de ahorro,"1,856,646.42","867,604.87","593,561.57","241,867.99","23,722.08","155,027.64","43,365.57","196,521.94",0.00,"515,855.22",0.00,"68,944.79","38,271.55","62,777.93","4,664,167.57"
211003 depósitos en cuenta de ahorro simplificada,"1,203.39",0.00,542.02,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.40,0.00,"1,749.62"
2111 depósitos pactados hasta un año plazo,"888,731.68","1,002,410.59","733,953.30","486,304.39","1,000.05","115,695.10","158,670.19","447,572.25",0.00,"650,743.49","35,389.32","177,424.27","203,767.53","267,475.50","5,169,137.66"
2112 depósitos pactados a mas de un año plazo,"68,852.05","18,520.30","142,695.95","44,876.34",0.00,245.56,0.00,"2,149.96",0.00,"41,818.96",0.00,302.64,"19,114.09","20,925.16","359,501.01"
2114 depósitos restringidos e inactivos,"75,424.05","77,122.37","50,854.13","15,709.79","1,875.04","6,462.51","5,272.74","21,670.37",0.00,"17,433.29","4,787.00","4,705.15","6,701.21","6,187.37","294,205.02"
212 Préstamos,"330,240.12","239,863.39","312,922.38","117,405.68","20,002.38","11,944.00","11,397.29","140,194.79",0.00,"205,401.17",0.00,"52,296.00","68,729.35","95,972.23","1,606,368.79"
2121 Préstamos pactados hasta un año plazo,"30,485.19","20,127.79","162,819.65","24,654.09","20,002.38",35.98,"5,907.07","16,111.71",0.00,"137,530.16",0.00,"8,229.20",95.11,"8,888.40","434,886.72"
2122 Préstamos pactados a mas de un año plazo,"61,744.75","56,439.88","10,100.26","73,410.78",0.00,"11,899.51","5,490.22","53,399.04",0.00,"67,871.01",0.00,"44,066.80","53,261.79","61,874.29","499,558.34"
2123 Préstamos pactados a cinco o mas años plazo,"238,010.18","163,295.72","140,002.48","19,340.82",0.00,8.50,0.00,"70,684.04",0.00,0.00,0.00,0.00,"15,372.45","25,209.53","671,923.73"
2130 Obligaciones a la vista,"18,466.70","15,376.91","34,281.29","35,856.90","2,817.97",977.50,881.17,"7,607.79",0.00,"12,815.97",59.13,"1,642.94","1,838.84","1,351.20","133,974.31"
214 Títulos de emisión propia,"212,120.14","158,044.48","144,977.02",0.00,0.00,0.00,"25,102.46",0.00,0.00,"136,128.83",0.00,0.00,"56,836.64","79,879.07","813,088.62"
2141 Títulos de emisión propia pactados hasta un año plazo.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,830.97,830.97
