Superintendencia del Sistema Financiero,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,
Datos al 31 de Diciembre de 2021,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,
11 Activos de intermediación,"5,095,520.81","3,489,907.19","2,855,867.37","1,608,572.63","205,263.38","441,218.10","365,607.20","1,265,598.12","2,913,959.92","97,389.18","445,920.55","549,334.39","972,252.10","20,306,410.96"
1110 Fondos disponibles,"929,680.94","625,792.01","464,815.04","248,016.85","119,799.45","152,818.93","66,600.09","263,432.78","534,928.37","16,182.85","83,570.28","67,017.45","252,019.98","3,824,675.02"
112 Adquisición temporal de documentos,0.00,0.00,0.00,"4,488.00",0.00,"1,215.56",0.00,0.00,0.00,0.00,0.00,0.00,"1,671.29","7,374.84"
1121 Documentos adquiridos hasta un año plazo,0.00,0.00,0.00,"4,488.00",0.00,"1,215.56",0.00,0.00,0.00,0.00,0.00,0.00,"1,671.29","7,374.84"
1128 Documentos vencidos,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1129 Provisión por pérdidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
113 Inversiones financieras,"748,677.87","411,029.48","291,411.30","362,778.91","69,548.84","11,590.54","74,342.81","184,371.08","313,513.56","3,508.72","52,682.57","93,212.10","146,327.59","2,762,995.37"
1130 Titulos valores conservados para negociación,"4,027.11",0.00,0.00,"359,183.76",0.00,0.00,254.51,0.00,0.00,0.00,227.77,"5,640.00","13,063.56","382,396.72"
1131 Titulos valores para conservarse hasta el vencimiento,"47,601.18","10,150.97","8,197.61","2,147.66",0.00,"11,590.54","74,088.30",0.00,0.00,0.00,"35,122.53","12,910.44","133,264.02","335,073.25"
1132 Titulos valores disponibles para venta,"697,049.58","401,036.00","283,122.54","1,447.49","69,548.84",0.00,0.00,"184,371.08","313,513.56","3,508.72","17,332.27","74,661.67",0.00,"2,045,591.76"
1134 Instrumentos financieros para cobertura,0.00,0.00,91.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,91.15
1138 Inversiones vencidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1139 Provisión para valuacion de inversiones,0.00,-157.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-157.50
114 Préstamos,"3,417,162.01","2,453,085.71","2,099,641.02","993,288.87","15,915.09","275,593.07","224,664.30","817,794.27","2,065,517.99","77,697.61","309,667.70","389,104.84","572,233.24","13,711,365.72"
1141 Préstamos pactados hasta un año plazo,"542,706.99","274,439.33","267,355.73","72,749.85","15,928.80","36,901.44","72,529.26","232,122.55","412,810.57","5,216.07","39,276.34","41,914.50","91,966.54","2,105,917.98"
1142 Préstamos pactados a mas de un año plazo,"2,947,365.13","2,206,970.48","1,847,624.77","932,167.25",0.00,"240,879.48","153,604.90","595,186.85","1,668,005.48","72,857.31","272,323.07","350,238.68","484,190.93","11,771,414.34"
1148 Préstamos vencidos,"47,549.63","85,069.19","38,783.68","15,205.37",0.00,"8,104.54","5,800.08","21,172.24","33,412.58","5,590.95","1,319.31","2,632.84","3,343.86","267,984.25"
1149 Provisión para incobrabilidad de préstamos,"-120,459.74","-113,393.30","-54,123.16","-26,833.60",-13.71,"-10,292.39","-7,269.95","-30,687.37","-48,710.64","-5,966.71","-3,251.02","-5,681.18","-7,268.09","-433,950.86"
12 Otros activos,"135,087.36","98,077.31","55,591.44","19,997.17","1,417.78","10,045.25","6,356.59","43,114.93","30,963.23","8,111.00","2,257.03","21,281.93","24,708.98","457,009.98"
1210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1220 Bienes recibidos en pago o adjudicados,"33,281.33","3,627.11","10,005.86","13,750.62",0.00,"4,482.13","1,858.81","13,104.61","6,847.32",0.00,0.00,994.93,"4,554.44","92,507.17"
1230 Existencias,644.32,215.69,333.21,106.39,0.00,253.73,74.42,250.49,421.30,0.00,59.20,88.75,23.38,"2,470.88"
1240 Gastos pagados por anticipado y cargos diferidos,"51,440.26","35,577.47","32,744.34","1,680.47",358.37,"1,072.09","3,662.61","18,488.53","12,168.99","5,731.81","1,179.81","16,626.51","5,307.12","186,038.36"
1250 Cuentas por cobrar,"40,603.33","29,776.64","7,971.83","4,445.90","1,059.41","5,023.97",309.29,"11,382.46","11,907.45","2,379.18","1,018.02","3,601.11","13,659.56","133,138.15"
1259 Provisión de incobrabilidad de cuentas por cobrar,"-2,337.42","-2,844.16","-1,843.30",-100.49,0.00,-786.68,-45.44,-111.15,-381.84,0.00,0.00,-29.38,-103.26,"-8,583.12"
1260 derechos y participaciones,"11,455.54","31,724.56","6,379.50",114.28,0.00,0.00,496.91,0.00,0.00,0.00,0.00,0.00,"1,267.75","51,438.54"
13 Activo fijo,"86,351.53","113,745.89","44,617.54","16,220.26","1,142.77","20,452.19","5,134.04","16,338.58","36,151.88","3,362.10","2,137.08","1,645.40","6,963.83","354,263.10"
1310 No depreciables,"30,590.77","41,818.21","18,734.11","8,006.21",247.69,"8,514.40","3,496.68","2,171.26","12,317.43",0.00,870.33,79.58,"3,511.00","130,357.68"
1320 depreciables,"140,255.77","115,183.19","64,914.01","21,910.78","2,270.33","35,677.34","6,448.97","33,887.16","46,948.21","11,333.47","3,538.52","5,374.98","15,197.83","502,940.55"
1329 depreciación acumulada,"-85,779.77","-88,777.29","-43,709.48","-15,594.62","-1,474.91","-24,924.90","-4,879.49","-21,323.03","-26,878.74","-10,094.25","-2,651.16","-4,822.25","-12,029.95","-342,939.84"
1330 Amortizables,"1,284.76","45,521.78","4,678.90","1,897.90",99.67,"1,185.35",67.88,"1,603.19","3,764.98","2,122.88",379.39,"1,013.09",284.94,"63,904.71"
Total Activos,"5,316,959.70","3,701,730.39","2,956,076.35","1,644,790.06","207,823.93","471,715.53","377,097.84","1,325,051.64","2,981,075.03","108,862.28","450,314.66","572,261.72","1,003,924.91","21,117,684.04"
 ,,,,,,,,,,,,,,
4110 Cartas de crédito,"43,289.82","15,152.29","20,128.72",908.37,735.00,0.00,"2,907.01",0.00,"38,626.28",0.00,"1,095.89",100.22,0.00,"122,943.58"
4119 Provisión por pérdidas,-1.94,-2.78,0.00,-1.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-6.23
4120 Contingencias por avales y fianzas,"142,845.79","109,162.88","89,915.15","15,998.15","8,450.73","6,360.76","3,094.13","10,261.99","107,423.77",0.00,"18,489.21",0.00,"5,561.37","517,563.93"
4129 Provisión por pérdidas,"-16,299.30","-15,724.73","-4,703.65","-6,073.61",-45.39,"-5,423.74",0.00,0.00,-124.81,0.00,0.00,0.00,0.00,"-48,395.25"
4131 derechos por operaciones en moneda extranjera,"14,705.23",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"14,705.23"
4139 Prov. pérdidas en derechos por operac. en mon. extran.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,,,,,,,,,,,,,,
Total derechos futuros y contingencias,"184,539.59","108,587.66","105,340.22","10,831.40","9,140.33",937.02,"6,001.13","10,261.99","145,925.23",0.00,"19,585.10",100.22,"5,561.37","606,811.27"
 ,,,,,,,,,,,,,,
Total activos + derechos futuros y contingencias,"5,501,499.29","3,810,318.05","3,061,416.56","1,655,621.46","216,964.27","472,652.55","383,098.97","1,335,313.63","3,127,000.26","108,862.28","469,899.76","572,361.94","1,009,486.28","21,724,495.31"
 ,,,,,,,,,,,,,,
Pasivos ,,,,,,,,,,,,,,
21 Pasivos de intermediación,"4,517,233.37","3,184,778.86","2,562,874.72","1,468,278.87","165,429.73","382,159.06","313,231.36","1,147,642.85","2,651,111.95","78,984.36","359,149.98","510,473.02","907,872.77","18,249,220.89"
211 depósitos,"3,943,686.61","2,777,085.79","2,050,963.67","1,339,791.32","163,378.86","369,255.54","280,347.72","982,000.46","2,285,782.72","75,878.80","317,318.02","376,392.21","657,189.05","15,619,070.77"
2110 depósitos a la vista,"3,042,109.97","1,788,235.48","1,204,572.46","676,138.20","161,703.00","248,851.54","144,492.41","561,534.41","1,587,857.82","11,940.64","141,840.98","121,563.03","394,210.70","10,085,050.64"
211001 depósitos en cuenta corriente,"1,041,764.84","794,009.38","576,068.67","377,588.53","159,466.99","66,650.69","98,427.77","333,317.79","1,038,696.44","11,940.64","55,240.98","87,998.34","321,371.78","4,962,542.85"
211002 depósitos de ahorro,"1,998,464.35","994,226.09","627,762.84","298,549.67","2,236.01","182,200.85","46,064.64","228,216.62","549,161.37",0.00,"86,600.00","33,559.79","72,838.93","5,119,881.17"
211003 depósitos en cuenta de ahorro simplificada,"1,880.78",0.00,740.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.89,0.00,"2,626.63"
2111 depósitos pactados hasta un año plazo,"765,872.34","900,363.93","714,760.32","596,082.28",0.00,"113,281.55","131,210.62","400,801.98","641,987.31","59,978.87","169,917.00","230,987.95","233,852.55","4,959,096.70"
2112 depósitos pactados a mas de un año plazo,"65,210.62","18,079.30","82,563.14","48,590.97",0.00,243.15,0.00,"2,383.86","36,553.06",0.00,"1,864.16","20,253.46","20,738.70","296,480.41"
2114 depósitos restringidos e inactivos,"70,493.68","70,407.08","49,067.74","18,979.88","1,675.86","6,879.29","4,644.70","17,280.21","19,384.54","3,959.29","3,695.87","3,587.77","8,387.10","278,443.01"
212 Préstamos,"392,356.85","236,694.23","299,560.32","96,085.38",0.00,"11,681.51","6,672.43","158,920.85","240,348.22","3,015.78","40,076.85","80,125.66","127,210.13","1,692,748.22"
2121 Préstamos pactados hasta un año plazo,"130,555.67","99,256.03","149,903.58","20,990.07",0.00,16.20,"5,005.31","35,153.97","183,818.61","3,015.78","35,439.18",93.58,"12,019.50","675,267.47"
2122 Préstamos pactados a mas de un año plazo,"8,769.78",111.44,"7,346.67","60,692.79",0.00,"8,009.87","1,667.12","45,215.72","56,529.61",0.00,"4,637.67","59,696.91","86,570.73","339,248.32"
2123 Préstamos pactados a cinco o mas años plazo,"253,031.41","137,326.76","142,310.07","14,402.51",0.00,"3,655.44",0.00,"78,551.16",0.00,0.00,0.00,"20,335.18","28,619.90","678,232.43"
2130 Obligaciones a la vista,"19,109.17","18,166.89","10,408.21","32,402.17","2,050.87","1,222.01","1,108.47","6,721.54","19,208.66",89.77,"1,755.11","1,139.77","1,358.60","114,741.25"
214 Títulos de emisión propia,"162,080.74","152,831.94","201,942.52",0.00,0.00,0.00,"25,102.74",0.00,"105,772.34",0.00,0.00,"47,175.38","109,051.43","803,957.08"
2141 Títulos de emisión propia pactados hasta un año plazo.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"12,524.40","12,524.40"
2142 Pactados a mas de un año plazo,"162,080.74","152,831.94","201,942.52",0.00,0.00,0.00,"25,102.74",0.00,"105,772.34",0.00,0.00,"47,175.38","96,527.03","791,432.68"
215 Documentos transados,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"5,640.00","13,063.56","18,703.56"
