Superintendencia del Sistema Financiero,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,
Datos al 31 de Diciembre de 2023,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,
,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,
11 Activos de intermediación,"5,448,291.51","3,815,825.57","3,001,013.56","2,221,121.09","262,861.61","447,039.94","1,339,563.90","3,256,024.76","164,309.23","667,279.88","834,523.65","1,167,019.65","22,624,874.35"
1110 Fondos disponibles,"812,897.61","546,116.80","412,958.98","279,390.99","126,287.84","110,110.04","210,830.91","445,622.64","22,287.15","93,112.62","103,469.99","129,347.35","3,292,432.91"
112 Adquisición temporal de documentos,"1,987.50",0.00,0.00,"4,300.00",0.00,84.44,0.00,0.00,"1,000.00",0.00,0.00,924.51,"8,296.45"
1121 Documentos adquiridos hasta un año plazo,"1,987.50",0.00,0.00,"4,300.00",0.00,84.44,0.00,0.00,"1,000.00",0.00,0.00,924.51,"8,296.45"
1128 Documentos vencidos,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1129 Provisión por pérdidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
113 Inversiones financieras,"729,231.97","489,722.71","327,996.83","910,562.69","109,834.92","12,706.42","171,322.21","390,484.78","14,780.35","64,537.28","120,673.13","250,887.56","3,592,740.85"
1130 Titulos valores conservados para negociación,"11,381.27",0.00,0.00,"908,280.49",0.00,0.00,0.00,0.00,0.00,262.42,"16,278.20","6,750.00","942,952.37"
1131 Titulos valores para conservarse hasta el vencimiento,"71,843.17",0.00,"5,206.67","2,148.77",0.00,"12,706.42",0.00,0.00,0.00,"47,001.20",880.25,"244,137.56","383,924.04"
1132 Titulos valores disponibles para venta,"646,007.54","489,722.71","322,790.16",133.43,"109,834.92",0.00,"171,322.21","390,484.78","14,780.35","17,273.66","103,514.68",0.00,"2,265,864.43"
1134 Instrumentos financieros para cobertura,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1138 Inversiones vencidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1139 Provisión para valuacion de inversiones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
114 Préstamos,"3,904,174.43","2,779,986.07","2,260,057.75","1,026,867.41","26,738.86","324,139.05","957,410.78","2,419,917.33","126,241.73","509,629.98","610,380.53","785,860.23","15,731,404.15"
1141 Préstamos pactados hasta un año plazo,"608,302.95","352,374.57","351,421.68","80,572.12","26,800.30","46,774.84","309,663.74","489,116.77","6,464.26","82,110.50","110,224.10","83,517.01","2,547,342.84"
1142 Préstamos pactados a mas de un año plazo,"3,360,451.05","2,467,538.91","1,922,972.55","958,170.12",0.00,"277,988.05","651,220.17","1,943,551.14","123,206.50","429,543.19","504,232.31","704,807.99","13,343,681.98"
1148 Préstamos vencidos,"43,888.42","80,169.21","49,938.88","22,588.35",0.00,"8,944.44","20,342.41","39,301.60","9,951.55","1,273.73","16,003.49","3,260.39","295,662.46"
1149 Provisión para incobrabilidad de préstamos,"-108,467.98","-120,096.61","-64,275.36","-34,463.18",-61.44,"-9,568.28","-23,815.54","-52,052.18","-13,380.57","-3,297.44","-20,079.38","-5,725.16","-455,283.13"
12 Otros activos,"154,511.15","87,243.56","48,825.99","33,348.68","3,366.21","12,784.45","34,695.25","34,650.03","10,924.00","3,233.18","30,407.41","32,783.12","486,773.03"
1210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1220 Bienes recibidos en pago o adjudicados,"20,098.46","2,490.05","7,653.05","12,331.58",0.00,"4,985.67","2,856.64","2,038.29",0.00,0.00,"3,298.53","2,704.87","58,457.15"
1230 Existencias,879.02,204.37,435.37,162.70,0.00,362.17,144.81,254.01,0.00,41.02,97.85,38.21,"2,619.55"
1240 Gastos pagados por anticipado y cargos diferidos,"57,274.35","36,144.01","24,423.63","3,266.10",441.12,"1,213.64","15,906.30","11,476.53","9,578.03","1,802.31","23,098.21","12,792.94","197,417.18"
1250 Cuentas por cobrar,"65,728.38","19,341.59","12,433.47","17,577.98","2,925.09","6,935.57","16,693.54","21,239.74","1,345.97","1,389.85","4,162.44","15,352.63","185,126.27"
1259 Provisión de incobrabilidad de cuentas por cobrar,"-1,739.95","-2,387.08","-2,276.91",-103.97,0.00,-712.61,-906.04,-358.53,0.00,0.00,-249.63,-93.98,"-8,828.69"
1260 derechos y participaciones,"12,270.88","31,450.61","6,157.37",114.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,988.44","51,981.58"
13 Activo fijo,"80,611.77","113,617.77","45,433.33","16,819.14","1,472.83","20,674.71","17,835.53","42,987.14","1,790.29","2,423.95","4,643.40","11,117.13","359,426.99"
1310 No depreciables,"29,837.69","41,231.84","20,550.15","8,131.53",247.69,"8,954.09","3,424.65","12,400.80",0.00,730.09,"1,393.84","7,186.09","134,088.45"
1320 depreciables,"127,964.00","112,565.81","68,842.28","24,736.29","2,594.45","35,555.74","36,285.92","58,633.57","10,814.49","4,203.22","11,096.24","16,560.45","509,852.47"
1329 depreciación acumulada,"-78,063.42","-88,372.34","-47,108.25","-17,753.06","-1,470.39","-25,177.42","-23,504.61","-35,649.68","-10,438.82","-2,914.13","-9,254.77","-12,985.52","-352,692.43"
1330 Amortizables,873.50,"48,192.46","3,149.15","1,704.38",101.09,"1,342.30","1,629.57","7,602.45","1,414.63",404.78,"1,408.09",356.10,"68,178.50"
Total Activos,"5,683,414.43","4,016,686.90","3,095,272.88","2,271,288.91","267,700.66","480,499.10","1,392,094.67","3,333,661.93","177,023.52","672,937.02","869,574.46","1,210,919.89","23,471,074.37"
 ,,,,,,,,,,,,,
4110 Cartas de crédito,"11,511.04","26,547.92","10,934.31",397.24,0.00,0.00,0.00,"60,735.98",0.00,"1,280.55","2,231.37",0.00,"113,638.41"
4119 Provisión por pérdidas,-4.47,0.00,-0.10,-0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-4.60
4120 Contingencias por avales y fianzas,"91,980.99","77,678.08","127,194.15","23,708.46","5,066.73","5,732.38","7,651.03","68,542.28",0.00,"20,639.34","2,046.53","6,755.59","436,995.56"
4129 Provisión por pérdidas,"-15,945.85","-15,683.32","-4,831.32","-9,853.10",-8.68,"-5,732.38",0.00,-96.01,0.00,0.00,0.00,0.00,"-52,150.65"
4131 derechos por operaciones en moneda extranjera,"8,798.90",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"8,798.90"
4139 Prov. pérdidas en derechos por operac. en mon. extran.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,,,,,,,,,,,,,
Total derechos futuros y contingencias,"96,340.61","88,542.68","133,297.04","14,252.56","5,058.05",0.00,"7,651.03","129,182.25",0.00,"21,919.89","4,277.90","6,755.59","507,277.61"
 ,,,,,,,,,,,,,
Total activos + derechos futuros y contingencias,"5,779,755.04","4,105,229.58","3,228,569.92","2,285,541.47","272,758.71","480,499.10","1,399,745.71","3,462,844.18","177,023.52","694,856.91","873,852.36","1,217,675.49","23,978,351.98"
 ,,,,,,,,,,,,,
Pasivos ,,,,,,,,,,,,,
21 Pasivos de intermediación,"4,824,979.99","3,465,535.93","2,681,267.36","2,052,061.31","225,876.38","378,659.11","1,214,542.17","2,949,048.32","141,379.17","564,367.20","759,629.91","1,088,605.30","20,345,952.14"
211 depósitos,"4,207,365.33","2,956,494.42","2,351,340.96","1,713,449.45","208,105.33","357,081.80","1,047,839.12","2,525,180.34","125,604.11","429,123.92","586,338.85","761,293.09","17,269,216.73"
2110 depósitos a la vista,"3,214,940.67","1,929,142.92","1,340,125.71","648,178.45","206,192.12","245,113.77","558,845.43","1,641,364.21","15,390.76","200,358.67","217,730.02","285,359.68","10,502,742.41"
211001 depósitos en cuenta corriente,"932,001.91","809,552.37","560,461.12","335,530.92","193,453.23","51,574.50","326,497.54","1,047,335.52","15,318.37","85,348.66","168,014.56","202,856.46","4,727,945.16"
211002 depósitos de ahorro,"2,280,420.76","1,119,590.55","778,417.09","312,647.53","12,738.89","193,539.27","232,347.90","594,028.70",0.00,"115,010.01","49,707.33","82,503.22","5,770,951.23"
211003 depósitos en cuenta de ahorro simplificada,"2,518.01",0.00,"1,247.50",0.00,0.00,0.00,0.00,0.00,72.38,0.00,8.13,0.00,"3,846.02"
2111 depósitos pactados hasta un año plazo,"823,321.71","929,278.78","847,281.85","850,474.79",0.00,"101,831.87","421,112.13","808,824.82","89,905.22","214,118.67","331,038.82","293,363.93","5,710,552.61"
2112 depósitos pactados a mas de un año plazo,"94,936.85","31,273.32","112,129.39","191,897.06",0.00,158.73,"33,999.22","56,520.76","17,168.17","3,043.05","21,949.90","172,569.03","735,645.48"
2114 depósitos restringidos e inactivos,"74,166.09","66,799.40","51,804.02","22,899.15","1,913.21","9,977.44","33,882.33","18,470.54","3,139.95","11,603.53","15,620.11","10,000.45","320,276.23"
212 Préstamos,"437,309.88","288,263.74","102,483.89","77,785.41","15,035.10","21,459.05","116,606.52","243,801.53","9,845.21","68,335.28","98,761.97","134,753.19","1,614,440.79"
2121 Préstamos pactados hasta un año plazo,"109,573.80","64,949.26","14,454.13","15,389.23","15,035.10",16.16,"22,852.73","154,280.23","1,604.58","30,939.21","5,186.35","13,256.80","447,537.58"
2122 Préstamos pactados a mas de un año plazo,"74,036.50","23,864.96","4,576.43","55,832.52",0.00,"3,853.79","25,171.79","89,521.31","3,068.00","37,396.07","50,361.34","80,061.93","447,744.64"
2123 Préstamos pactados a cinco o mas años plazo,"253,699.57","199,449.53","83,453.33","6,563.66",0.00,"17,589.10","68,582.00",0.00,"5,172.63",0.00,"43,214.29","41,434.46","719,158.57"
2130 Obligaciones a la vista,"17,235.09","16,696.96","9,522.32","32,585.13","2,735.95",118.26,"6,316.72","16,003.10",366.92,749.88,"3,183.19","1,064.97","106,578.50"
214 Títulos de emisión propia,"163,069.69","204,080.81","217,920.19","227,054.15",0.00,0.00,"43,779.81","164,063.34","5,562.94","66,158.11","55,067.69","184,744.04","1,331,500.77"
2141 Títulos de emisión propia pactados hasta un año plazo.,0.00,0.00,0.00,0.00,0.00,0.00,"1,705.54","33,586.40","4,559.56","8,993.53",0.00,0.00,"48,845.04"
2142 Pactados a mas de un año plazo,"163,069.69","204,080.81","217,920.19","227,054.15",0.00,0.00,"42,074.26","130,476.94","1,003.38","57,164.58","55,067.69","184,744.04","1,282,655.73"
215 Documentos transados,0.00,0.00,0.00,"1,187.16",0.00,0.00,0.00,0.00,0.00,0.00,"16,278.20","6,750.00","24,215.35"
2151 Documentos transados hasta un año plazo,0.00,0.00,0.00,"1,187.16",0.00,0.00,0.00,0.00,0.00,0.00,"16,278.20","6,750.00","24,215.35"
216 Cheques y otros valores por aplicar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2160 Cheques y otros valores por aplicar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
217 Instrumentos financieros a valor razonable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
