Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,,
Datos al 31 de diciembre de 2024,,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,,
,,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,,
11 Activos," 5,861,273.14 "," 4,050,726.40 "," 3,271,898.77 "," 2,239,205.82 "," 233,847.66 "," 467,299.15 "," 1,400,618.86 "," 3,621,757.77 "," 186,568.66 "," 758,190.03 "," 852,955.05 "," 252,629.78 "," 1,247,029.18 "," 24,444,000.26 ",,
1110 Disponibilidades," 788,323.67 "," 589,065.50 "," 492,344.64 "," 318,623.81 "," 98,150.04 "," 116,712.24 "," 253,939.29 "," 545,942.66 "," 37,861.92 "," 98,922.94 "," 107,990.60 "," 46,537.27 "," 141,750.76 "," 3,636,165.35 ",,
112 Operaciones con pacto de retroventa," 5,203.20 ", 38.42 , -   , -   , -   , -   , -   , -   , 500.00 , -   , -   ," 3,029.09 "," 5,013.50 "," 13,784.21 ",,
1121 Operaciones con pacto de retroventa," 5,203.20 ", 38.42 , -   , -   , -   , -   , -   , -   , 500.00 , -   , -   ," 3,029.09 "," 5,013.50 "," 13,784.21 ",,
1130 A valor razonable con cambios en resultados (vrcr)," 884,667.49 "," 14,213.24 ", -   , -   , -   , -   , -   , -   , -   ," 2,018.61 ", -   , -   ," 31,143.74 "," 932,043.07 ",,
1131 A valor razonable con cambios en otro resultado integral (vrori), -   , -   ," 70,006.01 "," 864,781.97 ", -   , -   , -   ," 396,091.20 ", -   , -   , -   , -   , -   ," 1,330,879.18 ",,
1132 Derivados financieros para coberturas, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
1134 A costo amortizado," 39,605.14 "," 455,168.91 "," 292,353.07 "," 11,846.11 "," 107,780.33 "," 10,869.58 "," 165,500.42 ", -   ," 27,742.14 "," 65,636.40 "," 121,227.46 ", -   ," 199,422.42 "," 1,497,151.97 ",,
1138 Instrumentos financieros restringidos, -   , -   ," 8,919.49 ", -   , -   , -   , -   , -   , -   , -   ," 3,150.00 ", -   , -   ," 12,069.49 ",,
114 Préstamos," 4,143,473.64 "," 2,992,240.33 "," 2,408,275.57 "," 1,043,953.92 "," 27,917.29 "," 339,717.33 "," 981,179.14 "," 2,679,723.91 "," 120,464.60 "," 591,612.08 "," 620,586.99 "," 203,063.41 "," 869,698.76 "," 17,021,906.99 ",,
1141 Préstamos pactados hasta un año plazo," 807,340.42 "," 377,841.29 "," 367,215.18 "," 89,476.72 "," 28,102.50 "," 49,790.50 "," 300,414.83 "," 596,834.88 "," 6,021.71 "," 80,663.24 "," 100,623.98 "," 3,758.82 "," 140,399.01 "," 2,948,483.08 ",,
1142 Préstamos pactados a más de un año plazo," 3,387,662.76 "," 2,668,651.96 "," 2,057,093.18 "," 957,233.72 ", -   ," 291,006.73 "," 683,860.26 "," 2,102,185.84 "," 116,867.08 "," 513,079.31 "," 525,099.09 "," 199,404.00 "," 731,568.31 "," 14,233,712.24 ",,
1148 Préstamos vencidos," 44,315.56 "," 77,500.20 "," 55,988.04 "," 40,140.06 ", -   ," 8,603.37 "," 20,824.43 "," 36,529.09 "," 6,267.74 "," 1,207.22 "," 18,051.02 "," 3,797.11 "," 3,495.81 "," 316,719.66 ",,
1149 Provisión para incobrabilidad de préstamos,"-95,845.10 ","-131,753.13 ","-72,020.82 ","-42,896.58 ",-185.21 ,"-9,683.26 ","-23,920.38 ","-55,825.90 ","-8,691.93 ","-3,337.70 ","-23,187.10 ","-3,896.51 ","-5,764.37 ","-477,007.99 ",,
12 Otros activos," 99,933.34 "," 84,676.27 "," 30,367.37 "," 27,320.41 "," 2,901.45 "," 10,745.48 "," 28,715.82 "," 22,759.22 "," 9,927.25 "," 6,101.71 "," 13,691.59 "," 7,214.31 "," 32,804.77 "," 377,159.00 ",,
1210 Saldos entre compañías, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
1220 Bienes recibidos en pago o adjudicados," 18,037.98 "," 1,058.74 "," 4,441.64 "," 12,234.02 ", -   ," 3,480.28 "," 1,413.07 "," 1,538.74 ", -   , -   ," 3,279.21 ", 637.43 ," 2,404.63 "," 48,525.74 ",,
1230 Existencias," 1,304.13 ", 159.66 , 331.00 , 182.89 , -   , 300.78 , 71.42 , 440.34 , -   , 37.86 , 97.85 , 22.60 , 28.77 ," 2,977.28 ",,
1240 Gastos pagados por anticipado," 6,027.71 "," 9,131.81 "," 3,332.86 ", 795.39 , 52.09 , 88.55 ," 8,453.06 "," 2,923.47 "," 6,261.08 ", 468.20 ," 2,604.65 "," 2,310.90 "," 2,789.31 "," 45,239.07 ",,
1250 Cuentas por cobrar," 44,755.03 "," 19,125.48 "," 11,063.77 "," 9,681.02 "," 2,332.85 "," 6,831.43 "," 16,124.04 "," 8,957.55 "," 2,284.72 "," 4,486.84 "," 4,950.51 ", 687.53 ," 18,598.90 "," 149,879.68 ",,
1251 Impuestos," 22,468.18 "," 26,463.27 "," 7,333.92 "," 4,469.85 ", 516.51 , 782.02 ," 4,685.80 "," 2,323.24 "," 1,381.45 "," 1,108.81 "," 3,070.65 "," 2,548.02 "," 3,536.76 "," 80,688.49 ",,
1259 Estimación de pérdida por deterioro de valor,"-3,331.88 ","-2,731.84 ","-2,559.92 ",-157.03 , -   ,-737.57 ,"-2,031.57 ",-359.24 , -   , -   ,-311.28 ,-170.35 ,-100.55 ,"-12,491.24 ",,
"1260 Inversiones en acciones, derechos y participaciones"," 10,672.19 "," 31,469.15 "," 6,424.10 ", 114.28 , -   , -   , -   , -   , -   , -   , -   , -   ," 5,546.95 "," 54,226.67 ",,
1261 Plusvalía comprada, -   , -   , -   , -   , -   , -   , -   ," 6,935.12 ", -   , -   , -   ," 1,178.18 ", -   ," 8,113.30 ",,
1270 Activos mantenidos para la venta, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
13 Activos físicos e intangibles," 127,654.99 "," 115,270.30 "," 63,396.62 "," 23,380.65 "," 2,577.21 "," 20,992.97 "," 29,582.22 "," 54,653.19 "," 8,404.98 "," 5,516.68 "," 23,740.98 "," 9,266.77 "," 27,466.63 "," 511,904.19 ",,
131 Propiedades no depreciables," 29,330.44 "," 41,094.47 "," 18,552.01 "," 8,216.28 ", 247.69 ," 9,036.06 "," 4,366.70 "," 12,785.29 ", -   , 730.09 , 636.91 ," 2,029.77 "," 5,198.08 "," 132,223.78 ",,
1310 Propiedades no depreciables," 29,330.44 "," 41,094.47 "," 18,552.01 "," 8,216.28 ", 247.69 ," 9,036.06 "," 4,366.70 "," 12,785.29 ", -   , 730.09 , 636.91 ," 2,029.77 "," 5,198.08 "," 132,223.78 ",,
132 Propiedades y equipo depreciables," 71,804.66 "," 38,422.33 "," 30,231.11 "," 13,862.49 "," 2,329.53 "," 10,263.62 "," 17,401.53 "," 40,483.78 "," 3,648.98 "," 4,316.82 "," 7,518.97 "," 6,279.20 "," 13,404.82 "," 259,967.83 ",,
1320 Depreciables," 173,744.97 "," 137,385.94 "," 86,526.82 "," 35,013.96 "," 4,581.34 "," 36,960.36 "," 44,257.44 "," 99,443.92 "," 4,197.90 "," 10,668.80 "," 18,371.05 "," 12,332.84 "," 28,565.75 "," 692,051.08 ",,
1329 Depreciación y deterioro acumulada(o) (-),"-101,940.31 ","-98,963.61 ","-56,295.71 ","-21,151.48 ","-2,251.81 ","-26,696.74 ","-26,855.90 ","-58,960.14 ",-548.92 ,"-6,351.97 ","-10,852.07 ","-6,053.65 ","-15,160.93 ","-432,083.24 ",,
133 Intangibles," 26,519.89 "," 35,753.50 "," 14,613.49 "," 1,301.89 ", -   ," 1,693.30 "," 7,813.99 "," 1,384.12 "," 4,756.00 ", 469.77 ," 15,585.10 ", 957.81 ," 8,863.73 "," 119,712.58 ",,
1330 Intangibles," 44,277.31 "," 72,050.35 "," 37,151.65 "," 1,776.84 ", -   ," 3,379.21 "," 7,813.99 "," 3,290.98 "," 7,026.92 "," 3,444.43 "," 32,018.73 "," 8,772.43 "," 14,208.46 "," 235,211.28 ",,
1339 Amortización y deterioro acumulada(o) (-),"-17,757.42 ","-36,296.85 ","-22,538.15 ",-474.95 , -   ,"-1,685.92 ", -   ,"-1,906.86 ","-2,270.91 ","-2,974.66 ","-16,433.63 ","-7,814.62 ","-5,344.73 ","-115,498.70 ",,
Total Activos," 6,088,861.47 "," 4,250,672.97 "," 3,365,662.77 "," 2,289,906.88 "," 239,326.33 "," 499,037.60 "," 1,458,916.89 "," 3,699,170.18 "," 204,900.89 "," 769,808.42 "," 890,387.61 "," 269,110.86 "," 1,307,300.58 "," 25,333,063.45 ",,
,,,,,,,,,,,,,,,,
4110 Cartas de crédito," 25,607.02 "," 10,529.73 "," 4,151.31 ", 393.01 , -   , -   , 33.44 ," 94,497.07 ", -   ," 1,167.91 "," 5,188.22 ", -   , -   ," 141,567.70 ",,
4120 Avales y fianzas," 81,273.24 "," 63,020.90 "," 138,788.21 "," 17,135.23 "," 3,264.50 "," 5,732.38 "," 6,641.90 "," 52,836.43 ", -   ," 18,001.16 "," 2,129.78 ", -   ," 8,757.37 "," 397,581.10 ",,
4129 Provisión por pérdidas,"-16,405.98 ","-14,530.07 ","-5,022.61 ","-11,440.43 ",-7.68 ,"-5,732.38 ", -   ,-44.95 , -   , -   , -   , -   , -   ,"-53,184.09 ",,
4130 Operaciones con instrumentos financieros derivados," 8,297.24 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 8,297.24 ",,
4180 Otras, -   , -   , -   , -   , 723.49 , -   , -   , -   , -   , -   , -   , -   , -   , 723.49 ,,
,,,,,,,,,,,,,,,,
Total derechos futuros y contingencias," 98,771.51 "," 59,020.56 "," 137,916.91 "," 6,087.81 "," 3,980.31 ", -   ," 6,675.34 "," 147,288.56 ", -   ," 19,169.07 "," 7,318.00 ", -   ," 8,757.37 "," 494,985.44 ",,
,,,,,,,,,,,,,,,,
Total activos + derechos futuros y contingencias," 6,187,632.98 "," 4,309,693.53 "," 3,503,579.68 "," 2,295,994.69 "," 243,306.63 "," 499,037.60 "," 1,465,592.23 "," 3,846,458.74 "," 204,900.89 "," 788,977.49 "," 897,705.61 "," 269,110.86 "," 1,316,057.95 "," 25,828,048.89 ",,
,,,,,,,,,,,,,,,,
Pasivos,,,,,,,,,,,,,,,,
21 Pasivos," 5,303,885.17 "," 3,675,849.65 "," 2,942,482.87 "," 2,055,532.01 "," 189,569.73 "," 392,052.71 "," 1,317,523.98 "," 3,297,926.99 "," 167,220.93 "," 651,155.33 "," 781,565.17 "," 223,807.98 "," 1,166,078.63 "," 22,164,651.15 ",,
210 Pasivos financieros a valor razonable con cambios en resultados (vrcr), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
2100 Mantenidos para negociar, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
211 Pasivos financieros a costo amortizado," 5,174,099.85 "," 3,517,635.07 "," 2,737,296.58 "," 1,627,606.45 "," 187,722.94 "," 392,024.76 "," 1,270,722.58 "," 3,131,443.04 "," 158,151.78 "," 595,071.83 "," 756,725.00 "," 210,784.44 "," 999,730.27 "," 20,759,014.60 ",,
