Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,
Datos al 31 de diciembre de 2025 *,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,
,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,
11 Activos,"6,703,550.074","4,642,519.510","3,640,605.513","2,325,916.076","226,950.830","528,492.698","1,499,602.028","3,930,939.418","235,670.642","1,032,179.247","981,187.960","300,418.163","1,461,854.373","27,509,886.529",
1110 Disponibilidades,"991,862.580","879,292.114","595,606.784","359,591.278","88,252.984","143,835.174","301,292.335","624,942.728","59,664.061","220,757.845","156,734.338","66,578.951","208,775.844","4,697,187.019",
112 Operaciones con pacto de retroventa,"5,415.131",28.617,0.000,"7,233.827",0.000,0.000,0.000,0.000,"29,940.914",0.000,0.000,"2,162.474",900.228,"45,681.191",
1121 Operaciones con pacto de retroventa,"5,415.131",28.617,0.000,"7,233.827",0.000,0.000,0.000,0.000,"29,940.914",0.000,0.000,"2,162.474",900.228,"45,681.191",
1130 A valor razonable con cambios en resultados (vrcr),"1,049,891.230","12,452.837",0.000,0.000,0.000,0.000,0.000,0.000,0.000,"4,997.516",0.000,"3,981.496","151,842.878","1,223,165.958",
1131 A valor razonable con cambios en otro resultado integral (vrori),0.000,0.000,"212,051.283","742,351.017",0.000,0.000,0.000,"409,968.954",0.000,0.000,"37,774.619",0.000,0.000,"1,402,145.874",
1132 Derivados financieros para coberturas,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
1134 A costo amortizado,"38,444.810","518,924.721","165,925.783","165,128.529","107,040.323","12,613.435","152,778.620",0.000,"18,073.641","59,767.756","105,577.320",0.000,"151,501.960","1,495,776.898",
1138 Instrumentos financieros restringidos,0.000,0.000,"8,995.078",0.000,0.000,0.000,0.000,0.000,0.000,0.000,"15,000.000",0.000,0.000,"23,995.078",
114 Préstamos,"4,617,936.323","3,231,821.220","2,658,026.584","1,051,611.425","31,657.522","372,044.089","1,045,531.072","2,896,027.736","127,992.025","746,656.129","666,101.683","227,695.242","948,833.463","18,621,934.512",
1141 Préstamos pactados hasta un año plazo,"869,730.447","406,983.357","399,137.368","94,819.030","31,657.522","62,871.967","359,817.308","659,731.555","6,064.119","96,423.050","114,727.357","2,277.152","198,500.634","3,302,740.868",
1142 Préstamos pactados a más de un año plazo,"3,810,091.262","2,870,036.661","2,272,227.300","961,244.604",0.000,"310,268.881","688,307.522","2,248,253.652","124,512.408","652,393.104","556,115.820","225,516.673","746,354.521","15,465,322.409",
1148 Préstamos vencidos,"44,464.216","33,587.599","57,122.329","38,675.481",0.000,"8,512.717","20,385.145","33,653.480","4,075.879","1,626.466","17,094.560","4,091.799","13,466.753","276,756.425",
1149 Provisión para incobrabilidad de préstamos,"-106,349.602","-78,786.398","-70,460.414","-43,127.690",0.000,"-9,609.477","-22,978.904","-45,610.951","-6,660.382","-3,786.492","-21,836.054","-4,190.383","-9,488.444","-422,885.190",
12 Otros activos,"98,729.666","75,020.444","30,636.800","36,494.766","2,136.668","9,689.387","32,485.400","23,869.638","11,605.557","4,242.209","12,740.045","6,038.195","42,503.502","386,192.276",
1210 Saldos entre compañías,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
1220 Bienes recibidos en pago o adjudicados,"15,524.423","1,356.344","6,124.361","20,973.902",0.000,"2,908.203","1,922.374","1,641.475",167.146,0.000,"1,793.441",433.440,"2,820.414","55,665.523",
1230 Existencias,"1,173.182",205.980,340.979,157.037,0.000,398.185,206.881,315.080,32.154,14.168,105.569,26.227,36.056,"3,011.497",
1240 Gastos pagados por anticipado,"10,812.543","7,549.628","4,280.828","1,147.064",14.266,45.058,"9,141.571","2,908.712","7,095.179",730.432,"3,310.427","2,363.627","3,571.194","52,970.529",
1250 Cuentas por cobrar,"35,539.813","22,142.785","9,919.293","10,287.428","1,517.065","6,221.655","16,979.134","9,739.174","2,821.941","1,626.409","4,471.221",397.601,"26,054.392","147,717.910",
1251 Impuestos,"25,759.348","25,624.142","6,654.544","4,030.576",605.337,890.280,"6,214.728","2,810.602","1,489.137","1,871.201","3,163.077","1,666.422","4,267.638","85,047.033",
1259 Estimación de pérdida por deterioro de valor,"-2,600.941","-2,079.197","-3,154.932",-215.521,0.000,-773.994,"-1,979.289",-480.523,0.000,0.000,-103.689,-27.305,-129.461,"-11,544.854",
"1260 Inversiones en acciones, derechos y participaciones","12,521.298","20,220.762","6,471.727",114.280,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"5,883.269","45,211.335",
1261 Plusvalía comprada,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"6,935.119",0.000,0.000,0.000,"1,178.183",0.000,"8,113.302",
1270 Activos mantenidos para la venta,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
13 Activos físicos e intangibles,"133,227.492","108,661.793","64,009.405","22,898.421","1,959.038","21,456.008","30,347.959","60,368.758","9,220.205","11,465.636","25,819.529","9,838.156","25,403.078","524,675.478",
131 Propiedades no depreciables,"29,221.872","40,887.331","19,847.570","7,957.737",247.688,"9,100.863","4,106.128","24,798.302",0.000,730.085,400.000,"1,645.074","2,679.192","141,621.843",
1310 Propiedades no depreciables,"29,221.872","40,887.331","19,847.570","7,957.737",247.688,"9,100.863","4,106.128","24,798.302",0.000,730.085,400.000,"1,645.074","2,679.192","141,621.843",
132 Propiedades y equipo depreciables,"84,412.998","37,241.647","28,552.231","13,887.188","1,711.350","10,367.336","17,142.933","34,060.051","4,500.573","9,944.051","7,569.392","7,177.971","15,913.952","272,481.674",
1320 Depreciables,"193,881.774","136,123.756","87,783.667","35,690.171","4,641.161","38,038.244","47,514.221","101,007.345","5,245.253","17,184.486","19,459.788","14,512.771","34,011.948","735,094.586",
1329 Depreciación y deterioro acumulada(o) (-),"-109,468.777","-98,882.109","-59,231.436","-21,802.983","-2,929.811","-27,670.908","-30,371.288","-66,947.294",-744.680,"-7,240.436","-11,890.395","-7,334.799","-18,097.996","-462,612.912",
133 Intangibles,"19,592.623","30,532.815","15,609.604","1,053.495",0.000,"1,987.809","9,098.897","1,510.405","4,719.632",791.500,"17,850.136","1,015.111","6,809.935","110,571.961",
1330 Intangibles,"44,756.087","83,798.890","41,152.086","1,973.653",0.000,"5,656.687","9,098.897","4,574.179","8,357.577","4,057.089","37,014.929","9,943.063","14,133.910","264,517.046",
1339 Amortización y deterioro acumulada(o) (-),"-25,163.464","-53,266.075","-25,542.481",-920.158,0.000,"-3,668.879",0.000,"-3,063.774","-3,637.945","-3,265.588","-19,164.793","-8,927.952","-7,323.975","-153,945.085",
Total Activos,"6,935,507.232","4,826,201.746","3,735,251.718","2,385,309.262","231,046.535","559,638.093","1,562,435.386","4,015,177.814","256,496.404","1,047,887.093","1,019,747.534","316,294.514","1,529,760.953","28,420,754.283",
,,,,,,,,,,,,,,,
4110 Cartas de crédito,"11,173.842","14,163.135","13,862.228",449.920,0.000,0.000,0.000,"98,923.179",0.000,879.653,"4,217.636",0.000,0.000,"143,669.593",
4120 Avales y fianzas,"71,391.663","78,390.124","102,405.591","12,429.681","3,516.572","5,732.376","7,852.187","55,120.211",0.000,"14,976.104","3,936.375",0.000,"9,303.354","365,054.238",
4129 Provisión por pérdidas,"-16,010.348","-14,892.700","-4,274.391","-9,200.255",0.000,"-5,732.376",0.000,-60.028,0.000,0.000,0.000,0.000,0.000,"-50,170.098",
4130 Operaciones con instrumentos financieros derivados,"4,317.179",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"4,317.179",
4180 Otras,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
,,,,,,,,,,,,,,,
Total derechos futuros y contingencias,"70,872.335","77,660.560","111,993.428","3,679.346","3,516.572",0.000,"7,852.187","153,983.362",0.000,"15,855.756","8,154.012",0.000,"9,303.354","462,870.912",
,,,,,,,,,,,,,,,
Total activos + derechos futuros y contingencias,"7,006,379.567","4,903,862.306","3,847,245.145","2,388,988.608","234,563.108","559,638.093","1,570,287.573","4,169,161.176","256,496.404","1,063,742.849","1,027,901.545","316,294.514","1,539,064.307","28,883,625.195",
,,,,,,,,,,,,,,,
Pasivos,,,,,,,,,,,,,,,
21 Pasivos,"6,102,084.502","4,221,578.227","3,294,440.713","2,126,506.080","185,274.973","443,340.701","1,416,375.897","3,570,346.158","215,710.818","925,697.617","904,835.681","268,349.759","1,375,974.194","25,050,515.322",
210 Pasivos financieros a valor razonable con cambios en resultados (vrcr),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2100 Mantenidos para negociar,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
211 Pasivos financieros a costo amortizado,"6,043,075.898","4,078,597.108","3,149,385.042","1,696,725.116","184,082.056","443,276.217","1,368,589.507","3,428,483.852","206,894.227","888,426.854","889,421.335","262,057.919","1,273,441.773","23,912,456.902",
2110 Depósitos a la vista,"4,204,585.617","2,563,957.308","1,670,107.071","788,070.350","156,223.659","287,831.780","648,786.309","2,148,810.496","26,859.603","296,067.339","251,187.469","84,285.729","435,139.684","13,561,912.415",
2111 Depósitos pactados hasta un año plazo,"1,218,666.950","1,193,648.727","1,130,173.860","587,473.138",0.000,"119,872.148","486,335.251","907,692.780","131,392.075","473,243.181","418,013.825","130,286.852","489,806.825","7,286,605.612",
2112 Depósitos pactados a más de un año plazo,"150,543.694","44,655.725","44,207.717","200,497.243",0.000,49.301,"43,371.609","121,795.998","30,690.331","16,442.033","23,648.569","2,154.316","143,421.896","821,478.432",
2113 Certificados de depósitos negociables,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"25,255.862","25,255.862",
2114 Depósitos restringidos e inactivos,"83,855.662","95,689.524","62,304.712","69,286.809","1,810.714","11,231.795","27,202.195","21,731.084","2,452.587","8,663.037","12,520.920","3,603.524","29,307.882","429,660.445",
2115 Operaciones con pacto de retrocompra,0.000,0.000,"8,022.609",0.000,0.000,0.000,0.000,0.000,0.000,0.000,"15,000.000",0.000,"39,007.250","62,029.859",
2116 Préstamos pactados hasta un año plazo,0.000,"1,479.786","137,127.351","20,874.837","25,035.541",16.165,"8,304.927","6,313.288","2,514.628","27,864.144","10,685.307","9,895.094","10,387.686","260,498.754",
2117 Préstamos pactados a más de un año plazo,"305,119.616","143,926.313","6,922.969","29,081.811",0.000,"3,760.579","67,170.332","222,140.206","6,999.074","66,147.120","74,108.383","22,277.600","57,382.210","1,005,036.214",
2118 Préstamos pactados a cinco o mas años plazo,"10,505.727","35,239.724","90,518.752","1,440.928","1,012.142","20,514.450","38,589.900",0.000,"5,985.928",0.000,"84,256.861","9,554.804","43,732.478","341,351.694",
2119 Préstamos subordinados,"69,798.632",0.000,0.000,0.000,0.000,0.000,"48,828.984",0.000,0.000,0.000,0.000,0.000,0.000,"118,627.616",
212 Títulos de emisión propia,"42,067.592","126,354.618","132,882.820","398,475.548",0.000,0.000,"41,997.607","119,028.523","8,525.993","33,381.497","12,388.062","4,515.288","101,138.747","1,020,756.294",
